[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,CNS_KL180529_003_abplane
FILEOPENTIME,3739955473.54673,07/05/2018,12:33 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739958828.2272,2.0009331703186,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,1.99854159355164,2.00113344192505,499.652862548828,499.652862548828,,,2.80864691734314,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,1,1,1,2.00073289871216,0,3154122016,2.0000322943642,,,0.00992085157097954,0.000494873768296531,0.00992212031859038,0.000494876936199308,0.983575463294983,0.994818687438965,31.6254653930664,0.188845321536064,30,4,200,0.00266027706675231,-4.22126531600952,4.8427209854126,1,,,,,,,,,,,,,,,,
,3739958851.63606,2.62556099891663,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,2.1872501373291,3.02562355995178,499.652862548828,499.652862548828,,,3.49807739257812,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,3.06387186050415,0,3154122112,2.59183833815835,,,0.0099196538367792,0.00049481418915187,0.00992092828628259,0.000494817138551281,0.983553230762482,0.994948625564575,31.62571144104,0.188844993710518,30,4,200,0.00197027227841318,-3.87580990791321,0.551236391067505,1,,,,,,,,,,,,,,,,
,3739958873.70489,4.49341225624084,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,4.02869319915771,4.93248558044434,499.652862548828,499.652862548828,,,4.36579132080078,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,6,1,1,4.95813131332397,0,3154122048,4.47223606976596,,,0.00992402756724288,0.000495032858556621,0.00992531037083586,0.000495035702010202,0.983495116233826,0.994957387447357,31.6259517669678,0.188850060105324,30,4,200,0.00288962968625128,-3.88396286964417,0.543154299259186,1,,,,,,,,,,,,,,,,
,3739958896.24023,6.50830864906311,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,6.00700902938843,6.95826244354248,499.652862548828,499.652862548828,,,4.9725341796875,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,7.00960826873779,0,3154122272,6.49344305558638,,,0.00992256139417844,0.000494960151780724,0.00992386445769196,0.000494963168807339,0.983445107936859,0.995135426521301,31.6263580322266,0.188845217227936,30,4,200,0.00292668794281781,-3.88600707054138,0.539764046669006,1,,,,,,,,,,,,,,,,
,3739958918.1935,8.52417135238647,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,8.01229190826416,8.97938919067383,499.652862548828,499.652862548828,,,6.06109428405762,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,9.03605079650879,0,3154121984,8.50163754549894,,,0.00991862619017377,0.00049476452736388,0.00991994022497753,0.000494767351446743,0.983361005783081,0.995166301727295,31.62672996521,0.1888607442379,30,4,200,0.00300288223661482,-3.88229584693909,0.541827440261841,1,,,,,,,,,,,,,,,,
,3739958939.68228,10.5215725898743,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,10.0148553848267,10.9747676849365,499.652862548828,499.652862548828,,,6.42843770980835,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,11.0282897949219,0,3154122240,10.4967983419245,,,0.00991043871288043,0.000494356836687093,0.00991177263305427,0.000494359755196406,0.983283758163452,0.995298743247986,31.6271820068359,0.188851490616798,30,4,200,0.00257420726120472,-3.8825101852417,0.539212346076965,1,,,,,,,,,,,,,,,,
,3739958961.2267,12.5238656997681,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,12.0139036178589,12.9972972869873,499.652862548828,499.652862548828,,,6.72458600997925,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,13.0338277816772,0,3154122176,12.5117193568837,,,0.00990220405616379,0.000493946519050575,0.00990353530874598,0.000493948867768218,0.983229219913483,0.995315372943878,31.6274127960205,0.188848108053207,30,4,200,0.00277861673384905,-3.87969970703125,0.536771476268768,1,,,,,,,,,,,,,,,,
,3739958982.52398,14.5429749488831,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,14.029857635498,15.0154972076416,499.652862548828,499.652862548828,,,6.95685529708862,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,15.0560922622681,0,3154122016,14.5135893388228,,,0.00989369594708775,0.000493522666361029,0.00989505620409257,0.000493525836687349,0.983164250850678,0.995376706123352,31.6277370452881,0.188851654529572,30,4,200,0.00265503348782659,-3.87821078300476,0.534527063369751,1,,,,,,,,,,,,,,,,
,3739959002.77081,16.5667905807495,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,16.0160694122314,17.0802707672119,499.652862548828,499.652862548828,,,7.13910293579102,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,17.1175117492676,0,3154122016,16.5707817077637,,,0.00988258408554477,0.000492969403250676,0.00988396170679308,0.000492972415682477,0.983043253421783,0.99541574716568,31.6282539367676,0.188847988843918,30,4,200,0.00251382635906339,-3.875155210495,0.532817780971527,1,,,,,,,,,,,,,,,,
,3739959023.28884,18.5350694656372,499.652862548828,,,6,,,,31.5663820827955,,,10,,,,,,,,,,,,,,,,,,,,,,18.003360748291,19.0128211975098,499.652862548828,499.652862548828,,,7.27216386795044,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,19.0667781829834,0,3154121888,18.526932629672,,,0.0098704108233444,0.000492362802099815,0.00987180437948142,0.00049236596455703,0.982954084873199,0.99540650844574,31.6285915374756,0.188834428787231,30,4,200,0.00247399625368416,-3.87198996543884,0.530813872814178,1,,,,,,,,,,,,,,,,
