[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3739963366.13896,07/05/2018,2:44 pm
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,003 abplane,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,disk,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.1,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3739966236.15452,2.00074112415314,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,1.99879050254822,2.00106859207153,499.652862548828,499.652862548828,,,3.40823340415955,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,2.00041365623474,0,3154122080,2.00002635660626,,,0.0106053443184943,0.000529033884295685,0.0106069452422121,0.00052903596780767,0.981843769550323,0.994025647640228,31.631290435791,0.188835471868515,30,4,200,0.00294186337850988,-4.58907175064087,4.89376831054687,1,,,,,,,,,,,,,,,,
,3739966259.63946,2.6287077665329,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,2.1849672794342,3.04125332832336,499.652862548828,499.652862548828,,,4.20124053955078,-99999999,1,0,0,0,0.0146484375,30.3030319213867,6,1,1,3.07244825363159,0,3154121888,2.59464055841619,,,0.0106017536264264,0.000528856291318445,0.0106034041494407,0.000528858863351737,0.981682538986206,0.994171738624573,31.6321258544922,0.18884664773941,30,4,200,0.00220689363777637,-4.1242561340332,0.604679524898529,1,,,,,,,,,,,,,,,,
,3739966281.66113,4.49820828437805,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,4.02566289901733,4.91937208175659,499.652862548828,499.652862548828,,,5.6709041595459,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,4.99093341827393,0,3154122176,4.46878979422829,,,0.0105808949783988,0.000527813875007896,0.0105825362802905,0.000527816800952393,0.981863558292389,0.994535982608795,31.6318435668945,0.18883353471756,30,4,200,0.00244023813866079,-4.12216472625732,0.595238447189331,1,,,,,,,,,,,,,,,,
,3739966304.39806,6.52987194061279,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,6.04009819030762,6.98231077194214,499.652862548828,499.652862548828,,,6.4449315071106,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,7.01964569091797,0,3154122176,6.51484515450217,,,0.010564669846059,0.000527004692360388,0.0105663060433712,0.000527006698647429,0.98184734582901,0.994759619235992,31.6321582794189,0.188818380236626,30,4,200,0.00290724472142756,-4.1187686920166,0.591464400291443,1,,,,,,,,,,,,,,,,
,3739966326.00765,8.52085447311401,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,8.01207256317139,8.9682788848877,499.652862548828,499.652862548828,,,6.99709177017212,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,6,1,1,9.02963638305664,0,3154122240,8.50072089108554,,,0.0105460448957927,0.000526076616789537,0.0105477075935487,0.000526078931666181,0.981732428073883,0.994778633117676,31.6326370239258,0.188829943537712,30,4,200,0.00279944110661745,-4.10841417312622,0.592860877513885,1,,,,,,,,,,,,,,,,
,3739966347.24233,10.508810043335,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,10.0086040496826,10.9703216552734,499.652862548828,499.652862548828,,,7.41446113586426,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,11.0090160369873,0,3154122208,10.4844499067827,,,0.0105316501856157,0.000525358920306293,0.0105333290641069,0.000525361606830693,0.981721937656403,0.994943380355835,31.6328563690186,0.188826978206635,30,4,200,0.00288697378709912,-4.10579681396484,0.589800119400024,1,,,,,,,,,,,,,,,,
,3739966369.13392,12.5396032333374,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,12.0291156768799,12.9935846328735,499.652862548828,499.652862548828,,,7.73195123672485,-99999999,1,0,0,0,0.00030517578125,30.3030319213867,6,1,1,13.0500907897949,0,3154122016,12.5115751786666,,,0.0105139082726446,0.000524475388920604,0.0105156153475043,0.000524478383635409,0.981548666954041,0.994781851768494,31.6333694458008,0.18884913623333,30,4,200,0.00339649198576808,-4.10068511962891,0.587379276752472,1,,,,,,,,,,,,,,,,
,3739966390.45221,14.5375142097473,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,14.0262794494629,15.0252046585083,499.652862548828,499.652862548828,,,7.98055791854858,-99999999,1,0,0,0,0,30.3030319213867,6,1,1,15.0487489700317,0,3154122208,14.5211713964289,,,0.0104946635996648,0.000523516233288955,0.0104963812587712,0.000523518532215055,0.981455564498901,0.994957745075226,31.6339282989502,0.188851475715637,30,4,200,0.00291359215043485,-4.09492826461792,0.585870563983917,1,,,,,,,,,,,,,,,,
,3739966411.03713,16.5830354690552,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,16.0246353149414,17.0741729736328,499.652862548828,499.652862548828,,,8.19443511962891,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,17.1414356231689,0,3154122016,16.5713788812811,,,0.0104758593616376,0.000522579277963949,0.0104775941213294,0.000522581521884083,0.981351733207703,0.994975924491882,31.6343479156494,0.188835993409157,30,4,200,0.00302757322788239,-4.08957672119141,0.583271324634552,1,,,,,,,,,,,,,,,,
,3739966431.30669,18.5410718917847,499.652862548828,,,6,,,,31.5662807256906,,,10,,,,,,,,,,,,,,,,,,,,,,18.0179195404053,18.9736232757568,499.652862548828,499.652862548828,,,8.35684013366699,-99999999,1,0,0,0,0,30.3030319213867,2,1,1,19.0642242431641,0,3154122176,18.5168800354004,,,0.0104538356786569,0.000521480979868509,0.0104555846978275,0.000521483720636889,0.981312692165375,0.994980275630951,31.6345119476318,0.188848659396172,30,4,200,0.00293806963600218,-4.08184766769409,0.579554796218872,1,,,,,,,,,,,,,,,,
