[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,CNS_KL180615_003_abplane_Hscan002
FILEOPENTIME,3740032898.89116,07/06/2018,10:03 am
BYAPP,SQUID AC,0.9.1.0
INFO,MPMS3 Measurement Release 1.1.16 Build 347, MultiVu Release 2.3.3.2,APPNAME
INFO,1,MOMENT_UNITS
INFO,CrNb3S6,SAMPLE_MATERIAL
INFO,KL180615_003,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,powder,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.15,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (Am2),M. Std. Err. (Am2),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (Am2),AC Moment (Am2),AC M. Std Err. (Am2),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (Am2/T),AC Suscept. Std Err. (Am2/T),AC X' (Am2/T),AC X' Std Err. (Am2/T),AC X'' (Am2/T),AC X'' Std Err. (Am2/T),AC Drive (T),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3740032916.08846,2.00025928020477,0.237860232591629,,,6,,,,31.8006210327148,,,1,,,,,,,,,,,,,,,,,,,,,,1.99902665615082,2.00080442428589,0.170771449804306,0.317146956920624,,,3.11535096168518,-99999999,1,0,0,0,0,30.3030319213867,1,1,1,2.00041890144348,0,3154121952,1.99993730745008,,,-0.000271001300662496,1.35772342917458E-5,-0.000271170367403807,1.35775512075057E-5,0.905379414558411,0.911895275115967,31.6700248718262,0.189574882388115,30,4,200,0.0184495393186808,-0.513911068439484,0.921198904514313,1,,,,,,,,,,,,,,,,
,3740032950.16743,2.0006742477417,26.8599078655243,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.9988077878952,2.00068593025208,4.63522481918335,47.9135894775391,,,3.12594389915466,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00074315071106,0,3154122176,1.99991513433911,,,0.00197009755701948,9.87508463049025E-5,0.00197203495313981,9.87543925126252E-5,0.900373041629791,0.910286366939545,31.6356544494629,0.18966893851757,30,4,200,0.495175391435623,-0.224197283387184,4.88498640060425,1,,,,,,,,,,,,,,,,
,3740032966.94193,2.00032544136047,60.4957847595215,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.9990895986557,2.0008270740509,49.6944885253906,70.2968444824219,,,3.13150596618652,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00086092948914,0,3154121984,2.00003991343758,,,0.00258769573998064,0.000129373137789241,0.00258945824823982,0.000129376778740258,0.93074643611908,0.940873086452484,31.6637001037598,0.189190447330475,30,4,200,0.497418284416199,-0.0100001217797399,2.11798214912415,1,,,,,,,,,,,,,,,,
,3740032978.07513,2.00052618980408,82.8241539001465,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99850618839264,2.00078749656677,71.906982421875,92.7166976928711,,,3.13793206214905,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00049376487732,0,3154121920,1.99995161186565,,,0.0031211056396771,0.000155870913184626,0.00312317721525291,0.000155874811803965,0.948820114135742,0.963326930999756,31.6653327941895,0.188976064324379,30,4,200,0.495976835489273,-0.149596065282822,2.1240382194519,1,,,,,,,,,,,,,,,,
,3740032989.22883,2.00019609928131,104.951251983643,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99896991252899,2.00091528892517,94.1316604614258,114.892585754395,,,3.14262104034424,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00039911270142,0,3154122048,2.00002427534624,,,0.00357259524846314,0.000178368836765901,0.0035746576974628,0.000178373018694982,0.954594016075134,0.969080686569214,31.6746292114258,0.188938155770302,30,4,200,0.494100511074066,-0.289113372564316,2.1772313117981,1,,,,,,,,,,,,,,,,
,3740033000.4277,2.00027310848236,127.38330078125,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99886190891266,2.00103640556335,116.697883605957,137.275848388672,,,3.14699554443359,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00059580802917,0,3154121888,2.00006166371432,,,0.00402242081412694,0.000200833198684353,0.00402548753672766,0.000200839499408578,0.953952312469482,0.974291384220123,31.6559143066406,0.188933864235878,30,4,200,0.495299071073532,-0.558814167976379,2.06960773468018,1,,,,,,,,,,,,,,,,
,3740033011.59619,2.00030887126923,149.82145690918,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99898731708527,2.0010142326355,138.922576904297,159.915252685547,,,3.15169739723206,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.0006320476532,0,3154121984,1.99997837976976,,,0.00443154918028322,0.000221257559234132,0.00443501295710329,0.000221264323435997,0.954214155673981,0.97556883096695,31.6539115905762,0.188925176858902,30,4,200,0.494740724563599,-0.669568657875061,2.12060761451721,1,,,,,,,,,,,,,,,,
,3740033022.71329,2.00002431869507,172.052238464355,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99883675575256,2.00081539154053,161.08625793457,181.920379638672,,,3.15572881698608,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,1.99995112419128,0,3154122144,1.99998307228088,,,0.00482398168807904,0.00024083931086977,0.00482788170641058,0.00024084634710278,0.955280303955078,0.97893089056015,31.6510448455811,0.188951805233955,30,4,200,0.494543015956879,-0.809920132160187,2.13463187217712,1,,,,,,,,,,,,,,,,
,3740033033.79449,2.00002467632294,194.222038269043,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99893820285797,2.00089311599731,183.310958862305,204.145065307617,,,3.15976476669312,-99999999,1,0,0,0,0.012969970703125,30.3030319213867,1,6,1,2.00047421455383,0,3154122080,2.00001028451053,,,0.00520540827838116,0.000259868339605017,0.00520934291301281,0.000259874999750085,0.956484913825989,0.979135096073151,31.655891418457,0.188933461904526,30,4,200,0.495446652173996,-0.912767291069031,2.20571827888489,1,,,,,,,,,,,,,,,,
,3740033044.8639,2.00032913684845,216.263748168945,,,6,,,,31.8006210327148,,,10,,,,,,,,,,,,,,,,,,,,,,1.99898624420166,2.00069808959961,205.499053955078,226.040405273438,,,3.1637806892395,-99999999,1,0,0,0,0,30.3030319213867,1,6,1,2.00053858757019,0,3154121984,2.0000129071149,,,0.00558743554552377,0.000278893320323242,0.00559103176500477,0.000278900051595899,0.960526704788208,0.982090830802918,31.6673221588135,0.188896477222443,30,4,200,0.48827138543129,-1.15769505500793,2.19522714614868,1,,,,,,,,,,,,,,,,
