Started: March 08, 2024 13:20:42
Initial Temperature (K)	0.0203004
Resistor	1000000.0	Excitation Current (A)	2.5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.5e-06	5.2807688299999997e-11	3.1407575999999997
-1.494e-06	6.3590111e-11	3.2481800000000005
-1.488e-06	5.1336219500000006e-11	3.3202412000000003
-1.482e-06	6.10560094e-11	3.3503648
-1.476e-06	5.900492189999999e-11	3.3622964000000004
-1.47e-06	4.7170408999999994e-11	3.3723668000000004
-1.4639999999999999e-06	3.0054025000000006e-11	3.3441648
-1.458e-06	3.58834815e-11	3.3935540000000004
-1.452e-06	5.77604631e-11	3.431272800000001
-1.446e-06	5.1140305899999996e-11	3.3548456
-1.44e-06	2.3423347e-11	3.3479772
-1.434e-06	6.34541556e-11	3.2887216
-1.428e-06	2.6567354299999996e-11	3.4428264
-1.422e-06	4.8978749000000003e-11	3.397716
-1.4159999999999999e-06	8.63891016e-11	3.4076984
-1.4099999999999998e-06	6.810455022999999e-11	3.6231836
-1.4039999999999998e-06	4.4478957299999994e-11	3.5339800000000006
-1.398e-06	3.4165352799999996e-11	3.4435544
-1.392e-06	6.617893500000001e-11	3.2868003999999997
-1.386e-06	6.5297519e-11	3.4202711999999997
-1.38e-06	6.389230600000001e-11	3.5164296
-1.374e-06	2.51167395e-11	3.2722488000000007
-1.3679999999999999e-06	5.65913589e-11	3.384881600000001
-1.362e-06	7.769750430000001e-11	3.5034788
-1.3559999999999998e-06	7.139432e-11	3.4323207999999994
-1.35e-06	3.49209993e-11	3.4951844000000003
-1.3440000000000002e-06	1.75536425e-11	3.4960568000000003
-1.3380000000000001e-06	7.3410399e-11	3.3393912
-1.3320000000000001e-06	6.04308769e-11	3.5269660000000003
-1.326e-06	5.863697360000001e-11	3.4350268
-1.32e-06	7.5692278e-11	3.5556332000000004
-1.314e-06	5.398146599999999e-11	3.5754528
-1.308e-06	4.860057199999999e-11	3.393234000000001
-1.302e-06	5.3094754e-11	3.5746960000000008
-1.296e-06	5.3290986800000005e-11	3.6181184
-1.29e-06	4.4972633e-11	3.553421600000001
-1.2840000000000001e-06	5.5724531599999995e-11	3.6156452000000003
-1.278e-06	6.371604699999999e-11	3.6313024000000005
-1.272e-06	4.9769345699999994e-11	3.590936
-1.266e-06	6.2259767e-11	3.5322048
-1.26e-06	5.632964860000001e-11	3.363286
-1.254e-06	8.5054124e-11	3.4381700000000004
-1.248e-06	6.280394959999998e-11	3.4223376
-1.242e-06	6.871908900000001e-11	3.6616292
-1.236e-06	5.136648582999999e-11	3.5214076
-1.23e-06	6.7646091e-11	3.5964951999999997
-1.224e-06	3.1706817000000004e-11	3.605692
-1.218e-06	1.6319848099999998e-11	3.5687299999999995
-1.212e-06	4.7456391124e-11	3.516838
-1.206e-06	5.443542215e-11	3.625220400000001
-1.2e-06	4.9517969e-11	3.5509771999999997
-1.194e-06	5.805254329999999e-11	3.4895667999999995
-1.1879999999999999e-06	5.2102647999999984e-11	3.6279559999999997
-1.1819999999999999e-06	5.2056388e-11	3.5885784000000003
-1.1759999999999998e-06	2.2904223908e-11	3.5599696
-1.17e-06	5.76596677e-11	3.5840088000000003
-1.164e-06	3.74903999e-11	3.6209135999999993
-1.158e-06	4.2060618e-11	3.7208264
-1.152e-06	4.0035417999999996e-11	3.683166000000001
-1.146e-06	5.2988581e-11	3.5408188000000003
-1.14e-06	5.5654347199999986e-11	3.8286268000000008
-1.1339999999999999e-06	4.8505113000000005e-11	3.7566828
-1.128e-06	6.008811e-11	3.6756864
-1.1219999999999998e-06	5.338199999999999e-11	3.7416351999999997
-1.1160000000000002e-06	5.890943699999999e-11	3.6879384
-1.11e-06	6.63919604e-11	3.7861956
-1.1040000000000001e-06	5.96247121e-11	3.7779844000000002
-1.098e-06	5.4208089999999995e-11	3.893182800000001
-1.092e-06	7.089570699999999e-11	3.8006300000000004
-1.0859999999999999e-06	5.64553555e-11	3.8510072
-1.08e-06	6.815457200000001e-11	3.8857024000000004
-1.074e-06	3.819062699999999e-11	3.9261255999999998
-1.068e-06	6.53128115e-11	3.8397752000000005
-1.062e-06	6.24613222e-11	4.1543864
-1.0560000000000001e-06	4.53358174e-11	3.9897468000000003
