Started: March 08, 2024 20:19:06
Initial Temperature (K)	0.0198551
Resistor	1000000.0	Excitation Current (A)	2.5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.5e-06	4.7959636e-11	3.1683760000000003
-1.488e-06	4.6145836e-11	3.3313592
-1.476e-06	4.7445726e-11	3.3821168
-1.4639999999999999e-06	4.7093044e-11	3.3222784000000005
-1.452e-06	4.7213964000000005e-11	3.2836288000000002
-1.44e-06	4.686128000000001e-11	3.2449792000000004
-1.428e-06	4.6820974000000006e-11	3.3430008
-1.4159999999999999e-06	4.7224040000000005e-11	3.2896823999999993
-1.4039999999999998e-06	4.6085378e-11	3.3485880000000003
-1.392e-06	4.5642004e-11	3.225188
-1.38e-06	4.7133352000000006e-11	3.2107528000000003
-1.3679999999999999e-06	4.891692e-11	3.5548768
-1.3559999999999998e-06	4.5994688000000006e-11	3.4850264
-1.3440000000000002e-06	4.7375192e-11	3.3145944
-1.3320000000000001e-06	4.6689977999999996e-11	3.4417208
-1.32e-06	4.666982400000001e-11	3.4305448
-1.308e-06	4.7425580000000006e-11	3.5285664000000003
-1.296e-06	4.6528756e-11	3.5672160000000006
-1.2840000000000001e-06	4.706282e-11	3.5141312
-1.272e-06	4.701243399999999e-11	3.5306623999999998
-1.26e-06	4.6176072e-11	3.6531312
-1.248e-06	4.7294583999999996e-11	3.4042344
-1.236e-06	4.7264352e-11	3.6768808
-1.224e-06	4.6871364e-11	3.5597656
-1.212e-06	4.7355044e-11	3.8067992000000004
-1.2e-06	4.7274428e-11	3.4852600000000002
-1.1879999999999999e-06	4.6710138e-11	3.5355512000000004
-1.1759999999999998e-06	4.7183738e-11	3.550452
-1.164e-06	4.5591628000000004e-11	3.6847952
-1.152e-06	4.7224046e-11	3.6687304
-1.14e-06	4.5390094e-11	3.5755984000000005
-1.128e-06	4.6679904e-11	3.6957375999999997
-1.1160000000000002e-06	4.628691800000001e-11	3.8512703999999998
-1.1040000000000001e-06	4.7254276e-11	3.6922471999999997
-1.092e-06	4.621638000000001e-11	3.841024
-1.08e-06	4.7899179999999996e-11	3.8915488000000003
-1.068e-06	4.6024928e-11	3.8568512000000004
-1.0560000000000001e-06	4.5198634e-11	3.9460312
-1.044e-06	4.7556575999999996e-11	3.9956184
-1.032e-06	4.6266759999999996e-11	3.9839848000000004
-1.02e-06	4.7858874e-11	3.9253096
-1.008e-06	4.6518678e-11	4.1977264000000005
-9.96e-07	4.699228399999999e-11	4.276192
-9.84e-07	4.7213968e-11	4.117626400000001
-9.72e-07	4.6478376000000003e-11	4.4880640000000005
-9.6e-07	4.7375196e-11	4.644304
-9.48e-07	4.6911668e-11	4.765136
-9.359999999999999e-07	4.618615e-11	5.073184
-9.24e-07	4.8977384e-11	5.030576000000001
-9.12e-07	4.6891518e-11	5.088552
-9.000000000000001e-07	4.6720214e-11	5.465728
-8.88e-07	4.6710136e-11	5.753976
-8.76e-07	4.8312326000000004e-11	5.802168
-8.64e-07	4.6609370000000006e-11	6.336056000000001
-8.52e-07	4.7012436e-11	6.478784
-8.4e-07	4.5712552e-11	6.774008
-8.28e-07	4.5642012e-11	7.047120000000001
-8.159999999999999e-07	4.5571475999999996e-11	7.547704
-8.039999999999999e-07	4.7234122e-11	8.04224
-7.92e-07	4.624661e-11	8.451319999999999
-7.8e-07	4.6579140000000003e-11	9.101624000000001
-7.68e-07	4.7445732e-11	9.690016
-7.56e-07	4.729458400000001e-11	10.426688
-7.44e-07	4.5833465999999996e-11	8.695336000000001
-7.319999999999999e-07	4.7143433999999997e-11	5.599384
-7.2e-07	4.8675086e-11	2.6675560000000003
-7.079999999999999e-07	4.7516268e-11	1.6102640000000001
-6.96e-07	4.7899184000000005e-11	0.49220608000000005
-6.839999999999999e-07	4.7274431999999995e-11	0.64750616
-6.72e-07	4.6639604e-11	0.32223872000000003
-6.6e-07	4.7314738e-11	-0.087079184
-6.48e-07	4.6720218e-11	-0.11781309520000001
-6.36e-07	4.7334895999999995e-11	0.05285263200000001
-6.24e-07	4.7032588e-11	0.040978311999999996
-6.12e-07	4.7193819999999996e-11	-0.06449432
-6e-07	4.7899182000000003e-11	-0.013038400000000006
-5.879999999999999e-07	4.7153514e-11	-0.034692056000000006
-5.76e-07	4.7556575999999996e-11	0.018393679999999996
-5.639999999999999e-07	4.6417916000000005e-11	-0.11851145519999999
-5.52e-07	4.6901599999999994e-11	-0.16810456000000001
-5.4e-07	4.7697652e-11	-0.01769512
-5.280000000000001e-07	4.7707727999999996e-11	0.129920216
-5.16e-07	4.6448146e-11	0.0006983919999999887
-5.04e-07	4.7425581999999994e-11	-0.057509432000000006
-4.92e-07	4.7707727999999996e-11	0.030501016000000002
-4.8e-07	4.7355047999999996e-11	-0.12316760000000002
-4.6799999999999996e-07	4.578308800000001e-11	0.014202560000000013
-4.5599999999999995e-07	4.683106200000001e-11	0.19464752000000002
-4.4399999999999995e-07	4.6065234e-11	-0.20652184
-4.3199999999999995e-07	4.5500942e-11	-0.04540221600000001
-4.1999999999999995e-07	4.5793168e-11	-0.0037255999999999956
-4.079999999999999e-07	4.5228876e-11	0.077533008
-3.959999999999999e-07	4.6518684e-11	-0.0677540152
-3.839999999999999e-07	4.7344972e-11	-0.157627184
-3.719999999999999e-07	4.7294588e-11	-0.5485517599999999
-3.599999999999999e-07	4.6014852e-11	0.024214520000000003
-3.479999999999999e-07	4.7143438e-11	-0.11944296000000001
-3.360000000000001e-07	4.744573600000001e-11	-0.12177088
-3.2400000000000004e-07	4.7072901999999994e-11	0.35064453600000006
-3.1200000000000004e-07	4.7274438000000005e-11	-0.17113136
-3.0000000000000004e-07	4.7264357999999996e-11	0.019325119999999998
-2.8800000000000004e-07	4.7536432e-11	-0.097091032
-2.7600000000000004e-07	4.5863708e-11	-0.08218973599999999
-2.6400000000000003e-07	4.6589222e-11	0.07054792000000001
-2.52e-07	4.6770604e-11	0.06775416000000001
-2.4e-07	4.7617044e-11	-0.1299200248
-2.2799999999999998e-07	4.7334900000000004e-11	-0.01280568000000001
-2.1599999999999998e-07	4.5652096e-11	-0.2509928
-2.0399999999999995e-07	4.7395352000000004e-11	-0.106869952
-1.9199999999999995e-07	4.7123286000000005e-11	0.16158558400000003
-1.7999999999999994e-07	4.5823398e-11	0.004656584
-1.6799999999999992e-07	4.566217e-11	-0.08009424000000001
-1.5599999999999991e-07	4.6468302000000004e-11	-0.009546111999999999
-1.439999999999999e-07	4.4795582e-11	-0.1580928
-1.3199999999999988e-07	4.7627118000000005e-11	-0.26798952000000004
-1.1999999999999988e-07	4.6820987999999995e-11	0.006286431999999997
-1.0799999999999987e-07	4.704267399999999e-11	0.16600927199999999
-9.599999999999987e-08	4.5450562000000003e-11	-0.06682279999999999
-8.400000000000008e-08	4.8221642e-11	-0.16880336
-7.200000000000006e-08	4.5752861999999995e-11	-0.14691704000000003
-6.000000000000005e-08	4.7999952e-11	-0.315021392
-4.800000000000004e-08	4.5934244e-11	-0.0828882
-3.600000000000003e-08	4.6105543999999996e-11	0.06984952000000001
-2.400000000000002e-08	4.5309486e-11	0.05168856800000001
-1.200000000000001e-08	4.7143439999999994e-11	-0.137370736
0.0	4.7637194000000005e-11	0.060070559999999995
1.200000000000001e-08	4.7697656000000005e-11	0.12386680000000001
2.400000000000002e-08	4.600478e-11	0.18952527200000002
3.600000000000003e-08	4.693183000000001e-11	0.05983776
4.800000000000004e-08	4.7959646000000004e-11	0.19837296
6.000000000000005e-08	4.75062e-11	-0.05564688000000001
7.200000000000006e-08	4.737520199999999e-11	0.023283184000000002
8.400000000000008e-08	4.6951984000000005e-11	-0.08870895999999999
9.600000000000008e-08	4.7899188e-11	-0.021420487999999998
1.080000000000001e-07	4.6478382e-11	-0.20349504000000002
1.200000000000001e-07	4.8292178e-11	-0.02025645599999999
1.3200000000000012e-07	4.6941905999999997e-11	0.06449444800000001
1.4400000000000012e-07	4.7929422e-11	0.03189784000000001
1.5600000000000013e-07	4.6438071999999995e-11	0.14086312
1.6799999999999992e-07	4.692175400000001e-11	-0.064494368
1.7999999999999994e-07	4.6871372000000006e-11	-0.09080448
1.9199999999999995e-07	4.5964474e-11	-0.006519280000000005
2.0399999999999995e-07	4.7435666e-11	-0.043772472
2.1599999999999998e-07	4.8473558e-11	-0.002794000000000002
2.2799999999999998e-07	4.7365124e-11	0.0067522399999999875
2.4e-07	4.694190600000001e-11	-0.01932512
2.52e-07	4.710313599999999e-11	-0.059139359999999995
2.6400000000000003e-07	4.7294592e-11	-0.067986744
2.7600000000000004e-07	4.666984e-11	-0.006519215199999995
2.8800000000000004e-07	4.7183746e-11	0.1348099352
3.0000000000000004e-07	4.596447e-11	-0.18091056
