Started: March 09, 2024 02:32:39
Initial Temperature (K)	0.0200233
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.5e-06	4.7002386e-11	2.8563808
-1.494e-06	4.5712578000000005e-11	3.30994
-1.488e-06	4.653886e-11	3.3276360000000005
-1.482e-06	4.670008400000001e-11	3.2773440000000003
-1.476e-06	4.6478395999999996e-11	3.27036
-1.47e-06	4.6347402e-11	3.187932
-1.4639999999999999e-06	4.6024951999999996e-11	3.30342
-1.458e-06	4.6468326e-11	3.2126159999999997
-1.452e-06	4.7506218e-11	3.304816
-1.446e-06	4.693184599999999e-11	3.2624400000000002
-1.44e-06	4.778836e-11	3.295968
-1.434e-06	4.7919358e-11	3.3299600000000007
-1.428e-06	4.7234148000000005e-11	3.313196
-1.422e-06	4.5994722e-11	3.3145960000000003
-1.4159999999999999e-06	4.6881464e-11	3.304816
-1.4099999999999998e-06	4.7254300000000006e-11	3.3299640000000004
-1.4039999999999998e-06	4.5803266e-11	3.3350880000000003
-1.398e-06	4.6155950000000007e-11	3.3937559999999998
-1.392e-06	4.5843574e-11	3.2978319999999997
-1.386e-06	4.8544108e-11	3.3462560000000003
-1.38e-06	4.8040276e-11	3.4370720000000006
-1.374e-06	4.7546522e-11	3.4165800000000006
-1.3679999999999999e-06	4.5621885999999996e-11	3.3714039999999996
-1.362e-06	4.6458248000000004e-11	3.4235599999999997
-1.3559999999999998e-06	4.64784e-11	3.3816520000000003
-1.35e-06	4.734499e-11	3.375136
-1.3440000000000002e-06	4.8513888000000004e-11	3.499
-1.3380000000000001e-06	4.7093076e-11	3.444052
-1.3320000000000001e-06	4.5974572000000006e-11	3.421228
-1.326e-06	4.7294608e-11	3.439856
-1.32e-06	4.7344994e-11	3.343
-1.314e-06	4.7153536e-11	3.39562
-1.308e-06	4.6921768000000004e-11	3.3695480000000004
-1.302e-06	4.7213992e-11	3.44172
-1.296e-06	4.6579166000000005e-11	3.436128
-1.29e-06	4.6508628e-11	3.3602320000000008
-1.2840000000000001e-06	4.761706e-11	3.46966
-1.278e-06	4.6387707999999996e-11	3.4398600000000004
-1.272e-06	4.7516292e-11	3.3923640000000006
-1.266e-06	4.6276864000000006e-11	3.4868880000000004
-1.26e-06	4.6730316000000005e-11	3.510172
-1.254e-06	4.608541400000001e-11	3.4403240000000004
-1.248e-06	4.7395372e-11	3.54836
-1.242e-06	4.7496138000000004e-11	3.56698
-1.236e-06	4.567227e-11	3.5483559999999996
-1.23e-06	4.6407864000000006e-11	3.607964
-1.224e-06	4.567227e-11	3.512504
-1.218e-06	4.6911696000000006e-11	3.396552
-1.212e-06	4.6952002e-11	3.46268
-1.206e-06	4.7153536e-11	3.6121519999999996
-1.2e-06	4.7667444e-11	3.529264
-1.194e-06	4.6871384e-11	3.55208
-1.1879999999999999e-06	4.7506209999999996e-11	3.480368000000001
-1.1819999999999999e-06	4.7244224000000005e-11	3.5981800000000006
-1.1759999999999998e-06	4.6559012000000004e-11	3.5329880000000005
-1.17e-06	4.6720240000000004e-11	3.6382280000000002
-1.164e-06	4.7516292e-11	3.748592
-1.158e-06	4.7244222000000004e-11	3.6386960000000004
-1.152e-06	4.841311e-11	3.5339240000000003
-1.146e-06	4.6669856000000006e-11	3.67036
-1.14e-06	4.6841154e-11	3.667096
-1.1339999999999999e-06	4.7123304e-11	3.6866600000000007
-1.128e-06	4.7254300000000006e-11	3.6498720000000007
-1.1219999999999998e-06	4.6931844e-11	3.773272
-1.1160000000000002e-06	4.7969741999999997e-11	3.6983000000000006
-1.11e-06	4.6821004000000004e-11	3.7164600000000005
-1.1040000000000001e-06	4.6024951999999996e-11	3.68712
-1.098e-06	4.823173e-11	3.725312
-1.092e-06	4.6730316000000005e-11	3.7695400000000006
-1.0859999999999999e-06	4.632725e-11	3.84266
-1.08e-06	4.6357479999999995e-11	3.8091239999999997
-1.074e-06	4.8312342e-11	3.83474
-1.068e-06	4.6498554e-11	3.9343920000000003
-1.062e-06	4.616602600000001e-11	3.9255400000000003
