Started: March 10, 2024 15:56:12
Initial Temperature (K)	0.0200719
Resistor	1000000.0	Excitation Current (A)	5e-08
Current (A)	Measured Current (A)	Resistance (Ohms)
-1.5e-06	4.5581586e-11	2.8903776
-1.494e-06	4.440262e-11	3.292708
-1.488e-06	4.5138212e-11	3.2531279999999994
-1.482e-06	4.4654536e-11	3.286656
-1.476e-06	4.5309514e-11	3.316924
-1.47e-06	4.4614228e-11	3.3122680000000004
-1.4639999999999999e-06	4.4634378e-11	3.309476000000001
-1.458e-06	4.5148288e-11	3.355572
-1.452e-06	4.5128132e-11	3.3267
-1.446e-06	4.63071e-11	3.3453280000000007
-1.44e-06	4.5682346e-11	3.3248360000000003
-1.434e-06	4.6166029999999997e-11	3.356504
-1.428e-06	4.4785532e-11	3.4379960000000005
-1.422e-06	4.4180936e-11	3.3173880000000002
-1.4159999999999999e-06	4.4845992000000005e-11	3.2992280000000003
-1.4099999999999998e-06	4.485607200000001e-11	3.416108
-1.4039999999999998e-06	4.3808106e-11	3.37746
-1.398e-06	4.5148288e-11	3.377456
-1.392e-06	4.4029792e-11	3.431944
-1.386e-06	4.6266796e-11	3.3425400000000005
-1.38e-06	4.5823424e-11	3.419368
-1.374e-06	4.5712584e-11	3.398876
-1.3679999999999999e-06	4.5742814000000004e-11	3.3774600000000006
-1.362e-06	4.4442932e-11	3.39562
-1.3559999999999998e-06	4.5228908000000005e-11	3.421228
-1.35e-06	4.5460665999999994e-11	3.411916
-1.3440000000000002e-06	4.4402626e-11	3.3318280000000002
-1.3380000000000001e-06	4.4372396e-11	3.41704
-1.3320000000000001e-06	4.4332088e-11	3.441256
-1.326e-06	4.5702508e-11	3.470128
-1.32e-06	4.5047523999999995e-11	3.5008600000000003
-1.314e-06	4.5007216000000003e-11	3.501328
-1.308e-06	4.536997800000001e-11	3.484556
-1.302e-06	4.6881466000000004e-11	3.5129680000000008
-1.296e-06	4.5944346e-11	3.4598799999999996
-1.29e-06	4.4080172e-11	3.467792
-1.2840000000000001e-06	4.5793194000000006e-11	3.4514959999999997
-1.278e-06	4.602495599999999e-11	3.544632
-1.272e-06	4.6286952e-11	3.56698
-1.266e-06	4.5440512e-11	3.4673360000000004
-1.26e-06	4.6810930000000005e-11	3.5539479999999997
-1.254e-06	4.5440512e-11	3.470592
-1.248e-06	4.5571507999999996e-11	3.513436
-1.242e-06	4.4412696e-11	3.5315920000000007
-1.236e-06	4.5349822e-11	3.579088
-1.23e-06	4.5803268e-11	3.559532
-1.224e-06	4.5037446e-11	3.565584
-1.218e-06	4.5682354000000006e-11	3.5749079999999998
-1.212e-06	4.4694842000000006e-11	3.5753640000000004
-1.206e-06	4.6055186000000007e-11	3.6084240000000003
-1.2e-06	4.4271626e-11	3.692244
-1.194e-06	4.3828256e-11	3.592128
-1.1879999999999999e-06	4.5823426000000003e-11	3.6535960000000003
-1.1819999999999999e-06	4.4483234e-11	3.6414920000000004
-1.1759999999999998e-06	4.4886298e-11	3.65872
-1.17e-06	4.5893966e-11	3.7308999999999997
-1.164e-06	4.507775e-11	3.6596520000000003
-1.158e-06	4.607533800000001e-11	3.7043559999999998
-1.152e-06	4.5037444e-11	3.770008
-1.146e-06	4.4997138e-11	3.741144
-1.14e-06	4.4876226000000003e-11	3.7597640000000006
-1.1339999999999999e-06	4.5642046e-11	3.75092
-1.128e-06	4.5490894e-11	3.810060000000001
-1.1219999999999998e-06	4.502737e-11	3.871992
-1.1160000000000002e-06	4.3646874000000004e-11	3.8105200000000004
-1.11e-06	4.6286948e-11	3.9152960000000006
-1.1040000000000001e-06	4.4614228e-11	3.9534840000000004
-1.098e-06	4.3606566e-11	3.869196
-1.092e-06	4.6014884e-11	3.9939960000000005
-1.0859999999999999e-06	4.5843578e-11	3.99074
-1.08e-06	4.4835916e-11	4.025664000000001
-1.074e-06	4.5007216e-11	3.996788
-1.068e-06	4.426155000000001e-11	4.104820000000001
-1.062e-06	4.5742812e-11	4.182119999999999
-1.0560000000000001e-06	4.4261548e-11	4.060124
-1.0500000000000001e-06	4.4543692e-11	4.16908
-1.044e-06	4.4745226e-11	4.280844
-1.038e-06	4.5017294000000005e-11	4.2775799999999995
-1.032e-06	4.5218826e-11	4.347896
-1.026e-06	4.5601738e-11	4.386076
-1.02e-06	4.5783116e-11	4.313903999999999
-1.014e-06	4.4553768e-11	4.441032000000001
-1.008e-06	4.6740398e-11	4.481072
-1.002e-06	4.4644458e-11	4.59982
-9.96e-07	4.3687178000000006e-11	4.60494
-9.9e-07	4.4583996e-11	4.637072
-9.84e-07	4.5621892e-11	4.668272
-9.78e-07	4.5097908e-11	4.798668
-9.72e-07	4.5611816000000006e-11	4.733472000000001
-9.66e-07	4.5279286000000006e-11	4.85828
-9.6e-07	4.5974572000000006e-11	4.945359999999999
-9.539999999999999e-07	4.5511048000000004e-11	4.955603999999999
-9.48e-07	4.5813348e-11	5.07202
-9.419999999999999e-07	4.565212000000001e-11	5.207527999999999
-9.359999999999999e-07	4.3767796e-11	5.251768
-9.3e-07	4.4624306e-11	5.176788
-9.24e-07	4.589396e-11	5.357472
-9.18e-07	4.5803268e-11	5.427316
-9.12e-07	4.3576336000000004e-11	5.404031999999999
-9.06e-07	4.5652119999999995e-11	5.528368
-9.000000000000001e-07	4.550096800000001e-11	5.573072000000001
-8.94e-07	4.2800435999999997e-11	5.796124000000001
-8.88e-07	4.5460664000000006e-11	5.725344
