Initial Temperature (K)	0.0177647
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	        Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.003	                -1.6e-06	                    2.85947	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -13.548
-0.003	                -1.59e-06	                    3.05331	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -9.903
-0.003	                -1.58e-06	                    3.16011	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.14
-0.003	                -1.57e-06	                    3.14119	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -11.205
-0.003	                -1.56e-06	                    3.0565	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -10.494
-0.003	                -1.55e-06	                    3.09201	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -11.205
-0.003	                -1.54e-06	                    3.06116	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.707
-0.003	                -1.53e-06	                    3.06785	                        -0.003	                            -0.0	                                -0.0	                                    True	                                        -9.444
-0.003	                -1.52e-06	                    3.14905	                        -0.003	                            -0.0	                                -0.0	                                    True	                                        -10.191
-0.003	                -1.51e-06	                    3.02129	                        -0.003	                            -0.0	                                -0.0	                                    True	                                        -9.345
-0.003	                -1.5e-06	                    3.05825	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.746
-0.003	                -1.49e-06	                    3.14818	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -11.307
-0.003	                -1.48e-06	                    3.11063	                        -0.003	                            0.0	                                0.0	                                    True	                                        -12.108
-0.003	                -1.47e-06	                    3.07425	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.797
-0.003	                -1.46e-06	                    3.04049	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -7.734
-0.003	                -1.45e-06	                    3.04544	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -11.553
-0.003	                -1.44e-06	                    2.89497	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -10.818
-0.003	                -1.43e-06	                    3.09259	                        -0.003	                            0.0	                                0.0	                                    True	                                        -9.594
-0.003	                -1.42e-06	                    3.08677	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -8.946
-0.003	                -1.41e-06	                    3.00324	                        -0.003	                            -0.0	                                -0.0	                                    True	                                        -9.225
-0.003	                -1.4e-06	                    2.87461	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.545
-0.003	                -1.39e-06	                    3.16622	                        -0.003	                            0.0	                                0.0	                                    True	                                        -11.412
-0.003	                -1.38e-06	                    3.09201	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -11.772
-0.003	                -1.37e-06	                    3.13013	                        -0.003	                            0.0	                                -0.0	                                    True	                                        -10.572
-0.003	                -1.36e-06	                    3.1246	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.143
-0.003	                -1.35e-06	                    3.17525	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -8.901
-0.003	                -1.34e-06	                    3.17961	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -8.172
-0.003	                -1.33e-06	                    3.04108	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -10.992
-0.003	                -1.32e-06	                    3.02711	                        -0.003	                            -0.0	                                0.0	                                    True	                                        -11.412
-0.003	                -1.31e-06	                    2.98375	                        -0.003	                            0.0	                                0.0	                                    True	                                        -10.902
