Initial Temperature (K)	0.0200998
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.1	                -2e-06	                    3.39779333	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.505
-0.1	                -1.99e-06	                    3.25926	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.631
-0.1	                -1.98e-06	                    3.30815333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.843
-0.1	                -1.97e-06	                    3.35471667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.496
-0.1	                -1.96e-06	                    3.29418667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.873
-0.1	                -1.95e-06	                    3.24800667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.052
-0.1	                -1.94e-06	                    3.31902	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.155
-0.1	                -1.93e-06	                    3.34695667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.151
-0.1	                -1.92e-06	                    3.34424333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.89
-0.1	                -1.91e-06	                    3.27827667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.95
-0.1	                -1.9e-06	                    3.29767667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.932
-0.1	                -1.89e-06	                    3.30698333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.153
-0.1	                -1.88e-06	                    3.31242333	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.915
-0.1	                -1.87e-06	                    3.28331667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.777
-0.1	                -1.86e-06	                    3.31669	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.048
-0.1	                -1.85e-06	                    3.30233333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.631
-0.1	                -1.84e-06	                    3.33842	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.325
-0.1	                -1.83e-06	                    3.30621333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.435
-0.1	                -1.82e-06	                    3.2969	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.803
-0.1	                -1.81e-06	                    3.26896333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.718
-0.1	                -1.8e-06	                    3.30892667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.521
-0.1	                -1.79e-06	                    3.31552667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.993
-0.1	                -1.78e-06	                    3.31747	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.022
-0.1	                -1.77e-06	                    3.26546667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.693
-0.1	                -1.76e-06	                    3.40361333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.028
-0.1	                -1.75e-06	                    3.29922667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.626
-0.1	                -1.74e-06	                    3.34424333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.94
-0.1	                -1.73e-06	                    3.29651667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.932
-0.1	                -1.72e-06	                    3.2969	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.905
-0.1	                -1.71e-06	                    3.33454	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.035
-0.1	                -1.7e-06	                    3.32367	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.966
-0.1	                -1.69e-06	                    3.3229	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.466
-0.1	                -1.68e-06	                    3.33531667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.214
-0.1	                -1.67e-06	                    3.34773	                        -0.1	                            -0.0	                                0.0	                                    True	                                        7.111
-0.1	                -1.66e-06	                    3.31358667	                        -0.1	                            0.0	                                0.0	                                    True	                                        8.127
-0.1	                -1.65e-06	                    3.27206667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.371
-0.1	                -1.64e-06	                    3.33997667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.373
-0.1	                -1.63e-06	                    3.40555667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.038
-0.1	                -1.62e-06	                    3.31824333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.516
-0.1	                -1.61e-06	                    3.32794667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.625
-0.1	                -1.6e-06	                    3.40283333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.642
-0.1	                -1.59e-06	                    3.37994667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.95
-0.1	                -1.58e-06	                    3.30932	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.909
-0.1	                -1.57e-06	                    3.30039	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.714
-0.1	                -1.56e-06	                    3.32755667	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        7.185
-0.1	                -1.55e-06	                    3.28448667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.318
-0.1	                -1.54e-06	                    3.31474667	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.726
-0.1	                -1.53e-06	                    3.42922	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.014
-0.1	                -1.52e-06	                    3.31785	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.942
-0.1	                -1.51e-06	                    3.28642333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.383
-0.1	                -1.5e-06	                    3.2969	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.691
-0.1	                -1.49e-06	                    3.36636	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.437
-0.1	                -1.48e-06	                    3.34075	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.867
-0.1	                -1.47e-06	                    3.34734333	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.374
-0.1	                -1.46e-06	                    3.40439	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.18
-0.1	                -1.45e-06	                    3.32096	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.483
-0.1	                -1.44e-06	                    3.36830333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.505
-0.1	                -1.43e-06	                    3.32251	                        -0.1	                            -0.0	                                -0.0	                                    True	                                        6.462
-0.1	                -1.42e-06	                    3.31630667	                        -0.1	                            0.0	                                0.0	                                    True	                                        7.405
-0.1	                -1.41e-06	                    3.30893333	                        -0.1	                            0.0	                                0.0	                                    True	                                        5.389
-0.1	                -1.4e-06	                    3.32328667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        8.135
-0.1	                -1.39e-06	                    3.36636	                        -0.1	                            0.0	                                -0.0	                                    True	                                        6.362
-0.1	                -1.38e-06	                    3.38344	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.893
-0.1	                -1.37e-06	                    3.34734667	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.793
-0.1	                -1.36e-06	                    3.32872	                        -0.1	                            0.0	                                0.0	                                    True	                                        6.384
-0.1	                -1.35e-06	                    3.38072	                        -0.1	                            -0.0	                                0.0	                                    True	                                        5.987
-0.1	                -1.34e-06	                    3.38537333	                        -0.1	                            -0.0	                                0.0	                                    True	                                        6.51
-0.1	                -1.33e-06	                    3.37062667	                        -0.1	                            0.0	                                -0.0	                                    True	                                        7.235
