Initial Temperature (K)	0.0200743
Excitation Current (A)	5e-08
Axis 1,2	x,y
Angle	0
Field (T)	        Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.005	                -1.6e-06	                    3.076	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -13.332
-0.005	                -1.59e-06	                    3.11063	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.557
-0.005	                -1.58e-06	                    3.0923	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.95
-0.005	                -1.57e-06	                    3.08298	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.231
-0.005	                -1.56e-06	                    3.10307	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.167
-0.005	                -1.55e-06	                    3.08881	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.936
-0.005	                -1.54e-06	                    3.099	                        -0.005	                            0.0	                                0.0	                                    True	                                        -10.869
-0.005	                -1.53e-06	                    3.0824	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.536
-0.005	                -1.52e-06	                    3.20522	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.801
-0.005	                -1.51e-06	                    3.03525	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -10.977
-0.005	                -1.5e-06	                    3.08531	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.874
-0.005	                -1.49e-06	                    3.03119	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.005
-0.005	                -1.48e-06	                    3.08416	                        -0.005	                            0.0	                                0.0	                                    True	                                        -10.449
-0.005	                -1.47e-06	                    3.09637	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -12.033
-0.005	                -1.46e-06	                    3.00208	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.392
-0.005	                -1.45e-06	                    3.08619	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.565
-0.005	                -1.44e-06	                    3.04515	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.511
-0.005	                -1.43e-06	                    3.23113	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.104
-0.005	                -1.42e-06	                    3.01197	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.386
-0.005	                -1.41e-06	                    3.14439	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -9.555
-0.005	                -1.4e-06	                    3.06203	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -8.418
-0.005	                -1.39e-06	                    3.11965	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -9.225
-0.005	                -1.38e-06	                    2.98578	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.938
-0.005	                -1.37e-06	                    3.10801	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.804
-0.005	                -1.36e-06	                    3.076	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.487
-0.005	                -1.35e-06	                    2.96308	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.229
-0.005	                -1.34e-06	                    3.07047	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -8.748
-0.005	                -1.33e-06	                    3.18922	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.907
-0.005	                -1.32e-06	                    3.11529	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.034
-0.005	                -1.31e-06	                    3.08444	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -10.143
-0.005	                -1.3e-06	                    3.19678	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.271
-0.005	                -1.29e-06	                    3.0437	                        -0.005	                            0.0	                                -0.0	                                    True	                                        -10.413
-0.005	                -1.28e-06	                    3.25266	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.426
-0.005	                -1.27e-06	                    3.06204	                        -0.005	                            0.0	                                0.0	                                    True	                                        -9.189
-0.005	                -1.26e-06	                    3.03322	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.508
-0.005	                -1.25e-06	                    3.08473	                        -0.005	                            -0.0	                                -0.0	                                    True	                                        -11.721
-0.005	                -1.24e-06	                    3.1281	                        -0.005	                            0.0	                                0.0	                                    True	                                        -11.553
-0.005	                -1.23e-06	                    3.19649	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -11.208
-0.005	                -1.22e-06	                    3.11092	                        -0.005	                            -0.0	                                0.0	                                    True	                                        -9.84
