Started: March 05, 2024 21:31:22
Resistor	1000000.0	Excitation Current (A)	5e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
1063.0014666666664	73.7873	73.038	64.0745
1063.454633333333	73.636	72.9072	63.781
1062.7095333333334	73.4843	72.7329	63.4884
1063.7314666666666	73.3332	72.6185	63.2019
1063.6769333333332	73.1818	72.3897	62.9067
1064.1251	73.0299	72.2154	62.6163
1063.6497333333334	72.8795	72.0739	62.3183
1063.5626333333332	72.7287	71.9759	62.0228
1063.3490666666667	72.577	71.7799	61.7218
1063.5713	72.4255	71.6438	61.4266
1063.4956333333332	72.2749	71.5186	61.1332
1064.0209000000004	72.1224	71.2738	60.8352
1063.500533333333	71.9691	71.0997	60.5387
1063.2098999999996	71.8145	70.9909	60.2412
1064.0680333333332	71.6605	70.8385	59.9372
1063.7577000000003	71.5049	70.6917	59.6342
1064.0780333333335	71.3492	70.4415	59.3283
1063.6209666666664	71.1922	70.3763	59.034
1063.9911	71.0355	70.1643	58.7322
1064.2729666666667	70.8815	69.9794	58.4295
1064.148633333333	70.7252	69.8599	58.1242
1063.9202666666665	70.5717	69.6534	57.8179
1063.9699333333335	70.337	69.4653	57.5083
1064.1661333333334	70.1809	69.3207	57.2034
1064.0269666666668	70.0231	69.1806	56.9013
1063.8940333333335	69.8896	69.1062	56.596
1064.0828666666666	69.8274	69.023	56.2847
1063.6308	69.6651	68.8522	55.9652
1064.0469333333335	69.4986	68.6815	55.6416
1064.1474666666666	69.3303	68.594	55.3146
1064.0755666666662	69.162	68.4539	54.9973
1064.6119333333331	68.9925	68.2701	54.6851
1064.2070999999999	68.8285	68.1302	54.3688
1064.1761000000001	68.6605	67.9683	54.0535
1064.196	68.494	67.824	53.7347
1064.1884999999997	68.3261	67.6491	53.4206
1064.2989666666663	68.1567	67.4829	53.1114
1064.5001333333332	67.9872	67.3256	52.7981
1064.4841333333331	67.8171	67.1901	52.4838
1064.1834999999999	67.6456	67.0153	52.1659
1064.3711000000005	67.4739	66.858	51.8479
1064.7076	67.2997	66.7357	51.5367
1064.263	67.1256	66.4911	51.2206
1064.5437	66.9528	66.3295	50.9084
1064.5510666666662	66.7818	66.1636	50.5895
1065.2539666666664	66.61	66.0457	50.272
1064.4120666666668	66.4372	65.8318	49.9507
1064.5188666666666	66.2642	65.6791	49.6367
1064.7572000000002	66.0894	65.5089	49.3168
1064.0357666666669	65.9144	65.2341	48.9974
1065.0689666666663	65.7384	64.9681	48.6761
1064.897333333333	65.5603	64.8198	48.3523
1064.9969333333331	65.3837	64.6018	48.0325
1064.4516999999998	65.2045	64.4537	47.7109
1065.1382666666664	65.023	64.2706	47.3877
1064.4877333333336	64.8465	64.1007	47.0662
1064.5858666666666	64.6697	63.9264	46.739
1064.960833333333	64.492	63.713	46.4104
1064.766	64.312	63.5388	46.09
1064.8614999999998	64.1328	63.356	45.7681
1065.4760666666666	63.9511	63.1862	45.4424
1065.738133333333	63.769	62.9991	45.1131
1065.4165333333333	63.5863	62.812	44.7837
1065.0963	63.4017	62.5901	44.4543
1065.122266666667	63.2162	62.4335	44.1285
1064.7597666666668	63.0294	62.1856	43.8028
1065.5867333333333	62.8463	61.99	43.4739
1064.8913333333335	62.6626	61.7857	43.1439
1065.3271666666672	62.4783	61.6162	42.8144
1065.3532666666663	62.2922	61.4376	42.4884
1064.917433333333	62.1046	61.2474	42.1571
1065.1955666666665	61.9169	61.089	41.8271
1065.0911666666666	61.728	60.9341	41.492
1065.4787	61.5367	60.7546	41.1657
1065.4538333333335	61.3453	60.5681	40.8382
1065.588	61.1519	60.4133	40.5089
1066.0921666666668	60.9596	60.2726	40.1777
1066.0796333333333	60.7695	60.0581	39.8424
1065.3595000000003	60.5778	59.8964	39.513
1065.6749333333332	60.3829	59.7241	39.1874
1065.7680666666668	60.1899	59.5168	38.858
1065.7617333333335	59.9948	59.3587	38.5271
1065.6239	59.9409	59.2884	38.1906
1065.867233333333	59.7502	59.1128	37.7962
1065.8065	59.5477	58.9232	37.4162
1065.5642999999998	59.3441	58.7301	36.8899
1065.4811666666667	59.1386	58.5335	36.5559
1065.8214	58.9345	58.344	36.2339
1065.9777666666669	58.7322	58.137	35.9182
1066.1777666666665	58.5284	57.9546	35.6042
1065.8089333333332	58.3241	57.7302	35.2886
1065.8798	58.1168	57.5269	34.9731
1065.7108666666668	57.9077	57.3131	34.6683
1065.8485333333335	57.6978	57.1029	34.3633
1066.7602333333334	57.486	56.8682	34.0602
1066.2000666666668	57.2731	56.6861	33.7559
1066.012633333333	57.0576	56.4691	33.4524
1065.7282333333335	56.8467	56.2346	33.1588
1066.0362666666667	56.6348	56.0107	32.8663
1066.1132666666665	56.4208	55.7833	32.5735
1066.2795666666666	56.2049	55.5944	32.2816
1066.0623666666665	55.9875	55.3392	31.9912
1066.5912999999998	55.7689	55.1191	31.7123
1067.028366666667	55.5473	54.878	31.4353
1066.6943666666668	55.3233	54.6649	31.1593
1066.1740666666667	55.0976	54.4342	30.8848
1066.1119	54.874	54.2323	30.6119
1066.2611	54.6512	54.0248	30.3516
1066.3628666666666	54.4256	53.8117	30.0929
1066.7700333333332	54.1987	53.593	29.8385
1067.2183333333332	53.9688	53.4141	29.5845
1066.6769666666669	53.7374	53.1955	29.3329
1066.7093666666665	53.5024	52.9798	29.0917
1066.9750333333334	53.2662	52.7358	28.8563
1066.8195999999998	53.0314	52.5373	28.6289
1067.0196666666666	52.7975	52.3076	28.4013
1066.4285000000002	52.5602	52.0554	28.1771
1066.5353666666665	52.3205	51.8656	27.9569
1066.9824666666666	52.0791	51.6305	27.7494
1067.5736000000004	51.8339	51.404	27.5461
1066.8160333333337	51.5874	51.1323	27.347
1066.7289666666668	51.3398	50.8862	27.1512
1066.8744333333332	51.0951	50.6656	26.9604
1067.2208333333333	50.8478	50.3858	26.7732
1067.1040000000003	50.5977	50.1286	26.591
1067.1376333333333	50.4363	49.9902	26.3177
1067.102733333333	50.3715	49.897	25.6917
1066.9563	50.2502	49.8123	25.1378
1067.3647666666664	50.1331	49.657	24.5927
1066.8744333333336	50.0159	49.5385	24.041
1066.8433333333335	49.8976	49.434	23.5062
1067.2046333333335	49.779	49.2986	22.9692
1067.5276333333334	49.6578	49.1886	22.4551
1067.2618	49.5381	49.0701	21.9454
1068.1035666666662	49.4182	48.9206	21.4533
1067.3014333333333	49.2962	48.7853	20.9813
1067.260666666667	49.1731	48.6556	20.5218
1067.3226666666665	49.0482	48.5288	20.0906
1066.7712999999999	48.9215	48.3992	19.6778
1067.7223333333332	48.7925	48.2597	19.2919
1067.5412333333338	48.6612	48.1514	18.9322
1067.6752000000001	48.5285	48.0294	18.5986
1067.3252333333332	48.3924	47.9257	18.2966
1067.0842	48.256	47.7991	18.0203
1066.9675333333334	48.1163	47.6518	17.7702
1067.5188666666668	47.9744	47.5345	17.5491
1067.9385333333332	47.8302	47.408	17.3497
1067.7834666666668	47.6873	47.27	17.1733
1067.6666000000002	47.544	47.1435	17.0197
1067.609333333333	47.3977	47.0033	16.8821
1067.3947	47.249	46.8585	16.7595
1067.9446333333333	47.0968	46.7275	16.6517
1067.5177333333336	46.9431	46.5828	16.5577
1068.0924666666663	46.7068	46.4129	16.4716
1067.7189000000003	46.5463	46.2752	16.3939
1067.4456333333333	46.3824	46.1489	16.3223
1068.221766666667	46.2156	45.9585	16.2545
1067.7138	46.0457	45.8186	16.1917
1068.189233333334	45.8777	45.6535	16.1382
1067.8416333333332	45.7081	45.477	16.087
1067.6629666666663	45.5348	45.312	16.0399
1067.8677666666663	45.3581	45.1356	15.9978
1067.3201333333334	45.1796	44.9707	15.96
1067.5263666666663	44.9967	44.7716	15.9219
1068.0194000000001	44.8097	44.5656	15.8857
1068.5530999999999	44.6205	44.3964	15.8501
1067.9745333333335	44.4277	44.2043	15.815
1068.0056	44.2305	44.0008	15.7812
1068.3309666666669	44.0362	43.7952	15.7486
1068.0142666666666	43.8392	43.5827	15.7187
1068.3817999999999	43.638	43.3681	15.6886
1067.9608333333335	43.4338	43.1558	15.6602
1067.8292666666669	43.2251	42.9254	15.6301
1068.2080666666666	43.013	42.7444	15.6014
1067.8752666666667	42.7963	42.5405	15.5728
1068.6003666666668	42.5769	42.3553	15.5473
1067.9224666666667	42.3597	42.1497	15.5224
1068.4378	42.1378	41.9442	15.4946
1067.9125999999997	41.9125	41.75	15.4705
1068.3334666666667	41.8935	41.6418	14.7471
1068.5530333333334	41.6822	41.5149	14.2326
1068.2788000000003	41.4825	41.3208	14.2559
1068.6648666666665	41.2845	41.1474	14.2222
1068.8810000000003	41.0857	40.9648	14.1618
1068.6017	40.8889	40.758	14.0944
1068.3992999999998	40.6933	40.5754	14.0278
1068.5619000000002	40.4946	40.3856	13.9647
1068.4676000000004	40.2934	40.0712	13.9051
1068.4464999999998	40.0893	39.8964	13.849
1068.5135000000002	39.8821	39.6641	13.7981
1068.7195666666667	39.6715	39.4597	13.7529
1068.6250999999997	39.4568	39.2573	13.7078
1068.6290333333336	39.2423	39.0105	13.6641
1068.8177333333333	39.0304	38.7954	13.6268
1069.3802333333338	38.8141	38.5655	13.5913
1069.1430666666668	38.5953	38.332	13.5578
1069.0052666666668	38.3719	38.0894	13.5248
1068.9966333333332	38.1458	37.8687	13.4945
1068.9158333333335	37.9148	37.6769	13.4639
1069.3009	37.6816	37.4593	13.4342
1068.876166666667	37.4514	37.2479	13.4043
1069.2251333333336	37.2176	37.026	13.3746
1069.2337333333335	36.9796	36.8103	13.3489
1068.6649333333332	36.7375	36.5614	13.3232
1069.1269666666672	36.4912	36.3369	13.2952
1069.3431000000003	36.2404	36.1231	13.269
1068.9445	35.9931	35.8762	13.2435
1069.2994333333334	35.7432	35.6097	13.2198
1069.4400333333335	35.4892	35.3631	13.1956
1069.3293666666664	35.2304	35.1001	13.1717
1069.5417000000004	34.9675	34.8357	13.1486
1068.9816666666668	34.951	34.8296	12.3645
1069.4944666666668	34.7498	34.6198	11.6489
1069.2611	34.5586	34.4236	11.5879
1069.154266666667	34.3692	34.2216	11.5081
1069.6399000000001	34.178	34.0061	11.4367
1069.0250333333336	33.9847	33.7982	11.3754
1069.4013666666672	33.7894	33.6025	11.3234
1069.2673333333335	33.5927	33.4255	11.2804
1069.3294	33.3924	33.2407	11.2428
1069.5095666666666	33.1912	33.0597	11.1963
1069.6361666666667	32.9949	32.8776	11.1669
1070.0098	32.797	32.6919	11.141
1069.6683666666668	32.5967	32.5076	11.1163
1069.2698333333335	32.3943	32.3109	11.0927
1069.5132	32.1884	32.1182	11.0705
1069.9889	31.9811	31.9181	11.0482
1069.8099333333334	31.7708	31.7108	11.0281
1069.8981333333334	31.564	31.5098	11.0092
1069.4026999999999	31.3579	31.2954	10.9915
1069.7503	31.1488	31.0885	10.9718
1069.7529	30.937	30.8633	10.954
1070.1377666666667	30.7226	30.6494	10.9367
1069.7032000000004	30.5058	30.4245	10.9199
1070.4668333333334	30.2862	30.1851	10.9024
1069.7763333333332	30.0723	29.968	10.8872
1069.9601666666667	29.8563	29.7258	10.8717
1070.0335000000002	29.6369	29.5285	10.857
1069.722966666667	29.4147	29.3343	10.841
1070.1251999999997	29.1901	29.118	10.8244
1069.8284666666666	28.9624	28.9252	10.8088
1070.182433333333	28.7391	28.7043	10.7933
1070.3698666666667	28.5162	28.4886	10.7788
1069.4933000000003	28.2903	28.268	10.7635
1069.8422666666668	28.0601	28.0386	10.748
1070.254533333333	27.829	27.8125	10.7333
1069.799966666667	27.5952	27.5775	10.719
1070.2532333333331	27.3653	27.3347	10.7044
1070.2869333333338	27.1378	27.0962	10.6894
1070.4893333333334	26.9073	26.8559	10.6748
1070.0332999999998	26.6748	26.6028	10.6611
1070.3277333333333	26.44	26.3595	10.6459
1070.0558333333333	26.2025	26.1464	10.6313
1070.3564	25.9733	25.9335	10.6173
1070.3153333333335	25.7427	25.7143	10.6038
1070.6284999999998	25.3928	25.4969	10.5888
1070.637066666667	25.1572	25.2674	10.5744
1070.6594000000002	24.92	25.044	10.5599
1070.0122999999999	24.6919	24.8093	10.5453
1070.596	24.4586	24.5781	10.5316
1070.203666666667	24.2302	24.3407	10.5166
1070.3104	23.9996	24.1036	10.5027
1070.4134000000001	23.9834	24.0072	9.66662
1070.5897333333332	23.7827	23.8643	9.22152
1070.6631333333332	23.5989	23.6684	9.41306
1071.0605333333335	23.4231	23.4728	9.4843
1070.4817333333335	23.2489	23.2911	9.5173
1070.6371000000004	23.0747	23.1294	9.53282
1070.4556333333333	22.902	22.9685	9.53522
1070.1971999999998	22.7294	22.8064	9.5308
1070.3637000000003	22.5578	22.6519	9.52172
1070.617066666667	22.3916	22.4861	9.50873
1070.3750000000002	22.2293	22.3245	9.49562
1069.9601666666667	22.0662	22.1651	9.48078
1070.6494333333335	21.9033	22.0045	9.4662
1069.9775666666667	21.7413	21.834	9.44988
1070.8629999999998	21.579	21.6763	9.43421
1070.6779666666666	21.4172	21.5115	9.41781
1070.6643333333332	21.2582	21.3508	9.40094
1070.2732333333336	21.1048	21.1803	9.38433
1070.3465	20.9522	21.018	9.36913
1070.3787333333332	20.8005	20.8492	9.35306
1070.6345000000003	20.6478	20.6857	9.33789
1070.4655666666663	20.4964	20.5455	9.322
1070.4122	20.345	20.4088	9.30501
1070.1154333333332	20.1944	20.2683	9.29138
1069.9242333333332	20.0512	20.1286	9.27567
1070.2333666666668	19.9088	19.9217	9.2601
1070.2583	19.7669	19.7883	9.24567
1070.4271666666668	19.6257	19.6441	9.23026
1070.5364333333337	19.4856	19.5131	9.21488
1070.8208333333332	19.3473	19.3774	9.20025
1070.5822999999998	19.2138	19.2304	9.18674
1070.3314666666672	19.0803	19.0922	9.17288
1070.502933333333	18.9476	18.952	9.15879
1070.4668333333334	18.8162	18.819	9.1457
1069.9130666666667	18.6877	18.6785	9.13239
1070.3614666666667	18.5627	18.5436	9.12117
1070.054466666667	18.438	18.4077	9.10824
1070.1030999999998	18.3149	18.2841	9.09601
1070.1340333333333	18.193	18.1753	9.08368
1069.9938333333332	18.0722	18.0626	9.07091
1070.287933333333	17.9569	17.9508	9.05964
1070.181266666667	17.8418	17.841	9.04654
1070.204866666667	17.7276	17.7313	9.03358
1070.117833333333	17.6151	17.623	9.02178
1070.4395666666667	17.5037	17.517	9.0093
1069.8210333333334	17.4315	17.4583	8.94472
1070.2173666666667	17.4116	17.4316	7.62802
1070.2407999999998	17.3577	17.3773	7.49231
1069.8149666666668	17.3106	17.3338	7.42355
1070.1613333333332	17.2678	17.2845	7.35397
1070.090633333333	17.2278	17.2463	7.30894
1069.8943666666669	17.1902	17.2081	7.27789
1070.0384333333336	17.1536	17.1677	7.25599
1069.9353333333333	17.118	17.1327	7.23886
1069.9527333333335	17.0825	17.1012	7.22528
1069.9502666666667	17.0473	17.06	7.21318
1069.7230000000002	17.0119	17.0258	7.20208
1069.6012666666668	16.9758	16.9882	7.19292
1069.9627	16.9392	16.9514	7.18074
1069.5032666666668	16.9016	16.9124	7.17133
1069.8523	16.8633	16.8722	7.16187
1069.6880999999998	16.824	16.8332	7.15373
1070.3265333333334	16.785	16.7903	7.1458
1069.3143666666667	16.744	16.7452	7.13767
1069.7317333333335	16.7019	16.7001	7.12811
1070.2223333333332	16.6587	16.6528	7.11918
1069.6969666666669	16.6142	16.6065	7.11142
1069.5640666666663	16.5679	16.557	7.10415
1069.6521666666663	16.5197	16.5081	7.09654
1069.6212000000005	16.4706	16.4507	7.08867
1069.4809333333335	16.4198	16.3978	7.08272
1069.3963666666666	16.3678	16.3436	7.07472
1069.6460333333332	16.3136	16.2828	7.06816
1069.1404999999997	16.2584	16.2215	7.06073
1069.8819333333336	16.2034	16.1708	7.05275
1069.385266666667	16.1466	16.1212	7.04567
1069.6957666666665	16.0891	16.0644	7.03954
1069.1330999999998	16.0296	16.0109	7.03118
1069.6001000000003	15.9689	15.9527	7.02432
1069.0487666666666	15.9065	15.8898	7.01685
1068.9493999999997	15.8429	15.8312	7.01007
1069.0971666666667	15.7776	15.771	7.00275
1069.3455	15.711	15.706	6.99578
1069.3926666666664	15.6428	15.64	6.98767
1069.1268333333333	15.5761	15.5758	6.98043
1068.8774000000003	15.508	15.5085	6.9726
1068.7234999999996	15.4387	15.435	6.96357
1069.177766666667	15.3677	15.3638	6.9544
1069.062333333333	15.2956	15.2933	6.9474
1068.9976666666666	15.2221	15.2196	6.93886
1068.9457	15.1474	15.142	6.93228
1068.554466666667	15.0723	15.0649	6.92496
1068.0776	14.9976	14.986	6.91779
1068.4786666666666	14.9601	14.9446	6.91404
1069.0723333333335	14.9221	14.9079	6.90988
1069.1095333333333	14.8838	14.8651	6.90546
1068.1869666666664	14.8449	14.8262	6.90225
1068.2402333333332	14.8063	14.7813	6.89792
1068.4079999999997	14.767	14.7386	6.89343
1068.8239333333331	14.7272	14.6994	6.88913
1068.4215666666666	14.6878	14.6567	6.88651
1068.7607333333335	14.607	14.614	6.88278
1068.4576333333334	14.607	14.5692	6.87948
1068.3868666666667	14.5665	14.5269	6.87605
1068.8203000000003	14.5264	14.4836	6.87257
1068.034133333333	14.4869	14.4388	6.86828
1068.4898666666666	14.4472	14.3915	6.86412
1068.195666666667	14.4068	14.3527	6.86008
1068.1347666666666	14.3668	14.318	6.85568
1068.2439666666664	14.3261	14.2789	6.85208
1067.5562	14.2852	14.2374	6.84799
1067.7659666666666	14.2442	14.2034	6.84421
1067.9634666666666	14.2028	14.1658	6.83963
1067.4207333333331	14.1614	14.1247	6.83529
1068.1657666666667	14.1194	14.0851	6.83171
1067.785766666667	14.0772	14.0449	6.82868
1067.4230333333335	14.0348	14.0051	6.82398
