Started: March 16, 2024 12:01:38
Resistor	1000000.0	Excitation Current (A)	1.299e-09
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
297.5624583016666	178.569	182.208	217.171
297.47885552983337	178.911	182.993	217.238
297.91050808250003	179.24	183.229	217.293
294.4811008471667	179.565	183.229	217.347
297.5147421093334	179.891	183.504	217.406
297.21297151616665	180.218	184.211	217.447
296.0598409033333	180.537	184.486	217.49
296.80225814716675	180.852	185.036	217.536
298.8291249678333	181.17	185.233	217.566
296.53339748533347	181.488	185.665	217.596
298.2107903516666	181.817	185.979	217.606
296.58117782949995	182.124	186.294	217.631
298.1808314090001	182.426	186.647	217.658
296.33470618366664	182.734	186.765	217.671
295.8357839366666	183.029	187.237	217.688
297.0785476005001	183.326	187.433	217.704
297.3204901198334	183.612	187.709	217.712
296.572183731	183.899	188.141	217.715
296.8515268155	184.175	188.298	217.715
295.2831408779999	184.441	188.534	217.707
295.59382858666675	184.715	189.489	217.704
297.1337952278333	184.987	189.118	217.69
295.5057351803334	185.254	188.979	217.671
294.99643315350005	185.503	189.999	217.65
297.55351552466675	185.624	190.37	217.628
295.0441750064999	185.871	189.999	217.606
298.2675391326666	186.112	190.695	217.569
292.10765973750006	186.346	190.695	217.533
293.4892738006665	186.577	190.788	217.501
293.42655889166673	186.803	192.041	217.452
295.6699897353334	187.023	191.205	217.409
295.8925583780001	187.232	191.901	217.36
298.2301898903334	187.445	192.226	217.306
293.8014370025	187.642	192.505	217.249
294.65737747066663	187.844	192.505	217.195
296.48255067983325	188.038	192.783	217.128
297.72983063900006	188.223	192.969	217.063
295.24734411016664	188.401	193.061	217.028
295.0815755710001	188.57	193.572	216.966
293.8925455481667	188.736	193.897	216.893
296.700641519	188.898	193.201	216.817
296.63636130299994	189.051	194.268	216.728
295.85978958216657	189.197	194.082	216.652
295.41611495966674	189.336	194.036	216.569
294.64387990800003	189.47	194.454	216.472
296.3780215555	189.596	194.593	216.388
296.2898511671667	189.72	194.686	216.302
293.3264819096666	189.839	194.547	216.202
295.9090069289999	189.953	195.336	216.105
297.15622273583335	190.062	194.779	216.003
295.54312291516675	190.163	195.521	215.89
295.4250833973334	190.258	195.15	215.791
296.70966127750006	190.349	195.428	215.681
293.8104054398333	190.434	195.382	215.57
294.88890171916665	190.517	195.428	215.447
296.53936361350014	190.557	195.428	215.331
295.85669745949997	190.627	195.568	215.213
294.9336412623333	190.694	195.939	215.085
296.4796125225	190.752	195.614	214.967
294.52590454133326	190.808	195.614	214.834
295.80594046750014	190.859	196.589	214.703
297.2503079293334	190.903	195.521	214.575
294.83956889883325	190.943	196.682	214.444
295.5370926359999	190.978	196.264	214.311
295.4161149603333	191.009	195.614	214.18
296.2316782141668	191.032	196.45	214.049
293.9180010268332	191.052	195.846	213.906
294.5034770335	191.067	196.264	213.835
296.11666666649995	191.076	195.985	213.692
295.5295740316667	191.082	196.31	213.549
295.98374390616664	191.078	196.218	213.4
295.2204387991667	191.078	196.496	213.26
294.951603798	191.067	196.635	213.106
296.3376571723333	191.052	196.264	212.955
294.78575827583336	191.036	196.682	212.799
294.01506286933335	191.012	196.125	212.641
295.3653194761667	190.983	196.218	212.49
296.5393379520001	190.965	196.078	212.327
295.8985245055	190.938	196.125	212.171
295.4818450088334	190.899	196.264	212.019
294.6304336671666	190.856	196.171	211.85
298.10024377716667	190.812	195.893	211.692
295.63267898400005	190.767	195.66	211.529
295.14570182233336	190.708	195.614	211.359
297.0158583526666	190.652	195.521	211.191
294.5393379526668	190.592	195.382	211.026
296.29287913850004	190.53	195.985	210.853
295.9314857588333	190.461	195.939	210.686
297.2712086223334	190.39	195.8	210.513
294.94416217533336	190.318	195.521	210.338
295.87915062900004	190.238	195.521	210.16
293.9702720041667	190.154	195.707	209.981
296.43178085683326	190.073	194.732	209.813
295.7461637155	189.982	194.5	209.635
294.26301000816665	189.892	195.057	209.555
294.04790864733326	189.801	194.918	209.374
293.5430331018333	189.703	195.15	209.199
294.64540672283346	189.604	195.011	209.019
293.93441108549996	189.504	194.454	208.839
294.4332563511667	189.398	193.99	208.662
295.3399409808333	189.293	194.639	208.484
295.9373877338333	189.179	194.825	208.295
296.14653579633324	189.065	193.943	208.118
295.6804978186666	188.948	194.175	207.923
296.44973056183335	188.835	193.758	207.742
296.6109828071666	188.716	193.758	207.563
295.311573005	188.591	193.293	207.384
296.48709263549983	188.467	193.525	207.2
297.73426995166665	188.341	193.525	207.016
296.6050423403333	188.208	193.015	206.823
296.69771619183325	188.077	193.293	206.637
297.7745701828334	187.941	192.783	206.449
294.5736592246667	187.805	192.783	206.261
295.2667949705	187.665	192.69	206.078
296.7828072876666	187.525	192.922	205.88
295.7073903005	187.378	193.154	205.688
297.5520400306667	187.232	192.319	205.493
298.5363228125	187.155	192.829	205.298
296.5841673075	187.003	192.365	205.101
295.52961252249986	186.855	192.319	204.914
297.05615858333334	186.698	192.133	204.719
298.05544008166663	186.541	191.53	204.526
295.79550936633336	186.389	191.762	204.339
295.8776623045001	186.229	191.484	204.142
299.05618424450006	186.068	191.298	203.941
294.84855016649993	185.911	190.741	203.746
298.08677187566667	185.75	190.834	203.557
293.2771747491666	185.587	190.37	203.366
292.82312034916674	185.427	190.463	203.17
295.0935078268332	185.264	189.86	202.976
295.9418527073333	185.094	189.767	202.783
293.65060302833336	184.927	189.721	202.58
295.5236720556667	184.756	189.303	202.394
297.26375417016664	184.586	189.211	202.201
296.1435078266666	184.416	189.582	201.999
294.6065819858333	184.244	189.211	201.806
297.31750064199997	184.071	188.73	201.611
296.7499101875	183.894	188.18	201.41
293.9971773161666	183.714	188.416	201.208
298.5527970238333	183.536	187.826	201.009
295.17711059816673	183.357	187.866	200.815
296.4333205026666	183.171	187.473	200.609
296.1256479348333	182.981	187.119	200.505
295.9104952534999	182.794	187.276	200.295
295.32503207633334	182.608	187.473	200.099
295.1233128048334	182.418	187.276	199.896
295.2697459586667	182.232	186.647	199.703
296.30184757549995	182.041	186.726	199.514
298.09423915866665	181.852	186.687	199.31
295.50873748983327	181.661	186.097	199.112
295.8627020783333	181.47	185.979	198.915
296.68569412266663	181.284	186.097	198.714
296.10762124683345	181.098	185.94	198.521
297.1905824996666	180.908	185.665	198.325
296.1733641258333	180.719	185.036	198.128
296.05242494249995	180.525	184.879	197.929
295.8387734163333	180.336	185.115	197.726
294.41088016450004	180.145	184.565	197.528
295.7013343598335	179.951	184.29	197.328
297.2697202975	179.753	184.683	197.132
295.5804080059999	179.555	184.172	196.93
295.3952270976667	179.451	184.329	196.727
298.73348729866666	179.258	183.858	196.523
293.52667436549996	179.058	183.308	196.328
296.2644855015	178.856	183.425	196.126
294.891865538	178.662	182.915	195.92
296.3361688476667	178.462	182.64	195.723
296.31678214033326	178.264	182.915	195.522
294.56773158883334	178.066	182.326	195.323
296.6424172441667	177.867	182.679	195.125
296.5273543751667	177.661	182.129	194.924
293.2697202971667	177.461	182.247	194.73
297.4265973824999	177.26	181.501	194.536
295.11139337950004	177.062	181.422	194.338
294.5871311268333	176.854	181.029	194.141
294.13161406233337	176.652	180.637	193.945
294.606556326	176.445	180.558	193.744
294.2839235308334	176.248	180.048	193.549
295.8522453171667	176.051	179.969	193.349
294.14358480833346	175.851	179.812	193.155
293.6431485758333	175.652	179.93	192.956
295.8925968696666	175.454	179.498	192.77
295.30106492183336	175.255	179.184	192.572
296.7619322553334	175.05	179.302	192.371
295.4429561201666	174.843	178.595	192.162
294.2644983325002	174.642	178.595	191.966
295.28917115716666	174.442	178.013	191.779
295.76714139033334	174.239	177.912	191.579
295.2712086218333	174.033	178.214	191.38
295.39368745216655	173.831	177.542	191.187
295.50723633616667	173.628	177.575	190.985
294.93814472733334	173.427	177.441	190.788
296.41838593733326	173.224	177.172	190.593
295.88663074216674	173.017	176.769	190.494
296.29588144749994	172.815	176.769	190.291
295.8627405705001	172.608	176.164	190.103
294.63192199099996	172.401	176.13	189.896
294.78728509150005	172.192	175.895	189.705
294.34964074900006	171.982	175.794	189.51
294.8260969975001	171.776	175.021	189.31
296.1525275848333	171.573	175.055	189.128
294.9889273795	171.372	175.256	188.931
294.93365409333336	171.166	174.819	188.734
295.1143700285	170.966	174.483	188.541
294.2331023865001	170.762	174.584	188.343
295.01730818566665	170.562	174.416	188.15
294.6603669491666	170.357	174.08	187.954
294.4825891716666	170.154	174.114	187.756
292.4661277901667	169.955	173.811	187.571
296.428791378	169.783	173.307	187.379
292.5154862716667	169.658	173.307	187.188
295.544611239	169.484	172.938	186.992
293.7820374649999	169.285	172.87	186.797
294.32723890116654	169.075	172.702	186.604
291.46539645883325	168.87	172.098	186.407
295.9000384913333	168.66	171.896	186.221
294.4512060563333	168.552	171.93	186.02
293.102450603	168.344	171.594	185.83
294.3421606368334	168.139	171.527	185.636
292.4527713628333	167.933	170.922	185.444
295.08595073183335	167.72	170.889	185.25
293.81794970516665	167.514	170.62	185.065
293.5012445466667	167.307	170.922	184.87
296.3406851426667	167.094	170.049	184.678
291.93887605849994	166.891	170.284	184.485
294.83057480116656	166.69	170.049	184.301
294.76488324366653	166.488	169.579	184.117
293.422055427	166.284	169.377	183.931
292.9216961768333	166.079	169.008	183.735
293.7804978185	165.874	169.209	183.549
293.1980626126667	165.673	168.336	183.36
293.8089427766665	165.472	168.303	183.174
291.97024634283326	165.269	168.124	182.991
293.5117269695	165.068	167.893	182.804
295.29068514250014	164.865	167.777	182.615
293.98515524733335	164.664	167.69	182.43
291.39225044899996	164.46	167.371	182.24
293.65357967733325	164.257	167.11	182.057
293.90150115466673	164.057	166.994	181.865
293.1412881703333	163.853	166.647	181.687
290.0703746466665	163.649	166.734	181.499
293.7835771108333	163.446	165.952	181.309
292.81416474283316	163.243	166.125	181.122
292.4796381826666	163.043	165.894	180.94
295.05162945850014	162.841	165.72	180.753
293.1292532721667	162.639	165.401	180.57
293.42953553966674	162.439	165.228	180.379
292.5990377215	162.241	165.112	180.196
293.9448550173334	162.045	164.88	180.009
294.2331665386667	161.844	164.33	179.829
293.24734411066663	161.649	164.417	179.646
293.3997433918334	161.455	164.069	179.46
292.996381832	161.257	164.156	179.281
291.29213497583333	161.061	163.519	179.099
293.17713625833346	160.861	163.461	178.918
291.6401462661667	160.662	163.374	178.736
290.40641519199994	160.465	163.027	178.555
293.2876443414999	160.27	163.085	178.376
294.25411855333334	160.075	162.824	178.196
292.33174236599996	159.877	162.448	178.013
293.05461893783325	159.753	162.072	177.824
292.14951244533336	159.612	161.724	177.645
292.0105978958333	159.437	161.927	177.467
