Started: April 10, 2024 18:22:03
Resistor	1000000.0	Excitation Current (A)	1.299e-09
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
278.1345522195	19.4928	19.5251	42.1863
279.08341031566664	19.3336	19.3436	42.2766
277.5721067486666	19.1484	19.2048	42.28
278.45424685666666	19.0984	19.1352	42.173
278.43927379966675	19.0922	19.1172	41.9873
278.544213498	19.1203	19.1466	41.6202
280.68086990000006	19.1746	19.2064	41.3465
279.61888632233337	19.2491	19.2875	41.0667
277.70323325600003	19.3923	19.3839	40.7716
279.7704516293333	19.5084	19.4946	40.454
279.1218886323333	19.6363	19.6779	40.1161
278.9209648446666	19.7731	19.814	39.5641
275.1420195018334	19.9154	19.955	39.1702
278.17332563499997	20.062	20.0973	38.7461
277.18383371716675	20.2901	20.2409	38.2976
277.9724788295	20.4467	20.3863	37.8326
277.06775724866674	20.6031	20.5944	37.3583
276.0415960991666	20.7578	20.7502	36.6113
280.8328072874999	20.91	20.915	36.1155
280.1819604826666	21.0581	21.0745	35.6125
278.37876571699996	21.2739	21.2323	35.0993
277.2159353343333	21.4188	21.3848	34.5916
279.0968052348334	21.5602	21.5996	34.0803
275.98745188616675	21.697	21.7351	33.3005
278.56548627200004	21.8292	21.8714	32.7827
278.8776751345	21.9565	21.9944	32.2553
277.4198101113334	22.1389	22.1222	31.7311
278.38845265616675	22.2564	22.2347	31.2053
275.56058506499994	22.3681	22.405	30.6688
277.28278162683335	22.4756	22.5177	29.8753
279.35374647133335	22.5836	22.615	29.3343
277.00798049766667	22.687	22.7151	28.8008
276.954901206	22.8342	22.8004	28.2618
277.739812677	22.9267	22.9275	27.719
276.5090710805	23.0137	23.0156	27.1799
277.74059533033324	23.0973	23.0883	26.3556
275.816371568	23.1748	23.1664	25.8077
278.2443161406667	23.2484	23.2291	25.2458
278.54905055216665	23.3527	23.2945	24.6928
280.0254683088333	23.4172	23.3767	24.1267
275.8712984355	23.4767	23.4492	23.57
279.0527200415	23.5313	23.5038	22.7056
277.9485629973333	23.5823	23.5625	22.1236
277.41905311816663	23.6279	23.613	21.5271
278.9657557095001	23.6892	23.6603	20.9295
277.2853605331666	23.7245	23.7158	20.3198
278.87956120083334	23.7565	23.7549	19.7024
276.21558891400014	23.7832	23.7786	18.7713
278.35891711599993	23.8051	23.7957	18.1479
277.7267641776667	23.8221	23.8128	17.5262
277.5456889916666	23.8372	23.8251	16.9109
278.0508981276666	23.8411	23.8341	16.3146
276.89030023116663	23.8386	23.8267	15.7424
279.40527328733333	23.8309	23.8251	14.9467
277.4411085453334	23.8168	23.8031	14.4805
277.6932127276666	23.7973	23.7835	14.0707
276.6281883498333	23.7546	23.7582	13.7015
278.0400949445	23.7177	23.7003	13.3816
279.9071336921667	23.6763	23.6578	13.0993
278.40603028016665	23.6279	23.5991	12.7412
278.39439312383337	23.5731	23.5405	12.5377
277.7562997176666	23.5102	23.4663	12.351
278.0015781371667	23.4025	23.402	12.1831
277.2432255581668	23.3204	23.279	12.03
278.95042340266656	23.2302	23.1974	11.881
277.18643828533334	23.1317	23.1025	11.6826
276.271927123	23.0245	23.0035	11.5609
276.4949063385	22.9078	22.8965	11.4496
276.2364511165	22.7151	22.7749	11.3425
277.6035925076667	22.5747	22.5774	11.2447
279.13896587133326	22.4269	22.4311	11.155
277.5822170898334	22.274	22.279	11.0313
277.7282525018334	22.1094	22.1176	10.9551
278.07185014133336	21.9342	21.9423	10.8868
275.82759815250006	21.65	21.7485	10.8264
278.0038619449999	21.446	21.4422	10.7724
279.02516037966666	21.2334	21.223	10.7229
277.748421863	21.0176	20.9841	10.6575
276.8021939956668	20.79	20.7356	10.6142
276.60499101933334	20.5495	20.5092	10.5638
277.8290993073333	20.1672	20.2738	10.5145
278.4273415446666	19.9085	19.9009	10.4659
277.72002822700017	19.6377	19.6337	10.4199
279.9284449579999	19.3558	19.3513	10.3521
277.154721581	19.0713	19.0591	10.3088
276.26560174499997	18.6261	18.7463	10.2676
274.6853861946667	18.3221	18.4207	10.2269
278.1841673085	18.0102	17.9768	10.1845
277.4672183731666	17.6961	17.676	10.124
280.2641005908333	17.3765	17.3564	10.0318
278.96687195266674	17.3478	17.3347	8.93517
278.7223120348334	16.9542	17.0715	8.9618
279.96575570983345	16.6977	16.8027	8.96431
278.409738261	16.4376	16.3859	8.93255
278.41984860166656	16.1722	16.1216	8.87236
279.37537849616666	15.906	15.8654	8.82532
278.5173081855	15.6317	15.6016	8.77645
280.36345907166657	15.2191	15.3269	8.72534
280.1404798565	14.9408	15.0422	8.67666
277.6494482936668	14.6588	14.5932	8.62582
279.0075955859999	14.5161	14.4413	8.57615
281.7058506546666	14.377	14.3011	8.55094
278.5819091608334	14.2357	14.1676	8.5266
280.2641262508334	13.9516	14.0314	8.50264
280.0120477286666	13.8119	13.8977	8.47811
281.0815114188334	13.672	13.6208	8.45333
280.45937900966663	13.5299	13.4773	8.40669
281.0572748268333	13.39	13.3332	8.38349
278.87349243016666	13.2526	13.1861	8.36136
279.8167564793334	12.9749	13.0416	8.3406
278.71181678249997	12.84	12.8927	8.31973
279.3279189125	12.7059	12.6162	8.29937
279.8825378496666	12.5712	12.4899	8.25877
282.0217603288333	12.4376	12.3665	8.1761
281.1001667958334	12.415	12.3765	7.56762
280.6774698481667	12.272	12.3188	7.3815
279.14876828300004	12.1578	12.0898	7.44527
276.11778291	12.0438	11.9757	7.50435
289.58352579	12.0438	11.9757	7.50435
276.83525789	12.0438	11.9757	7.53844
282.68283295	12.0438	11.9757	7.53844
294.17628945	12.0438	11.9757	7.53844
276.02848345	12.0438	11.9757	7.53844
288.01539646	12.0438	11.9757	7.53844
285.43879908	12.0438	11.9757	7.53844
281.18167821	12.0438	11.9757	7.53844
277.23864511	12.0438	11.9757	7.53844
281.98845266	12.0438	11.9757	7.53844
279.12009238	12.0438	11.9757	7.53844
284.99076212	12.0438	11.9757	7.53844
287.90300231	12.0438	11.9757	7.53844
280.89068514	12.0438	11.9757	7.53844
276.63356428	11.9299	11.9757	7.53844
277.82063125	11.9299	11.9757	7.53844
280.55427252	11.9299	11.9757	7.53844
279.81524249	11.9299	11.9757	7.53844
279.47882987	11.9299	11.9757	7.53844
281.78675905	11.9299	11.9757	7.53844
278.8960739	11.9299	11.8628	7.53844
280.37490377	11.9299	11.8628	7.53844
277.19322556	11.9299	11.8628	7.53844
280.9799846	11.9299	11.8628	7.53844
282.5034642	11.9299	11.8628	7.53844
271.9730562	11.9299	11.8628	7.53844
283.4665127	11.9299	11.8628	7.55487
281.22632794	11.9299	11.8628	7.55487
274.63972286	11.9299	11.8628	7.55487
285.72979215	11.9299	11.8628	7.55487
282.45881447	11.9299	11.8628	7.55487
279.74749808	11.9299	11.8628	7.55487
283.01847575	11.9299	11.8628	7.55487
270.13625866	11.9299	11.8628	7.55487
274.8860662	11.9299	11.8628	7.55487
276.90223249	11.9299	11.8628	7.55487
285.10238645	11.9299	11.8628	7.55487
278.60508083	11.9299	11.8628	7.55487
282.36874519	11.9299	11.8628	7.55487
281.62971517	11.8199	11.8628	7.55487
282.34642032	11.8199	11.8628	7.55487
278.76212471	11.8199	11.8628	7.55487
282.234796	11.8199	11.8628	7.55487
279.85989222	11.8199	11.8628	7.55487
283.82525019	11.8199	11.8628	7.55487
279.456505	11.8199	11.7444	7.55487
282.01077752	11.8199	11.7444	7.55487
280.68899153	11.8199	11.7444	7.55487
285.41647421	11.8199	11.7444	7.55487
277.88837567	11.8199	11.7444	7.55487
273.02617398	11.8199	11.7444	7.55487
275.28945343	11.8199	11.7444	7.55487
283.57890685	11.8199	11.7444	7.56121
281.27097768	11.8199	11.7444	7.56121
271.59199384	11.8199	11.7444	7.56121
277.1039261	11.8199	11.7444	7.56121
279.09776751	11.8199	11.7444	7.56121
276.74518861	11.8199	11.7444	7.56121
281.00230947	11.8199	11.7444	7.56121
279.85989222	11.8199	11.7444	7.56121
278.44803695	11.8199	11.7444	7.56121
276.70053888	11.8199	11.7444	7.56121
281.24865281	11.8199	11.7444	7.56121
282.61585835	11.8199	11.7444	7.56121
280.9799846	11.8199	11.7444	7.56121
277.75365666	11.7066	11.7444	7.56121
279.74749808	11.7066	11.7444	7.56121
271.88375674	11.7066	11.7444	7.56121
275.5804465	11.7066	11.7444	7.56121
275.04234026	11.7066	11.7444	7.56121
278.51578137	11.7066	11.7444	7.56121
280.77829099	11.7066	11.6266	7.56121
285.93148576	11.7066	11.6266	7.56121
275.93918399	11.7066	11.6266	7.56121
289.18013857	11.7066	11.6266	7.56121
280.7113164	11.7066	11.6266	7.56121
287.79137798	11.7066	11.6266	7.56121
279.00846805	11.7066	11.6266	7.56013
284.54195535	11.7066	11.6266	7.56013
279.76982294	11.7066	11.6266	7.56013
281.62971517	11.7066	11.6266	7.56013
280.17321016	11.7066	11.6266	7.56013
287.72363356	11.7066	11.6266	7.56013
270.56197075	11.7066	11.6266	7.56013
286.08852964	11.7066	11.6266	7.56013
281.6743649	11.7066	11.6266	7.56013
