Started: March 14, 2024 08:18:28
Resistor	1000000.0	Excitation Current (A)	1.299e-09
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
123.22709777	2.34544	2.52792	5.8449
124.21324095	2.34544	2.52792	5.8449
126.99076212	2.34544	2.52792	5.8449
125.10931486	2.34544	2.52792	5.8449
127.17013087	2.34544	2.52792	5.8449
121.52424942	2.34544	2.52792	5.8449
124.92994611	2.34544	2.29615	5.8449
123.85450346	2.34544	2.29615	5.8449
121.25558122	2.34544	2.29615	5.8449
124.57120862	2.34544	2.29615	5.8449
123.94380293	2.34544	2.29615	5.8449
120.80754426	2.34544	2.29615	5.8449
124.39183988	2.34544	2.29615	5.8449
122.42032333	2.34544	2.29615	5.8449
123.85450346	2.34544	2.29615	5.8449
125.91531948	2.34544	2.29615	5.8449
123.40646651	2.34544	2.29615	5.8449
124.30254042	2.34544	2.29615	5.97943
123.58583526	2.34544	2.29615	5.97943
124.30254042	2.34544	2.29615	5.97943
119.73210162	2.34544	2.29615	5.97943
121.25558122	2.34544	2.29615	5.97943
123.85450346	2.34544	2.29615	5.97943
117.04311008	2.34544	2.29615	5.97943
115.87836798	2.34544	2.29615	5.97943
122.51039261	2.34544	2.29615	5.97943
125.19861432	2.34544	2.29615	5.97943
122.06235566	2.34544	2.29615	5.97943
116.23710547	2.34544	2.29615	5.97943
120.89684373	2.34544	2.29615	5.97943
119.46343341	2.34544	2.29615	5.97943
120.89684373	2.34544	2.29615	5.97943
121.88298691	2.34544	2.29615	5.97943
120.53887606	2.34544	2.29615	5.97943
124.30254042	2.34544	2.29615	5.97943
126.09468822	2.34544	2.29615	5.97943
125.73672055	2.34544	2.29615	5.97943
130.03849115	2.34544	2.29615	5.97943
121.34488068	2.34544	2.29615	5.97943
119.64203233	2.3533	2.29615	5.97943
120.18013857	2.3533	2.29615	5.97943
121.07621247	2.3533	2.29615	5.97943
122.42032333	2.3533	2.29615	5.97943
119.73210162	2.3533	2.29615	5.97943
123.49576597	2.3533	2.29615	5.97943
124.21324095	2.3533	2.29615	5.97943
120.53887606	2.3533	2.29615	5.97943
121.34488068	2.3533	2.29615	5.97943
119.91147036	2.3533	2.29615	5.97943
119.91147036	2.3533	2.284	5.97943
125.91531948	2.3533	2.284	5.97943
124.12317167	2.3533	2.284	5.97943
118.38799076	2.3533	2.284	5.97943
119.73210162	2.3533	2.284	5.97943
123.13779831	2.3533	2.284	5.97943
125.10931486	2.3533	2.284	5.97943
117.13317937	2.3533	2.284	5.97943
123.13779831	2.3533	2.284	5.97943
119.37336413	2.3533	2.284	5.97943
120.53887606	2.3533	2.284	5.97943
118.38799076	2.3533	2.284	6.12694
123.49576597	2.3533	2.284	6.12694
124.21324095	2.3533	2.284	6.12694
122.77906082	2.3533	2.284	6.12694
121.34488068	2.3533	2.284	6.12694
122.33102386	2.3533	2.284	6.12694
124.39183988	2.3533	2.284	6.12694
123.13779831	2.3533	2.284	6.12694
124.30254042	2.3533	2.284	6.12694
123.04772902	2.3533	2.284	6.12694
120.26943803	2.3533	2.284	6.12694
122.24095458	2.3533	2.284	6.12694
122.42032333	2.3533	2.284	6.12694
118.83602771	2.3533	2.284	6.12694
118.83602771	2.3533	2.284	6.12694
124.57120862	2.3533	2.284	6.12694
123.76443418	2.3533	2.284	6.12694
118.20862202	2.3533	2.284	6.12694
123.40646651	2.3533	2.284	6.12694
121.25558122	2.3533	2.284	6.12694
114.62355658	2.3533	2.284	6.12694
124.57120862	2.3533	2.284	6.12694
125.2886836	2.46631	2.284	6.12694
122.77906082	2.46631	2.284	6.12694
