Initial Temperature (K)	0.0251234
Excitation Current (A)	-2.951220779220779e-13
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.9	-0.0002	-0.05045	-0.0	0.8733	0.2177
0.9	-0.000192	0.08653895	0.0	0.8733	0.2177
0.9	-0.000184	0.0641778	0.0	0.8733	0.2177
0.9	-0.000176	0.08273925	0.0	0.8733	0.2177
0.9	-0.000168	0.10133775	0.0	0.8733	0.2177
0.9	-0.00016	0.06402876	0.0	0.8733	0.2177
0.9	-0.000152	0.10474645	0.0	0.8733	0.2177
0.9	-0.000144	0.07754235	0.0	0.8733	0.2177
0.9	-0.000136	0.12346605	0.0	0.8733	0.2177
0.9	-0.000128	0.08602665	-0.0	0.8733	0.2177
0.9	-0.00012	0.1221063	0.0	0.8733	0.2177
0.9	-0.000112	0.08301865	-0.0	0.8733	0.2177
0.9	-0.000104	0.11825075	0.0	0.8733	0.2177
0.9	-9.6e-05	0.0737891	-0.0	0.8733	0.2177
0.9	-8.8e-05	0.09853445	0.0	0.8733	0.2177
0.9	-8e-05	0.0863527	0.0	0.8733	0.2177
0.9	-7.2e-05	0.07100435	0.0	0.8733	0.2177
0.9	-6.4e-05	0.1037872	0.0	0.8733	0.2177
0.9	-5.6e-05	0.0778124	0.0	0.8733	0.2177
0.9	-4.8e-05	0.0915774	-0.0	0.8733	0.2177
0.9	-4e-05	0.1029303	0.0	0.8733	0.2177
0.9	-3.2e-05	0.1055288	0.0	0.8733	0.2177
0.9	-2.4e-05	0.10277215	-0.0	0.8733	0.2177
0.9	-1.6e-05	0.1179712	0.0	0.8733	0.2177
0.9	-8e-06	0.074618	0.0	0.8733	0.2177
0.9	0.0	0.1233451	0.0	0.8733	0.2177
0.9	8e-06	0.13233225	0.0	0.8733	0.2177
0.9	1.6e-05	0.11334255	-0.0	0.8733	0.2177
0.9	2.4e-05	0.1258037	-0.0	0.8733	0.2177
0.9	3.2e-05	0.09549837	0.0	0.8733	0.2177
0.9	4e-05	0.1225906	0.0	0.8733	0.2177
0.9	4.8e-05	0.1160155	0.0	0.8733	0.2177
0.9	5.6e-05	0.08186375	0.0	0.8733	0.2177
0.9	6.4e-05	0.0890629	-0.0	0.8733	0.2177
0.9	7.2e-05	0.07637825	-0.0	0.8733	0.2177
0.9	8e-05	0.08840165	-0.0	0.8733	0.2177
0.9	8.8e-05	0.08166805	0.0	0.8733	0.2177
0.9	9.6e-05	0.0846298	0.0	0.8733	0.2177
0.9	0.000104	0.09293715	-0.0	0.8733	0.2177
0.9	0.000112	0.1330215	0.0	0.8733	0.2177
0.9	0.00012	0.1354616	0.0	0.8733	0.2177
0.9	0.000128	0.11493515	0.0	0.8733	0.2177
0.9	0.000136	0.12837435	-0.0	0.8733	0.2177
0.9	0.000144	0.0906927	-0.0	0.8733	0.2177
