Initial Temperature (K)	0.0249733
Excitation Current (A)	7.092597402597402e-13
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)
-0.9	-0.0002	0.08135148
-0.9	-0.000195	0.13244415
-0.9	-0.00019	0.11589435
-0.9	-0.000185	0.08912805
-0.9	-0.00018	0.098581
-0.9	-0.000175	0.13455815
-0.9	-0.00017	0.10646005
-0.9	-0.000165	0.1110516
-0.9	-0.00016	0.1078385
-0.9	-0.000155	0.12759195
-0.9	-0.00015	0.1507819
-0.9	-0.000145	0.1039362
-0.9	-0.00014	0.08362385
-0.9	-0.000135	0.1013006
-0.9	-0.00013	0.1018966
-0.9	-0.000125	0.1262415
-0.9	-0.00012	0.1184276
-0.9	-0.000115	0.1078757
-0.9	-0.00011	0.10559395
-0.9	-0.000105	0.1083228
-0.9	-0.0001	0.09889775
-0.9	-9.5e-05	0.07646205
-0.9	-9e-05	0.07878095
-0.9	-8.5e-05	0.1154568
-0.9	-8e-05	0.1021667
-0.9	-7.5e-05	0.08124905
-0.9	-7e-05	0.08061575
-0.9	-6.5e-05	0.1222367
-0.9	-6e-05	0.0880291
-0.9	-5.5e-05	0.0707436
-0.9	-5e-05	0.0826088
-0.9	-4.5e-05	0.1071306
-0.9	-4e-05	0.11123775
-0.9	-3.5e-05	0.1121411
-0.9	-3e-05	0.09506995
-0.9	-2.5e-05	0.0972027
-0.9	-2e-05	0.1358527
-0.9	-1.5e-05	0.1354243
-0.9	-1e-05	0.1330308
-0.9	-5e-06	0.06344205
-0.9	0.0	0.1027721
-0.9	5e-06	0.1093099
-0.9	1e-05	0.09257395
-0.9	1.5e-05	0.09392445
-0.9	2e-05	0.12127745
-0.9	2.5e-05	0.0953494
-0.9	3e-05	0.10102105
-0.9	3.5e-05	0.09524695
-0.9	4e-05	0.0894354
-0.9	4.5e-05	0.1098967
-0.9	5e-05	0.10534255
-0.9	5.5e-05	0.11192705
-0.9	6e-05	0.07980545
-0.9	6.5e-05	0.11209465
-0.9	7e-05	0.11069765
-0.9	7.5e-05	0.10587335
-0.9	8e-05	0.0811932
-0.9	8.5e-05	0.09330975
-0.9	9e-05	0.12492825
-0.9	9.5e-05	0.10842515
-0.9	0.0001	0.0990933
-0.9	0.000105	0.0709951
-0.9	0.00011	0.13060945
-0.9	0.000115	0.11247645
-0.9	0.00012	0.11392934
-0.9	0.000125	0.0856915
-0.9	0.00013	0.0999315
-0.9	0.000135	0.1043367
-0.9	0.00014	0.11685365
-0.9	0.000145	0.08232005
-0.9	0.00015	0.07755165
-0.9	0.000155	0.07172165
-0.9	0.00016	0.10190595
-0.9	0.000165	0.1419622
-0.9	0.00017	0.09420375
