Initial Temperature (K)	0.0249819
Excitation Current (A)	2e-07
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)
0.9	-0.0002	0
0.9	-0.000192	0.09527481
0.9	-0.000184	0.09068797
0.9	-0.000176	0.09017587
0.9	-0.000168	0.09966372
0.9	-0.00016	0.09290575
0.9	-0.000152	0.09286503
0.9	-0.000144	0.11401194
0.9	-0.000136	0.09937272
0.9	-0.000128	0.08766703
0.9	-0.00012	0.08852856
0.9	-0.000112	0.09557753
0.9	-0.000104	0.11589206
0.9	-9.6e-05	0.1176325
0.9	-8.8e-05	0.08897088
0.9	-8e-05	0.10198616
0.9	-7.2e-05	0.10450078
0.9	-6.4e-05	0.10102584
0.9	-5.6e-05	0.10331922
0.9	-4.8e-05	0.11537409
0.9	-4e-05	0.13712047
0.9	-3.2e-05	0.10493159
0.9	-2.4e-05	0.13097369
0.9	-1.6e-05	0.09248084
0.9	-8e-06	0.10160194
0.9	0.0	0.083837
0.9	8e-06	0.06339431
0.9	1.6e-05	0.08967519
0.9	2.4e-05	0.10972794
0.9	3.2e-05	0.09727141
0.9	4e-05	0.07242818
0.9	4.8e-05	0.126742
0.9	5.6e-05	0.11371509
0.9	6.4e-05	0.09504781
0.9	7.2e-05	0.10800494
0.9	8e-05	0.07316161
0.9	8.8e-05	0.08569378
0.9	9.6e-05	0.11243456
0.9	0.000104	0.09223056
0.9	0.000112	0.09507694
0.9	0.00012	0.10644488
0.9	0.000128	0.12536844
0.9	0.000136	0.11198638
0.9	0.000144	0.11602022
0.9	0.000152	0.09120612
0.9	0.00016	0.09650884
0.9	0.000168	0.09129922
0.9	0.000176	0.09789422
0.9	0.000184	0.10426803
0.9	0.000192	0.11434966
0.9	0.0002	0.10239941
0.85	0.0002	0.11831944
0.85	0.000192	0.10373825
0.85	0.000184	0.11723097
0.85	0.000176	0.11379078
0.85	0.000168	0.09734706
0.85	0.00016	0.08627591
0.85	0.000152	0.08828406
0.85	0.000144	0.10099672
0.85	0.000136	0.08370894
0.85	0.000128	0.09023413
0.85	0.00012	0.08634566
0.85	0.000112	0.09483822
0.85	0.000104	0.09969869
0.85	9.6e-05	0.09994309
0.85	8.8e-05	0.10763819
0.85	8e-05	0.07135141
