Initial Temperature (K)	0.0250201
Excitation Current (A)	1.0895350649350648e-12
Axis 1,2	y,z
Angle	104
Field (T)	Current (A)	Resistance (Ohms)
-0.9	-0.0002	0.08715365
-0.9	-0.000195	0.0838288
-0.9	-0.00019	0.0947532
-0.9	-0.000185	0.0853003
-0.9	-0.00018	0.08993825
-0.9	-0.000175	0.10402
-0.9	-0.00017	0.0876566
-0.9	-0.000165	0.1115173
-0.9	-0.00016	0.0901246
-0.9	-0.000155	0.0810441
-0.9	-0.00015	0.1049699
-0.9	-0.000145	0.09368225
-0.9	-0.00014	0.1013564
-0.9	-0.000135	0.1057337
-0.9	-0.00013	0.09016175
-0.9	-0.000125	0.09766835
-0.9	-0.00012	0.10333085
-0.9	-0.000115	0.0973424
-0.9	-0.00011	0.1019059
-0.9	-0.000105	0.10237155
-0.9	-0.0001	0.11127505
-0.9	-9.5e-05	0.0881782
-0.9	-9e-05	0.08912795
-0.9	-8.5e-05	0.1053705
-0.9	-8e-05	0.11095845
-0.9	-7.5e-05	0.0978733
-0.9	-7e-05	0.09262985
-0.9	-6.5e-05	0.0843689
-0.9	-6e-05	0.10881635
-0.9	-5.5e-05	0.0821804
-0.9	-5e-05	0.08840155
-0.9	-4.5e-05	0.1131749
-0.9	-4e-05	0.1227583
-0.9	-3.5e-05	0.11333325
-0.9	-3e-05	0.13720315
-0.9	-2.5e-05	0.15962015
-0.9	-2e-05	0.1569844
-0.9	-1.5e-05	0.10476505
-0.9	-1e-05	0.03676882
-0.9	-5e-06	0.02047989
-0.9	0.0	0.00914563
-0.9	5e-06	0.00255184
-0.9	1e-05	0.04025198
-0.9	1.5e-05	0.06134656
-0.9	2e-05	0.1139479
-0.9	2.5e-05	0.1531753
-0.9	3e-05	0.1340646
-0.9	3.5e-05	0.1345955
-0.9	4e-05	0.1162577
-0.9	4.5e-05	0.1193404
-0.9	5e-05	0.10717735
-0.9	5.5e-05	0.107587
-0.9	6e-05	0.10377795
-0.9	6.5e-05	0.0980782
-0.9	7e-05	0.1003599
-0.9	7.5e-05	0.1172728
-0.9	8e-05	0.10417835
-0.9	8.5e-05	0.1097942
-0.9	9e-05	0.099233
-0.9	9.5e-05	0.11386415
-0.9	0.0001	0.0843503
-0.9	0.000105	0.1017941
-0.9	0.00011	0.1029583
-0.9	0.000115	0.1254406
-0.9	0.00012	0.1195453
-0.9	0.000125	0.10857425
-0.9	0.00013	0.089929
-0.9	0.000135	0.1124579
-0.9	0.00014	0.10375925
-0.9	0.000145	0.10025735
-0.9	0.00015	0.0877311
-0.9	0.000155	0.09564735
-0.9	0.00016	0.0985997
-0.9	0.000165	0.1072332
-0.9	0.00017	0.08866245
-0.9	0.000175	0.0997639
-0.9	0.00018	0.0739474
-0.9	0.000185	0.08879275
-0.9	0.00019	0.1008722
-0.9	0.000195	0.09749145
-0.9	0.0002	0.09100005
-0.85	0.0002	0.09633645
-0.85	0.000195	0.07969365
-0.85	0.00019	0.11292345
-0.85	0.000185	0.08925845
-0.85	0.00018	0.0996334
-0.85	0.000175	0.0848254
-0.85	0.00017	0.09000345
-0.85	0.000165	0.10338675
-0.85	0.00016	0.1029675
-0.85	0.000155	0.10285585
-0.85	0.00015	0.09572185
-0.85	0.000145	0.09253675
-0.85	0.00014	0.1087791
-0.85	0.000135	0.1063484
-0.85	0.00013	0.1009839
-0.85	0.000125	0.1191168
-0.85	0.00012	0.0849185
-0.85	0.000115	0.09040395
-0.85	0.00011	0.07902315
-0.85	0.000105	0.093319
-0.85	0.0001	0.1046347
-0.85	9.5e-05	0.106721
-0.85	9e-05	0.10035995
-0.85	8.5e-05	0.082171
-0.85	8e-05	0.0962154
-0.85	7.5e-05	0.1033681
-0.85	7e-05	0.0930862
-0.85	6.5e-05	0.10751245
-0.85	6e-05	0.09561945
-0.85	5.5e-05	0.1273777
-0.85	5e-05	0.09601065
-0.85	4.5e-05	0.1077174
-0.85	4e-05	0.09460425
-0.85	3.5e-05	0.13062805
-0.85	3e-05	0.1400158
-0.85	2.5e-05	0.14267
-0.85	2e-05	0.1335244
-0.85	1.5e-05	0.0995775
-0.85	1e-05	0.03800744
-0.85	5e-06	0.03103182
-0.85	0.0	-0.0109617
-0.85	-5e-06	0.01276851
-0.85	-1e-05	0.01847755
-0.85	-1.5e-05	0.0501333
-0.85	-2e-05	0.1306559
-0.85	-2.5e-05	0.14261415
-0.85	-3e-05	0.145138
-0.85	-3.5e-05	0.1285233
-0.85	-4e-05	0.131876
-0.85	-4.5e-05	0.12370825
-0.85	-5e-05	0.10658125
-0.85	-5.5e-05	0.11410635
-0.85	-6e-05	0.09573125
-0.85	-6.5e-05	0.1046627
-0.85	-7e-05	0.1010211
-0.85	-7.5e-05	0.08791725
-0.85	-8e-05	0.0795075
-0.85	-8.5e-05	0.10155205
-0.85	-9e-05	0.08631545
-0.85	-9.5e-05	0.0881688
-0.85	-0.0001	0.0883923
-0.85	-0.000105	0.0920897
-0.85	-0.00011	0.0958895
-0.85	-0.000115	0.08526295
-0.85	-0.00012	0.12005755
-0.85	-0.000125	0.09775235
-0.85	-0.00013	0.09439935
-0.85	-0.000135	0.10001525
-0.85	-0.00014	0.0818451
-0.85	-0.000145	0.0996428
-0.85	-0.00015	0.0875542
-0.85	-0.000155	0.077831
-0.85	-0.00016	0.10241825
-0.85	-0.000165	0.11164755
-0.85	-0.00017	0.0982086
-0.85	-0.000175	0.089156
-0.85	-0.00018	0.099084
-0.85	-0.000185	0.1077267
-0.85	-0.00019	0.0925088
-0.85	-0.000195	0.10762435
-0.85	-0.0002	0.09561945
-0.8	-0.0002	0.10185005
-0.8	-0.000195	0.0918755
-0.8	-0.00019	0.10514695
-0.8	-0.000185	0.08735855
-0.8	-0.00018	0.1063577
-0.8	-0.000175	0.109161
-0.8	-0.00017	0.0894169
-0.8	-0.000165	0.0969232
-0.8	-0.00016	0.08756345
-0.8	-0.000155	0.09209895
-0.8	-0.00015	0.08749825
-0.8	-0.000145	0.0879732
-0.8	-0.00014	0.08706975
-0.8	-0.000135	0.0888579
-0.8	-0.00013	0.1027721
-0.8	-0.000125	0.09115835
-0.8	-0.00012	0.09157735
-0.8	-0.000115	0.1057616
-0.8	-0.00011	0.09908405
-0.8	-0.000105	0.0896869
-0.8	-0.0001	0.1000992
-0.8	-9.5e-05	0.09341225
-0.8	-9e-05	0.09867425
-0.8	-8.5e-05	0.09869285
-0.8	-8e-05	0.0917078
-0.8	-7.5e-05	0.101226
-0.8	-7e-05	0.08218975
