Initial Temperature (K)	0.0248371
Excitation Current (A)	1.0856623376623376e-12
Axis 1,2	y,z
Angle	14
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.9	-0.0002	-0.02047059	0.0	0.8733	0.2177
0.9	-0.000195	0.0814818	0.0	0.8733	0.2177
0.9	-0.00019	0.0833166	0.0	0.8733	0.2177
0.9	-0.000185	0.1033216	-0.0	0.8733	0.2177
0.9	-0.00018	0.08241325	0.0	0.8733	0.2177
0.9	-0.000175	0.08406152	0.0	0.8733	0.2177
0.9	-0.00017	0.10005265	-0.0	0.8733	0.2177
0.9	-0.000165	0.1038244	0.0	0.8733	0.2177
0.9	-0.00016	0.09087905	0.0	0.8733	0.2177
0.9	-0.000155	0.09795695	-0.0	0.8733	0.2177
0.9	-0.00015	0.0904226	-0.0	0.8733	0.2177
0.9	-0.000145	0.10641355	0.0	0.8733	0.2177
0.9	-0.00014	0.10558455	0.0	0.8733	0.2177
0.9	-0.000135	0.1141901	0.0	0.8733	0.2177
0.9	-0.00013	0.10484895	0.0	0.8733	0.2177
0.9	-0.000125	0.09821785	-0.0	0.8733	0.2177
0.9	-0.00012	0.08627815	0.0	0.8733	0.2177
0.9	-0.000115	0.0956753	0.0	0.8733	0.2177
0.9	-0.00011	0.08457395	0.0	0.8733	0.2177
0.9	-0.000105	0.0754189	0.0	0.8733	0.2177
0.9	-0.0001	0.11485135	0.0	0.8733	0.2177
0.9	-9.5e-05	0.09382195	0.0	0.8733	0.2177
0.9	-9e-05	0.1107257	0.0	0.8733	0.2177
0.9	-8.5e-05	0.1242857	0.0	0.8733	0.2177
0.9	-8e-05	0.10418765	0.0	0.8733	0.2177
0.9	-7.5e-05	0.10411305	-0.0	0.8733	0.2177
0.9	-7e-05	0.12403425	-0.0	0.8733	0.2177
0.9	-6.5e-05	0.1047652	0.0	0.8733	0.2177
0.9	-6e-05	0.06788439	0.0	0.8733	0.2177
0.9	-5.5e-05	0.1084438	-0.0	0.8733	0.2177
0.9	-5e-05	0.0747949	0.0	0.8733	0.2177
0.9	-4.5e-05	0.10421565	0.0	0.8733	0.2177
0.9	-4e-05	0.0939244	0.0	0.8733	0.2177
0.9	-3.5e-05	0.11174065	-0.0	0.8733	0.2177
0.9	-3e-05	0.11129365	0.0	0.8733	0.2177
0.9	-2.5e-05	0.116537	0.0	0.8733	0.2177
0.9	-2e-05	0.1046906	0.0	0.8733	0.2177
0.9	-1.5e-05	0.090702	-0.0	0.8733	0.2177
0.9	-1e-05	0.11292355	0.0	0.8733	0.2177
0.9	-5e-06	0.07368665	0.0	0.8733	0.2177
0.9	0.0	0.07470178	0.0	0.8733	0.2177
