Initial Temperature (K)	0.0247447
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.004	-0.0002	-0.07332776	0.004	0.0	0.0
0.004	-0.000198	0.08526968	0.004	0.0	-0.0001
0.004	-0.000196	0.09772487	0.004	0.0	-0.0
0.004	-0.000194	0.0953395	0.004	-0.0	-0.0
0.004	-0.000192	0.08789663	0.004	-0.0	0.0
0.004	-0.00019	0.09061405	0.004	-0.0	0.0001
0.004	-0.000188	0.09841937	0.004	0.0	0.0
0.004	-0.000186	0.10329578	0.004	0.0	-0.0001
0.004	-0.000184	0.10636059	0.004	-0.0	0.0
0.004	-0.000182	0.08694548	0.004	-0.0	-0.0
0.004	-0.00018	0.09096123	0.004	0.0	0.0
0.004	-0.000178	0.09490173	0.004	-0.0	-0.0
0.004	-0.000176	0.09767969	0.004	0.0	-0.0
0.004	-0.000174	0.07823431	0.004	-0.0	-0.0001
0.004	-0.000172	0.0815858	0.004	-0.0	-0.0
0.004	-0.00017	0.09256166	0.004	0.0	0.0
0.004	-0.000168	0.0963963	0.004	-0.0	0.0
0.004	-0.000166	0.09197285	0.004	-0.0	0.0001
0.004	-0.000164	0.11286745	0.004	-0.0	0.0
0.004	-0.000162	0.10325048	0.004	0.0	0.0
0.004	-0.00016	0.10773439	0.004	0.0	0.0
0.004	-0.000158	0.09016116	0.004	-0.0	-0.0
0.004	-0.000156	0.08578298	0.004	0.0	-0.0
0.004	-0.000154	0.09725688	0.004	0.0	0.0001
0.004	-0.000152	0.10190687	0.004	-0.0	0.0001
0.004	-0.00015	0.09367881	0.004	0.0	0.0
0.004	-0.000148	0.0896327	0.004	0.0	0.0
0.004	-0.000146	0.09260701	0.004	0.0	-0.0
0.004	-0.000144	0.09775515	0.004	0.0	0.0001
0.004	-0.000142	0.10998384	0.004	0.0	-0.0
0.004	-0.00014	0.10509232	0.004	0.0	0.0001
0.004	-0.000138	0.08860617	0.004	-0.0	0.0
0.004	-0.000136	0.10397525	0.004	-0.0	-0.0
0.004	-0.000134	0.10518293	0.004	-0.0	0.0
0.004	-0.000132	0.10787031	0.004	-0.0	-0.0
0.004	-0.00013	0.10468474	0.004	0.0	-0.0
0.004	-0.000128	0.12879518	0.004	-0.0	0.0
0.004	-0.000126	0.1306671	0.004	0.0	-0.0
0.004	-0.000124	0.10296379	0.004	-0.0	-0.0
0.004	-0.000122	0.10657193	0.004	-0.0	0.0
0.004	-0.00012	0.10990842	0.004	-0.0	-0.0
0.004	-0.000118	0.10931962	0.004	0.0	0.0
0.004	-0.000116	0.08567725	0.004	-0.0	-0.0
0.004	-0.000114	0.10871573	0.004	-0.0	0.0
0.004	-0.000112	0.13270549	0.004	0.0	0.0
0.004	-0.00011	0.12064267	0.004	-0.0	-0.0
