Initial Temperature (K)	0.0249875
Excitation Current (A)	2.031168831168831e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.005	-0.0002	0.21570443	0.005	0.0	0.0001
0.005	-0.000199	0.08682621	0.005	0.0	0.0001
0.005	-0.000198	0.10478286	0.005	0.0	-0.0
0.005	-0.000197	0.07849263	0.005	0.0	0.0
0.005	-0.000196	0.0873878	0.005	0.0	-0.0
0.005	-0.000195	0.10843972	0.005	0.0	0.0
0.005	-0.000194	0.09756698	0.005	-0.0	0.0
0.005	-0.000193	0.09815725	0.005	0.0	-0.0
0.005	-0.000192	0.09697658	0.005	0.0	0.0001
0.005	-0.000191	0.10035823	0.005	0.0	-0.0001
0.005	-0.00019	0.08071058	0.005	0.0	-0.0
0.005	-0.000189	0.09358928	0.005	-0.0	-0.0
0.005	-0.000188	0.08652241	0.005	0.0	0.0
0.005	-0.000187	0.08463104	0.005	0.0	-0.0
0.005	-0.000186	0.09007012	0.005	0.0	-0.0
0.005	-0.000185	0.107471	0.005	0.0	0.0001
0.005	-0.000184	0.08314086	0.005	0.0	0.0
0.005	-0.000183	0.0822811	0.005	0.0	-0.0
0.005	-0.000182	0.09243148	0.005	0.0	-0.0
0.005	-0.000181	0.1050237	0.005	0.0	-0.0
0.005	-0.00018	0.09584177	0.005	0.0	0.0
0.005	-0.000179	0.09705105	0.005	0.0	-0.0
0.005	-0.000178	0.10225532	0.005	0.0	0.0
0.005	-0.000177	0.08956004	0.005	0.0	-0.0
0.005	-0.000176	0.0966958	0.005	0.0	0.0
0.005	-0.000175	0.08795524	0.005	0.0	-0.0
0.005	-0.000174	0.09649515	0.005	0.0	0.0
0.005	-0.000173	0.08674587	0.005	0.0	-0.0
0.005	-0.000172	0.08896974	0.005	0.0	0.0001
0.005	-0.000171	0.08855705	0.005	0.0	-0.0
0.005	-0.00017	0.09538323	0.005	0.0	0.0
0.005	-0.000169	0.09013893	0.005	0.0	-0.0
0.005	-0.000168	0.10160769	0.005	0.0	0.0
0.005	-0.000167	0.09715425	0.005	0.0	-0.0
0.005	-0.000166	0.09277534	0.005	0.0	-0.0
0.005	-0.000165	0.10234129	0.005	0.0	0.0
0.005	-0.000164	0.10382003	0.005	0.0	0.0
0.005	-0.000163	0.08029229	0.005	0.0	0.0
0.005	-0.000162	0.08535889	0.005	0.0	-0.0
0.005	-0.000161	0.08456218	0.005	0.0	0.0
0.005	-0.00016	0.09671873	0.005	0.0	-0.0
0.005	-0.000159	0.09248883	0.005	0.0	0.0
0.005	-0.000158	0.09384144	0.005	0.0	-0.0
0.005	-0.000157	0.08174804	0.005	0.0	-0.0
0.005	-0.000156	0.09160606	0.005	-0.0	-0.0
0.005	-0.000155	0.08579444	0.005	0.0	-0.0
0.005	-0.000154	0.0805559	0.005	0.0	0.0
0.005	-0.000153	0.09530873	0.005	0.0	-0.0
0.005	-0.000152	0.10042694	0.005	0.0	-0.0
0.005	-0.000151	0.09123368	0.005	0.0	0.0001
0.005	-0.00015	0.07873321	0.005	0.0	-0.0
0.005	-0.000149	0.08805266	0.005	0.0	0.0
0.005	-0.000148	0.10062187	0.005	0.0	0.0001
0.005	-0.000147	0.09658684	0.005	-0.0	0.0
0.005	-0.000146	0.09315363	0.005	0.0	-0.0001
0.005	-0.000145	0.07988525	0.005	0.0	0.0
