Initial Temperature (K)	0.0250206
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.004	-0.0002	0.05045521	-0.004	-0.0	0.0
-0.004	-0.000198	0.0907802	-0.004	0.0	0.0
-0.004	-0.000196	0.09645672	-0.004	0.0	0.0001
-0.004	-0.000194	0.08268795	-0.004	0.0	-0.0
-0.004	-0.000192	0.09315051	-0.004	0.0	-0.0
-0.004	-0.00019	0.07464113	-0.004	-0.0	0.0
-0.004	-0.000188	0.09038767	-0.004	-0.0	0.0
-0.004	-0.000186	0.08220492	-0.004	0.0	0.0001
-0.004	-0.000184	0.0854358	-0.004	0.0	0.0001
-0.004	-0.000182	0.09280312	-0.004	0.0	0.0
-0.004	-0.00018	0.09629069	-0.004	0.0	-0.0
-0.004	-0.000178	0.09372416	-0.004	0.0	-0.0
-0.004	-0.000176	0.09751353	-0.004	0.0	0.0001
-0.004	-0.000174	0.10320525	-0.004	0.0	0.0
-0.004	-0.000172	0.08798717	-0.004	-0.0	-0.0
-0.004	-0.00017	0.09087086	-0.004	0.0	-0.0
-0.004	-0.000168	0.08744375	-0.004	-0.0	0.0
-0.004	-0.000166	0.09222951	-0.004	-0.0	-0.0
-0.004	-0.000164	0.10026125	-0.004	0.0	-0.0
-0.004	-0.000162	0.0926975	-0.004	-0.0	0.0
-0.004	-0.00016	0.0956265	-0.004	0.0	-0.0
-0.004	-0.000158	0.07977423	-0.004	0.0	-0.0001
-0.004	-0.000156	0.09301458	-0.004	0.0	-0.0
-0.004	-0.000154	0.09073494	-0.004	0.0	-0.0001
-0.004	-0.000152	0.10039718	-0.004	0.0	-0.0001
-0.004	-0.00015	0.08765506	-0.004	-0.0	-0.0
-0.004	-0.000148	0.08890809	-0.004	0.0	0.0
-0.004	-0.000146	0.09896299	-0.004	-0.0	0.0
-0.004	-0.000144	0.0776757	-0.004	-0.0	0.0
-0.004	-0.000142	0.10231452	-0.004	0.0	0.0
-0.004	-0.00014	0.10281275	-0.004	-0.0	-0.0
-0.004	-0.000138	0.08212954	-0.004	0.0	0.0001
