Initial Temperature (K)	0.0250626
Excitation Current (A)	2.031168831168831e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.01	-0.0002	0.10775168	0.01	-0.0	0.0
0.01	-0.000199	0.09063528	0.01	0.0	-0.0
0.01	-0.000198	0.09097917	0.01	-0.0	0.0
0.01	-0.000197	0.09576159	0.01	0.0	0.0
0.01	-0.000196	0.09608709	0.01	0.0	-0.0
0.01	-0.000195	0.10097029	0.01	0.0	0.0
0.01	-0.000194	0.09087834	0.01	-0.0	-0.0
0.01	-0.000193	0.09191461	0.01	0.0	-0.0
0.01	-0.000192	0.08849863	0.01	-0.0	0.0
0.01	-0.000191	0.09677027	0.01	-0.0	0.0001
0.01	-0.00019	0.08256537	0.01	-0.0	-0.0001
0.01	-0.000189	0.10564722	0.01	0.0	-0.0
0.01	-0.000188	0.09866398	0.01	-0.0	0.0001
0.01	-0.000187	0.09467032	0.01	-0.0	-0.0001
0.01	-0.000186	0.09887026	0.01	-0.0	-0.0
0.01	-0.000185	0.09412004	0.01	0.0	0.0
0.01	-0.000184	0.09573857	0.01	-0.0	-0.0
0.01	-0.000183	0.09699039	0.01	-0.0	-0.0
0.01	-0.000182	0.09956725	0.01	-0.0	-0.0
0.01	-0.000181	0.10116289	0.01	0.0	-0.0
0.01	-0.00018	0.08821426	0.01	0.0	0.0
0.01	-0.000179	0.08625639	0.01	0.0	0.0
0.01	-0.000178	0.09745807	0.01	0.0	-0.0
0.01	-0.000177	0.09130927	0.01	-0.0	-0.0
0.01	-0.000176	0.10340509	0.01	-0.0	-0.0
0.01	-0.000175	0.09506457	0.01	-0.0	0.0001
0.01	-0.000174	0.09067205	0.01	0.0	0.0
0.01	-0.000173	0.10932001	0.01	-0.0	0.0001
0.01	-0.000172	0.09317091	0.01	0.0	-0.0
0.01	-0.000171	0.09760946	0.01	0.0	-0.0
0.01	-0.00017	0.1016627	0.01	0.0	0.0001
0.01	-0.000169	0.10058516	0.01	-0.0	-0.0001
0.01	-0.000168	0.10970046	0.01	-0.0	-0.0
0.01	-0.000167	0.09248308	0.01	-0.0	0.0
0.01	-0.000166	0.09627971	0.01	0.0	0.0001
0.01	-0.000165	0.09760937	0.01	0.0	0.0
0.01	-0.000164	0.10390027	0.01	-0.0	0.0
0.01	-0.000163	0.08976863	0.01	0.0	-0.0
0.01	-0.000162	0.08870033	0.01	0.0	-0.0001
0.01	-0.000161	0.11143827	0.01	0.0	-0.0
0.01	-0.00016	0.09691693	0.01	-0.0	0.0001
0.01	-0.000159	0.10786646	0.01	-0.0	0.0
0.01	-0.000158	0.08810425	0.01	0.0	-0.0
0.01	-0.000157	0.09026391	0.01	0.0	-0.0
0.01	-0.000156	0.10197444	0.01	0.0	-0.0
0.01	-0.000155	0.09170823	0.01	0.0	0.0
0.01	-0.000154	0.10603698	0.01	-0.0	-0.0001
0.01	-0.000153	0.094065	0.01	-0.0	0.0
0.01	-0.000152	0.0886224	0.01	0.0	-0.0
0.01	-0.000151	0.09511039	0.01	0.0	-0.0
0.01	-0.00015	0.07848912	0.01	0.0	-0.0
0.01	-0.000149	0.09240519	0.01	-0.0	0.0
0.01	-0.000148	0.09967261	0.01	0.0	0.0001
0.01	-0.000147	0.10842587	0.01	-0.0	-0.0
0.01	-0.000146	0.10759595	0.01	-0.0	-0.0
0.01	-0.000145	0.10635332	0.01	0.0	0.0001
0.01	-0.000144	0.08765488	0.01	0.0	0.0001
0.01	-0.000143	0.10261178	0.01	0.0	-0.0
0.01	-0.000142	0.10355178	0.01	-0.0	0.0
0.01	-0.000141	0.10248808	0.01	-0.0	0.0
0.01	-0.00014	0.10508779	0.01	-0.0	0.0
0.01	-0.000139	0.09345978	0.01	0.0	-0.0
0.01	-0.000138	0.07988302	0.01	0.0	0.0001
0.01	-0.000137	0.09691701	0.01	-0.0	0.0001
0.01	-0.000136	0.09601373	0.01	-0.0	-0.0001
0.01	-0.000135	0.10293738	0.01	0.0	-0.0
0.01	-0.000134	0.09343682	0.01	-0.0	-0.0001
0.01	-0.000133	0.09243259	0.01	0.0	0.0001
0.01	-0.000132	0.08076338	0.01	-0.0	-0.0
0.01	-0.000131	0.10821951	0.01	0.0	0.0
0.01	-0.00013	0.09218505	0.01	0.0	0.0
0.01	-0.000129	0.09986986	0.01	-0.0	0.0001
0.01	-0.000128	0.10143802	0.01	0.0	-0.0
0.01	-0.000127	0.10455138	0.01	0.0	-0.0
0.01	-0.000126	0.09780196	0.01	-0.0	-0.0001
0.01	-0.000125	0.10093356	0.01	0.0	-0.0
0.01	-0.000124	0.09121758	0.01	-0.0	0.0
0.01	-0.000123	0.0926115	0.01	0.0	-0.0
0.01	-0.000122	0.09881532	0.01	-0.0	-0.0
0.01	-0.000121	0.07399562	0.01	0.0	-0.0
0.01	-0.00012	0.10976478	0.01	0.0	0.0
0.01	-0.000119	0.103483	0.01	-0.0	-0.0
0.01	-0.000118	0.09364775	0.01	-0.0	0.0
0.01	-0.000117	0.11437287	0.01	0.0	0.0
0.01	-0.000116	0.10104364	0.01	0.0	0.0
0.01	-0.000115	0.09222185	0.01	-0.0	0.0
0.01	-0.000114	0.10788933	0.01	0.0	-0.0
0.01	-0.000113	0.09458318	0.01	-0.0	-0.0
0.01	-0.000112	0.10374893	0.01	0.0	0.0001
0.01	-0.000111	0.10092903	0.01	0.0	0.0
0.01	-0.00011	0.0993059	0.01	0.0	0.0
0.01	-0.000109	0.11153455	0.01	-0.0	0.0
0.01	-0.000108	0.10052094	0.01	-0.0	0.0
0.01	-0.000107	0.1036802	0.01	0.0	-0.0
0.01	-0.000106	0.10193786	0.01	-0.0	-0.0
0.01	-0.000105	0.10876508	0.01	0.0	0.0001
0.01	-0.000104	0.09282247	0.01	-0.0	-0.0001
0.01	-0.000103	0.0983017	0.01	0.0	-0.0
0.01	-0.000102	0.09681157	0.01	0.0	-0.0
0.01	-0.000101	0.11779326	0.01	-0.0	-0.0001
0.01	-0.0001	0.10114915	0.01	0.0	-0.0
0.01	-9.9e-05	0.09837508	0.01	0.0	0.0001
0.01	-9.8e-05	0.10754997	0.01	0.0	-0.0
0.01	-9.7e-05	0.09264818	0.01	0.0	-0.0
0.01	-9.6e-05	0.0929371	0.01	-0.0	-0.0
0.01	-9.5e-05	0.0951975	0.01	0.0	0.0001
0.01	-9.4e-05	0.11056713	0.01	0.0	0.0001
0.01	-9.3e-05	0.09301502	0.01	-0.0	0.0
0.01	-9.2e-05	0.10636711	0.01	0.0	0.0
0.01	-9.1e-05	0.09294166	0.01	0.0	-0.0
0.01	-9e-05	0.10249722	0.01	-0.0	0.0
0.01	-8.9e-05	0.10627076	0.01	0.0	0.0
0.01	-8.8e-05	0.09802208	0.01	0.0	0.0
0.01	-8.7e-05	0.09391373	0.01	-0.0	0.0001
0.01	-8.6e-05	0.10278151	0.01	0.0	-0.0
0.01	-8.5e-05	0.09414754	0.01	0.0	-0.0
0.01	-8.4e-05	0.11319906	0.01	-0.0	0.0
0.01	-8.3e-05	0.10739873	0.01	-0.0	0.0
0.01	-8.2e-05	0.10509245	0.01	-0.0	0.0
0.01	-8.1e-05	0.11154833	0.01	-0.0	-0.0
0.01	-8e-05	0.11245624	0.01	0.0	0.0001
0.01	-7.9e-05	0.11411137	0.01	-0.0	0.0
0.01	-7.8e-05	0.10228165	0.01	0.0	-0.0
0.01	-7.7e-05	0.10296488	0.01	0.0	0.0
0.01	-7.6e-05	0.11735775	0.01	-0.0	-0.0
0.01	-7.5e-05	0.10379477	0.01	0.0	0.0001
0.01	-7.4e-05	0.1293021	0.01	-0.0	-0.0001
0.01	-7.3e-05	0.11393268	0.01	-0.0	-0.0
0.01	-7.2e-05	0.1074217	0.01	-0.0	-0.0
0.01	-7.1e-05	0.11213989	0.01	-0.0	-0.0
0.01	-7e-05	0.10063102	0.01	-0.0	-0.0
0.01	-6.9e-05	0.10312995	0.01	-0.0	-0.0
0.01	-6.8e-05	0.10782516	0.01	0.0	0.0001
0.01	-6.7e-05	0.11134195	0.01	0.0	0.0
0.01	-6.6e-05	0.11731649	0.01	-0.0	0.0001
0.01	-6.5e-05	0.12449689	0.01	0.0	0.0
0.01	-6.4e-05	0.11619312	0.01	0.0	0.0
0.01	-6.3e-05	0.12705076	0.01	-0.0	0.0001
0.01	-6.2e-05	0.1329244	0.01	0.0	-0.0
0.01	-6.1e-05	0.11853616	0.01	0.0	-0.0
0.01	-6e-05	0.13597353	0.01	0.0	-0.0
0.01	-5.9e-05	0.12599622	0.01	-0.0	-0.0
0.01	-5.8e-05	0.13506108	0.01	0.0	0.0
0.01	-5.7e-05	0.1459921	0.01	-0.0	-0.0
0.01	-5.6e-05	0.14470365	0.01	0.0	0.0
0.01	-5.5e-05	0.15793192	0.01	0.0	-0.0001
0.01	-5.4e-05	0.16004568	0.01	0.0	-0.0
0.01	-5.3e-05	0.14905046	0.01	-0.0	0.0
0.01	-5.2e-05	0.1714033	0.01	-0.0	0.0
0.01	-5.1e-05	0.16436484	0.01	0.0	0.0
0.01	-5e-05	0.17250819	0.01	-0.0	0.0
0.01	-4.9e-05	0.1805873	0.01	0.0	-0.0
0.01	-4.8e-05	0.17392953	0.01	0.0	-0.0
0.01	-4.7e-05	0.17796005	0.01	0.0	0.0
0.01	-4.6e-05	0.164053	0.01	0.0	-0.0
0.01	-4.5e-05	0.16551583	0.01	-0.0	-0.0
0.01	-4.4e-05	0.17445687	0.01	0.0	-0.0
0.01	-4.3e-05	0.16593298	0.01	0.0	-0.0
0.01	-4.2e-05	0.16723982	0.01	0.0	-0.0
0.01	-4.1e-05	0.16017406	0.01	-0.0	-0.0
0.01	-4e-05	0.15865633	0.01	-0.0	0.0001
0.01	-3.9e-05	0.15921109	0.01	-0.0	-0.0
0.01	-3.8e-05	0.15190239	0.01	0.0	-0.0
0.01	-3.7e-05	0.15433707	0.01	0.0	0.0
0.01	-3.6e-05	0.12058114	0.01	0.0	-0.0
0.01	-3.5e-05	0.11977419	0.01	0.0	-0.0
0.01	-3.4e-05	0.13940781	0.01	0.0	0.0001
0.01	-3.3e-05	0.1122453	0.01	0.0	-0.0
0.01	-3.2e-05	0.1113741	0.01	0.0	-0.0
0.01	-3.1e-05	0.09154766	0.01	-0.0	0.0001
0.01	-3e-05	0.08352356	0.01	0.0	-0.0
0.01	-2.9e-05	0.0902822	0.01	-0.0	-0.0
0.01	-2.8e-05	0.05587044	0.01	-0.0	-0.0
0.01	-2.7e-05	0.07290891	0.01	0.0	0.0
0.01	-2.6e-05	0.06056109	0.01	0.0	0.0001
0.01	-2.5e-05	0.05810347	0.01	-0.0	-0.0001
0.01	-2.4e-05	0.04570054	0.01	0.0	-0.0
0.01	-2.3e-05	0.03653473	0.01	-0.0	0.0
0.01	-2.2e-05	0.03381573	0.01	-0.0	-0.0
0.01	-2.1e-05	0.02290754	0.01	0.0	0.0001
0.01	-2e-05	0.02290757	0.01	-0.0	-0.0
0.01	-1.9e-05	0.02564033	0.01	-0.0	-0.0
0.01	-1.8e-05	0.01796018	0.01	0.0	0.0001
0.01	-1.7e-05	0.01680473	0.01	0.0	0.0
0.01	-1.6e-05	0.00933545	0.01	0.0	-0.0
0.01	-1.5e-05	0.01630033	0.01	-0.0	0.0
0.01	-1.4e-05	0.01470928	0.01	-0.0	-0.0
0.01	-1.3e-05	0.00240721	0.01	0.0	-0.0
0.01	-1.2e-05	0.0133062	0.01	-0.0	-0.0
0.01	-1.1e-05	0.00565352	0.01	-0.0	0.0
0.01	-1e-05	0.00902823	0.01	-0.0	0.0
0.01	-9e-06	0.00866598	0.01	-0.0	0.0
0.01	-8e-06	-0.00349391	0.01	0.0	0.0001
0.01	-7e-06	0.01492934	0.01	-0.0	0.0001
0.01	-6e-06	-0.01970252	0.01	-0.0	0.0
0.01	-5e-06	0.01659377	0.01	0.0	0.0
0.01	-4e-06	0.01579596	0.01	0.0	0.0
0.01	-3e-06	0.00326463	0.01	-0.0	-0.0
0.01	-2e-06	0.00667144	0.01	0.0	-0.0
0.01	-1e-06	0.00343886	0.01	-0.0	-0.0
0.01	0.0	-0.00429632	0.01	0.0	0.0
0.01	1e-06	0.01564467	0.01	-0.0	-0.0
0.01	2e-06	0.00113711	0.01	0.0	-0.0
0.01	3e-06	0.00088035	0.01	-0.0	-0.0
