Initial Temperature (K)	0.0250397
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.004	-0.0002	-0.20094487	-0.004	0.0	0.0001
-0.004	-0.000198	0.09725696	-0.004	0.0	-0.0001
-0.004	-0.000196	0.09102174	-0.004	-0.0	-0.0
-0.004	-0.000194	0.09126336	-0.004	0.0	0.0001
-0.004	-0.000192	0.0870361	-0.004	0.0	0.0001
-0.004	-0.00019	0.08951201	-0.004	0.0	-0.0
-0.004	-0.000188	0.09846472	-0.004	0.0	-0.0
-0.004	-0.000186	0.1019371	-0.004	0.0	-0.0
-0.004	-0.000184	0.09094616	-0.004	0.0	0.0001
-0.004	-0.000182	0.08834948	-0.004	-0.0	0.0001
-0.004	-0.00018	0.09482623	-0.004	0.0	0.0001
-0.004	-0.000178	0.09068959	-0.004	-0.0	0.0
-0.004	-0.000176	0.10725127	-0.004	-0.0	0.0
-0.004	-0.000174	0.08430345	-0.004	0.0	-0.0
-0.004	-0.000172	0.09132366	-0.004	0.0	-0.0
-0.004	-0.00017	0.09330143	-0.004	0.0	0.0
-0.004	-0.000168	0.0848168	-0.004	-0.0	0.0
-0.004	-0.000166	0.09414685	-0.004	0.0	-0.0
-0.004	-0.000164	0.09328639	-0.004	0.0	-0.0
-0.004	-0.000162	0.09789095	-0.004	-0.0	-0.0
-0.004	-0.00016	0.10376386	-0.004	0.0	-0.0
-0.004	-0.000158	0.09407139	-0.004	0.0	0.0
-0.004	-0.000156	0.09894784	-0.004	-0.0	-0.0
-0.004	-0.000154	0.09343735	-0.004	0.0	0.0
-0.004	-0.000152	0.09852511	-0.004	-0.0	-0.0001
-0.004	-0.00015	0.08807779	-0.004	0.0	-0.0
-0.004	-0.000148	0.09604923	-0.004	-0.0	0.0
-0.004	-0.000146	0.09719653	-0.004	0.0	-0.0
-0.004	-0.000144	0.09773999	-0.004	0.0	0.0001
-0.004	-0.000142	0.0996876	-0.004	-0.0	0.0
-0.004	-0.00014	0.09274289	-0.004	0.0	-0.0
-0.004	-0.000138	0.09656242	-0.004	-0.0	-0.0
-0.004	-0.000136	0.09674365	-0.004	-0.0	0.0
-0.004	-0.000134	0.09472058	-0.004	-0.0	-0.0
-0.004	-0.000132	0.10500178	-0.004	-0.0	-0.0
-0.004	-0.00013	0.0921692	-0.004	0.0	0.0
-0.004	-0.000128	0.10626993	-0.004	0.0	-0.0
-0.004	-0.000126	0.10871573	-0.004	-0.0	0.0
-0.004	-0.000124	0.10195217	-0.004	-0.0	-0.0
-0.004	-0.000122	0.11700409	-0.004	0.0	0.0
-0.004	-0.00012	0.09805699	-0.004	0.0	0.0001
-0.004	-0.000118	0.11082938	-0.004	0.0	-0.0
-0.004	-0.000116	0.10335621	-0.004	0.0	-0.0
-0.004	-0.000114	0.09860057	-0.004	0.0	0.0
-0.004	-0.000112	0.1154491	-0.004	0.0	-0.0
-0.004	-0.00011	0.11332037	-0.004	-0.0	0.0
-0.004	-0.000108	0.11498106	-0.004	-0.0	0.0
-0.004	-0.000106	0.1096065	-0.004	-0.0	0.0001
-0.004	-0.000104	0.1132298	-0.004	0.0	-0.0
-0.004	-0.000102	0.12871956	-0.004	-0.0	-0.0
-0.004	-0.0001	0.14461706	-0.004	0.0	-0.0
-0.004	-9.8e-05	0.12773822	-0.004	0.0	0.0
-0.004	-9.6e-05	0.13891027	-0.004	0.0	-0.0
-0.004	-9.4e-05	0.13712885	-0.004	-0.0	0.0
-0.004	-9.2e-05	0.14679102	-0.004	-0.0	0.0
-0.004	-9e-05	0.14888963	-0.004	0.0	0.0001
-0.004	-8.8e-05	0.14910094	-0.004	0.0	-0.0
-0.004	-8.6e-05	0.15011255	-0.004	-0.0	0.0001
-0.004	-8.4e-05	0.15818969	-0.004	-0.0	-0.0
-0.004	-8.2e-05	0.14343937	-0.004	0.0	0.0
-0.004	-8e-05	0.16062046	-0.004	0.0	0.0001
-0.004	-7.8e-05	0.16157145	-0.004	-0.0	-0.0
-0.004	-7.6e-05	0.16440987	-0.004	0.0	-0.0
-0.004	-7.4e-05	0.17032809	-0.004	0.0	0.0
-0.004	-7.2e-05	0.16413814	-0.004	0.0	-0.0
-0.004	-7e-05	0.15092782	-0.004	0.0	0.0
-0.004	-6.8e-05	0.15076187	-0.004	-0.0	0.0
-0.004	-6.6e-05	0.14328865	-0.004	-0.0	-0.0
-0.004	-6.4e-05	0.14543229	-0.004	0.0	-0.0
-0.004	-6.2e-05	0.14422453	-0.004	0.0	0.0001
-0.004	-6e-05	0.14965963	-0.004	-0.0	-0.0
-0.004	-5.8e-05	0.14300164	-0.004	0.0	-0.0
-0.004	-5.6e-05	0.12126155	-0.004	-0.0	-0.0
-0.004	-5.4e-05	0.1144376	-0.004	0.0	-0.0
-0.004	-5.2e-05	0.09656246	-0.004	0.0	0.0001
-0.004	-5e-05	0.10285798	-0.004	0.0	0.0001
-0.004	-4.8e-05	0.0996876	-0.004	-0.0	-0.0
-0.004	-4.6e-05	0.07760028	-0.004	0.0	-0.0
-0.004	-4.4e-05	0.05548263	-0.004	0.0	-0.0
-0.004	-4.2e-05	0.04954938	-0.004	-0.0	0.0
-0.004	-4e-05	0.04568444	-0.004	0.0	-0.0
-0.004	-3.8e-05	0.03969087	-0.004	0.0	-0.0
-0.004	-3.6e-05	0.03721488	-0.004	0.0	0.0001
-0.004	-3.4e-05	0.03475397	-0.004	0.0	0.0
-0.004	-3.2e-05	0.01558045	-0.004	0.0	0.0001
-0.004	-3e-05	0.02213264	-0.004	-0.0	-0.0
-0.004	-2.8e-05	0.00436312	-0.004	-0.0	0.0
-0.004	-2.6e-05	0.00469527	-0.004	-0.0	0.0001
-0.004	-2.4e-05	-0.00529913	-0.004	-0.0	-0.0
-0.004	-2.2e-05	0.00486136	-0.004	0.0	-0.0
-0.004	-2e-05	0.00318553	-0.004	-0.0	-0.0
-0.004	-1.8e-05	0.00421216	-0.004	-0.0	-0.0
-0.004	-1.6e-05	0.00626539	-0.004	0.0	0.0
-0.004	-1.4e-05	0.0056011	-0.004	0.0	0.0
-0.004	-1.2e-05	-0.00197775	-0.004	0.0	-0.0
-0.004	-1e-05	-0.00951131	-0.004	0.0	0.0
-0.004	-8e-06	-0.00709574	-0.004	0.0	0.0
-0.004	-6e-06	-0.00985853	-0.004	0.0	-0.0
-0.004	-4e-06	-0.00413667	-0.004	0.0	-0.0
-0.004	-2e-06	-0.01135318	-0.004	-0.0	0.0
-0.004	-0.0	-0.00107192	-0.004	-0.0	-0.0
-0.004	2e-06	-0.00572188	-0.004	-0.0	0.0
-0.004	4e-06	-0.00019626	-0.004	-0.0	0.0
-0.004	6e-06	0.00431783	-0.004	-0.0	-0.0
-0.004	8e-06	0.00086054	-0.004	0.0	0.0
-0.004	1e-05	-0.00868096	-0.004	-0.0	0.0
-0.004	1.2e-05	-0.00344217	-0.004	-0.0	-0.0
-0.004	1.4e-05	-0.00152483	-0.004	-0.0	-0.0
-0.004	1.6e-05	-0.00155502	-0.004	0.0	-0.0
-0.004	1.8e-05	-0.00502739	-0.004	0.0	0.0
-0.004	2e-05	0.00244576	-0.004	0.0	0.0
-0.004	2.2e-05	-0.00442351	-0.004	-0.0	-0.0
-0.004	2.4e-05	0.00333649	-0.004	-0.0	0.0
-0.004	2.6e-05	-0.00528405	-0.004	-0.0	0.0
-0.004	2.8e-05	-0.00076998	-0.004	-0.0	0.0
-0.004	3e-05	0.01497652	-0.004	0.0	-0.0
-0.004	3.2e-05	0.00926975	-0.004	-0.0	0.0
-0.004	3.4e-05	0.01035675	-0.004	-0.0	-0.0
-0.004	3.6e-05	0.03953982	-0.004	0.0	0.0
-0.004	3.8e-05	0.03446716	-0.004	0.0	0.0
-0.004	4e-05	0.05459191	-0.004	0.0	-0.0
-0.004	4.2e-05	0.05018349	-0.004	0.0	0.0
-0.004	4.4e-05	0.06594503	-0.004	0.0	0.0
-0.004	4.6e-05	0.07809838	-0.004	-0.0	-0.0
-0.004	4.8e-05	0.09248616	-0.004	0.0	0.0001
-0.004	5e-05	0.09305989	-0.004	0.0	-0.0
-0.004	5.2e-05	0.11058776	-0.004	-0.0	0.0
-0.004	5.4e-05	0.11440741	-0.004	-0.0	-0.0
-0.004	5.6e-05	0.13566427	-0.004	0.0	-0.0
-0.004	5.8e-05	0.14041992	-0.004	-0.0	0.0
-0.004	6e-05	0.14274491	-0.004	-0.0	0.0
-0.004	6.2e-05	0.13116537	-0.004	-0.0	0.0001
-0.004	6.4e-05	0.14386222	-0.004	-0.0	-0.0
-0.004	6.6e-05	0.14771222	-0.004	-0.0	0.0
-0.004	6.8e-05	0.16268876	-0.004	-0.0	0.0
-0.004	7e-05	0.1637606	-0.004	-0.0	-0.0
-0.004	7.2e-05	0.15859735	-0.004	0.0	0.0
-0.004	7.4e-05	0.15696685	-0.004	0.0	-0.0
-0.004	7.6e-05	0.15844663	-0.004	-0.0	-0.0
-0.004	7.8e-05	0.16904475	-0.004	0.0	0.0001
-0.004	8e-05	0.17438928	-0.004	-0.0	-0.0001
-0.004	8.2e-05	0.16249253	-0.004	0.0	-0.0
-0.004	8.4e-05	0.15532124	-0.004	-0.0	-0.0
-0.004	8.6e-05	0.15888431	-0.004	0.0	0.0001
-0.004	8.8e-05	0.16000146	-0.004	-0.0	0.0
-0.004	9e-05	0.15749535	-0.004	-0.0	-0.0
-0.004	9.2e-05	0.14257895	-0.004	-0.0	0.0
-0.004	9.4e-05	0.15381155	-0.004	0.0	-0.0
-0.004	9.6e-05	0.14508498	-0.004	-0.0	0.0
-0.004	9.8e-05	0.14170318	-0.004	0.0	-0.0
-0.004	0.0001	0.12517173	-0.004	-0.0	0.0
-0.004	0.000102	0.12411492	-0.004	0.0	-0.0
-0.004	0.000104	0.12494523	-0.004	0.0	-0.0
-0.004	0.000106	0.1213672	-0.004	0.0	0.0
-0.004	0.000108	0.11528306	-0.004	0.0	-0.0001
-0.004	0.00011	0.10815716	-0.004	0.0	-0.0
-0.004	0.000112	0.10048767	-0.004	0.0	-0.0001
-0.004	0.000114	0.1029939	-0.004	0.0	-0.0
-0.004	0.000116	0.10441305	-0.004	0.0	-0.0
-0.004	0.000118	0.10282779	-0.004	0.0	-0.0
-0.004	0.00012	0.09330143	-0.004	-0.0	-0.0
-0.004	0.000122	0.11434699	-0.004	0.0	-0.0
-0.004	0.000124	0.1049867	-0.004	0.0	0.0
-0.004	0.000126	0.09536973	-0.004	-0.0	0.0
-0.004	0.000128	0.1102858	-0.004	-0.0	0.0
-0.004	0.00013	0.1022541	-0.004	-0.0	-0.0
-0.004	0.000132	0.1057567	-0.004	0.0	0.0
-0.004	0.000134	0.0995366	-0.004	-0.0	0.0
-0.004	0.000136	0.08122357	-0.004	-0.0	0.0
-0.004	0.000138	0.10063872	-0.004	-0.0	0.0001
-0.004	0.00014	0.11042177	-0.004	0.0	0.0
-0.004	0.000142	0.09855526	-0.004	-0.0	-0.0
-0.004	0.000144	0.08714175	-0.004	-0.0	0.0001
-0.004	0.000146	0.0968795	-0.004	0.0	-0.0
-0.004	0.000148	0.10577178	-0.004	-0.0	0.0
-0.004	0.00015	0.10402052	-0.004	-0.0	0.0
