Initial Temperature (K)	0.0249378
Excitation Current (A)	2.468e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.004	-0.0002	0.25860211	-0.004	0.0	0.0001
-0.004	-0.000198	0.06398238	-0.004	0.0	-0.0
-0.004	-0.000196	0.1324941	-0.004	-0.0	-0.0
-0.004	-0.000194	0.11926883	-0.004	0.0	0.0
-0.004	-0.000192	0.09334669	-0.004	-0.0	0.0
-0.004	-0.00019	0.0942525	-0.004	0.0	0.0
-0.004	-0.000188	0.10100106	-0.004	-0.0	0.0
-0.004	-0.000186	0.05863788	-0.004	0.0	0.0
-0.004	-0.000184	0.07628666	-0.004	-0.0	-0.0
-0.004	-0.000182	0.05841151	-0.004	-0.0	0.0
-0.004	-0.00018	0.12627404	-0.004	0.0	-0.0
-0.004	-0.000178	0.0735692	-0.004	0.0	-0.0
-0.004	-0.000176	0.09799652	-0.004	0.0	0.0
-0.004	-0.000174	0.15880873	-0.004	0.0	0.0
-0.004	-0.000172	0.09589819	-0.004	0.0	-0.0
-0.004	-0.00017	0.06801339	-0.004	0.0	-0.0
-0.004	-0.000168	0.04539758	-0.004	-0.0	-0.0
-0.004	-0.000166	0.11739675	-0.004	0.0	-0.0001
-0.004	-0.000164	0.10294855	-0.004	0.0	0.0
-0.004	-0.000162	0.11406026	-0.004	0.0	-0.0
-0.004	-0.00016	0.12515677	-0.004	-0.0	-0.0001
-0.004	-0.000158	0.11529822	-0.004	0.0	0.0001
-0.004	-0.000156	0.1207482	-0.004	0.0	0.0001
-0.004	-0.000154	0.12485473	-0.004	0.0	0.0
-0.004	-0.000152	0.11416587	-0.004	0.0	0.0
-0.004	-0.00015	0.0984798	-0.004	0.0	0.0
-0.004	-0.000148	0.12133701	-0.004	-0.0	0.0
-0.004	-0.000146	0.15630242	-0.004	0.0	-0.0
-0.004	-0.000144	0.09299942	-0.004	0.0	0.0
-0.004	-0.000142	0.10459413	-0.004	0.0	-0.0
-0.004	-0.00014	0.07639243	-0.004	0.0	0.0
-0.004	-0.000138	0.08309564	-0.004	0.0	0.0001
-0.004	-0.000136	-0.00614476	-0.004	-0.0	-0.0
-0.004	-0.000134	0.11200683	-0.004	0.0	0.0
-0.004	-0.000132	0.11504167	-0.004	-0.0	-0.0
-0.004	-0.00013	0.10845914	-0.004	-0.0	0.0
-0.004	-0.000128	0.08673406	-0.004	0.0	-0.0
-0.004	-0.000126	0.10389967	-0.004	-0.0	-0.0
-0.004	-0.000124	0.10287301	-0.004	0.0	-0.0
-0.004	-0.000122	0.09754376	-0.004	0.0	0.0
-0.004	-0.00012	0.12763257	-0.004	0.0	-0.0
-0.004	-0.000118	0.13018398	-0.004	0.0	0.0
-0.004	-0.000116	0.13069753	-0.004	-0.0	-0.0001
-0.004	-0.000114	0.09155008	-0.004	0.0	0.0001
-0.004	-0.000112	0.13497002	-0.004	0.0	-0.0
-0.004	-0.00011	0.09061405	-0.004	0.0	-0.0
-0.004	-0.000108	0.09428273	-0.004	-0.0	0.0
-0.004	-0.000106	0.13773298	-0.004	0.0	-0.0
-0.004	-0.000104	0.12419054	-0.004	0.0	0.0
-0.004	-0.000102	0.09814762	-0.004	-0.0	0.0
-0.004	-0.0001	0.15470216	-0.004	-0.0	-0.0
-0.004	-9.8e-05	0.08854574	-0.004	-0.0	0.0001
-0.004	-9.6e-05	0.10142375	-0.004	-0.0	-0.0001
-0.004	-9.4e-05	0.15417386	-0.004	0.0	0.0
-0.004	-9.2e-05	0.12831223	-0.004	0.0	0.0
-0.004	-9e-05	0.09064428	-0.004	0.0	0.0
-0.004	-8.8e-05	0.11021038	-0.004	0.0	-0.0
-0.004	-8.6e-05	0.10927435	-0.004	-0.0	-0.0
-0.004	-8.4e-05	0.14558358	-0.004	0.0	0.0
-0.004	-8.2e-05	0.09707564	-0.004	-0.0	0.0
-0.004	-8e-05	0.11864983	-0.004	0.0	0.0
-0.004	-7.8e-05	0.12470373	-0.004	0.0	-0.0
-0.004	-7.6e-05	0.11248999	-0.004	0.0	0.0001
-0.004	-7.4e-05	0.07187832	-0.004	0.0	0.0
-0.004	-7.2e-05	0.10793074	-0.004	-0.0	-0.0001
-0.004	-7e-05	0.07678489	-0.004	-0.0	-0.0
-0.004	-6.8e-05	0.07074606	-0.004	0.0	-0.0
-0.004	-6.6e-05	0.10214822	-0.004	-0.0	-0.0
-0.004	-6.4e-05	0.06220098	-0.004	0.0	0.0001
-0.004	-6.2e-05	0.12041617	-0.004	0.0	-0.0
-0.004	-6e-05	0.10036695	-0.004	0.0	-0.0
-0.004	-5.8e-05	0.09500736	-0.004	-0.0	-0.0
-0.004	-5.6e-05	0.09746818	-0.004	-0.0	0.0
-0.004	-5.4e-05	0.12050678	-0.004	0.0	-0.0
-0.004	-5.2e-05	0.09606415	-0.004	0.0	0.0
-0.004	-5e-05	-0.00585769	-0.004	-0.0	-0.0001
-0.004	-4.8e-05	0.09616988	-0.004	0.0	0.0001
-0.004	-4.6e-05	0.05493918	-0.004	-0.0	-0.0
-0.004	-4.4e-05	0.12906708	-0.004	-0.0	0.0001
-0.004	-4.2e-05	0.05246316	-0.004	0.0	0.0
-0.004	-4e-05	0.12308854	-0.004	-0.0	-0.0001
-0.004	-3.8e-05	-0.01248547	-0.004	-0.0	0.0
-0.004	-3.6e-05	0.0593777	-0.004	-0.0	0.0
-0.004	-3.4e-05	0.13576997	-0.004	0.0	-0.0
-0.004	-3.2e-05	0.04704315	-0.004	-0.0	-0.0
-0.004	-3e-05	0.03685252	-0.004	-0.0	0.0
-0.004	-2.8e-05	0.07907977	-0.004	0.0	-0.0
-0.004	-2.6e-05	0.02657108	-0.004	-0.0	0.0
-0.004	-2.4e-05	0.02797534	-0.004	-0.0	0.0
