Initial Temperature (K)	0.0250368
Excitation Current (A)	2e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.006	-0.0002	0.07491598	0.006	0.0	-0.0
0.006	-0.000196	0.0950699	0.006	0.0	-0.0
0.006	-0.000192	0.08700465	0.006	-0.0	0.0
0.006	-0.000188	0.09791975	0.006	0.0	0.0001
0.006	-0.000184	0.10842525	0.006	0.0	0.0
0.006	-0.00018	0.08923985	0.006	0.0	0.0001
0.006	-0.000176	0.090674	0.006	0.0	-0.0
0.006	-0.000172	0.08519785	0.006	0.0	-0.0
0.006	-0.000168	0.0767786	0.006	0.0	0.0
0.006	-0.000164	0.0822921	0.006	0.0	-0.0
0.006	-0.00016	0.08415485	0.006	-0.0	0.0
0.006	-0.000156	0.07879032	0.006	-0.0	0.0001
0.006	-0.000152	0.09212705	0.006	0.0	-0.0
0.006	-0.000148	0.10125395	0.006	0.0	0.0
0.006	-0.000144	0.0995962	0.006	0.0	-0.0
0.006	-0.00014	0.0932818	0.006	0.0	0.0001
0.006	-0.000136	0.0802432	0.006	0.0	0.0
0.006	-0.000132	0.1009931	0.006	0.0	0.0
0.006	-0.000128	0.1061714	0.006	0.0	0.0
0.006	-0.000124	0.09952175	0.006	0.0	-0.0
0.006	-0.00012	0.0935984	0.006	0.0	0.0
0.006	-0.000116	0.08918395	0.006	0.0	-0.0
0.006	-0.000112	0.09179165	0.006	-0.0	0.0001
0.006	-0.000108	0.09985705	0.006	-0.0	0.0
0.006	-0.000104	0.10492345	0.006	-0.0	-0.0
0.006	-0.0001	0.1076243	0.006	0.0	-0.0
0.006	-9.6e-05	0.104495	0.006	0.0	-0.0
0.006	-9.2e-05	0.1072331	0.006	0.0	0.0001
0.006	-8.8e-05	0.10345195	0.006	0.0	-0.0
0.006	-8.4e-05	0.11397595	0.006	-0.0	-0.0
0.006	-8e-05	0.13087015	0.006	-0.0	-0.0
0.006	-7.6e-05	0.1363836	0.006	0.0	0.0001
0.006	-7.2e-05	0.1239411	0.006	0.0	-0.0
0.006	-6.8e-05	0.11688165	0.006	-0.0	-0.0
0.006	-6.4e-05	0.13554545	0.006	0.0	-0.0
0.006	-6e-05	0.14649775	0.006	-0.0	0.0
0.006	-5.6e-05	0.13455825	0.006	0.0	0.0001
0.006	-5.2e-05	0.1300133	0.006	-0.0	-0.0
0.006	-4.8e-05	0.11365935	0.006	0.0	0.0001
0.006	-4.4e-05	0.1233265	0.006	-0.0	-0.0
0.006	-4e-05	0.08160285	0.006	0.0	0.0001
0.006	-3.6e-05	0.0882339	0.006	-0.0	0.0
0.006	-3.2e-05	0.0784177	0.006	0.0	0.0
0.006	-2.8e-05	0.03885495	0.006	-0.0	0.0
0.006	-2.4e-05	0.04487142	0.006	-0.0	-0.0001
0.006	-2e-05	0.0237861	0.006	0.0	0.0001
0.006	-1.6e-05	0.00912703	0.006	0.0	-0.0
0.006	-1.2e-05	-0.00376257	0.006	0.0	0.0
0.006	-8e-06	0.00176952	0.006	-0.0	-0.0
0.006	-4e-06	0.00387431	0.006	0.0	0.0
0.006	-0.0	0.0070222	0.006	0.0	-0.0
0.006	4e-06	0.00035392	0.006	-0.0	-0.0001
0.006	8e-06	-0.00264496	0.006	-0.0	0.0
0.006	1.2e-05	0.03894817	0.006	0.0	0.0
0.006	1.6e-05	0.04248715	0.006	0.0	0.0
0.006	2e-05	0.0410716	0.006	0.0	0.0
0.006	2.4e-05	0.04785165	0.006	0.0	0.0
0.006	2.8e-05	0.06526741	0.006	0.0	0.0001
0.006	3.2e-05	0.0769649	0.006	0.0	-0.0
0.006	3.6e-05	0.09412	0.006	-0.0	0.0
0.006	4e-05	0.08657615	0.006	-0.0	0.0
0.006	4.4e-05	0.09002215	0.006	-0.0	-0.0
0.006	4.8e-05	0.11928455	0.006	0.0	0.0001
0.006	5.2e-05	0.12600865	0.006	-0.0	0.0
0.006	5.6e-05	0.10846255	0.006	0.0	0.0
0.006	6e-05	0.12289805	0.006	-0.0	-0.0
0.006	6.4e-05	0.12055105	0.006	0.0	0.0
0.006	6.8e-05	0.12727525	0.006	0.0	-0.0
0.006	7.2e-05	0.13880495	0.006	0.0	0.0001
0.006	7.6e-05	0.1196569	0.006	0.0	0.0001
0.006	8e-05	0.11619245	0.006	0.0	-0.0
0.006	8.4e-05	0.10928215	0.006	0.0	0.0
0.006	8.8e-05	0.1278526	0.006	-0.0	-0.0001
0.006	9.2e-05	0.11038105	0.006	0.0	-0.0
0.006	9.6e-05	0.0964297	0.006	0.0	0.0
0.006	0.0001	0.09298375	0.006	-0.0	-0.0
0.006	0.000104	0.09197785	0.006	-0.0	-0.0
0.006	0.000108	0.08245985	0.006	-0.0	0.0001
0.006	0.000112	0.09654145	0.006	0.0	0.0
0.006	0.000116	0.0836145	0.006	0.0	-0.0
0.006	0.00012	0.10943105	0.006	-0.0	0.0
0.006	0.000124	0.089035	0.006	0.0	0.0
0.006	0.000128	0.0692907	0.006	-0.0	-0.0
0.006	0.000132	0.0863899	0.006	-0.0	0.0
0.006	0.000136	0.089482	0.006	-0.0	-0.0
0.006	0.00014	0.09412	0.006	-0.0	-0.0
0.006	0.000144	0.0914563	0.006	-0.0	0.0001
0.006	0.000148	0.0905438	0.006	0.0	0.0
0.006	0.000152	0.08685565	0.006	0.0	0.0
0.006	0.000156	0.07284845	0.006	0.0	-0.0
0.006	0.00016	0.0900966	0.006	-0.0	0.0
0.006	0.000164	0.0962248	0.006	-0.0	-0.0
0.006	0.000168	0.1077733	0.006	-0.0	0.0001
0.006	0.000172	0.0883085	0.006	0.0	-0.0
0.006	0.000176	0.10747525	0.006	0.0	0.0
0.006	0.00018	0.08443415	0.006	-0.0	-0.0001
0.006	0.000184	0.0767042	0.006	-0.0	0.0
0.006	0.000188	0.0929465	0.006	0.0	-0.0
0.006	0.000192	0.10237145	0.006	-0.0	0.0
0.006	0.000196	0.08920255	0.006	0.0	0.0
0.006	0.0002	0.09210825	0.006	0.0	0.0
