Initial Temperature (K)	0.0249586
Excitation Current (A)	2.468e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.006	-0.0002	-0.10932006	-0.006	-0.0	0.0
-0.006	-0.000196	0.07230089	-0.006	-0.0	0.0
-0.006	-0.000192	0.07139521	-0.006	0.0	-0.0
-0.006	-0.000188	0.07559224	-0.006	-0.0	-0.0
-0.006	-0.000184	0.07560739	-0.006	0.0	-0.0
-0.006	-0.00018	0.08558663	-0.006	-0.0	0.0001
-0.006	-0.000176	0.08537537	-0.006	0.0	-0.0
-0.006	-0.000172	0.09852503	-0.006	0.0	-0.0
-0.006	-0.000168	0.0698854	-0.006	0.0	-0.0
-0.006	-0.000164	0.08099719	-0.006	0.0	0.0
-0.006	-0.00016	0.08202368	-0.006	0.0	-0.0
-0.006	-0.000156	0.07221044	-0.006	0.0	0.0
-0.006	-0.000152	0.07571313	-0.006	0.0	-0.0
-0.006	-0.000148	0.08357876	-0.006	-0.0	0.0001
-0.006	-0.000144	0.08603964	-0.006	0.0	-0.0
-0.006	-0.00014	0.07054971	-0.006	0.0	-0.0
-0.006	-0.000136	0.08428829	-0.006	0.0	0.0
-0.006	-0.000132	0.07498831	-0.006	0.0	-0.0
-0.006	-0.000128	0.09026686	-0.006	-0.0	0.0001
-0.006	-0.000124	0.07073082	-0.006	0.0	-0.0
-0.006	-0.00012	0.0841071	-0.006	-0.0	0.0001
-0.006	-0.000116	0.07199905	-0.006	0.0	-0.0
-0.006	-0.000112	0.08377507	-0.006	0.0	0.0
-0.006	-0.000108	0.08425818	-0.006	-0.0	-0.0
-0.006	-0.000104	0.08913455	-0.006	0.0	-0.0
-0.006	-0.0001	0.09490169	-0.006	-0.0	0.0
-0.006	-9.6e-05	0.09623039	-0.006	0.0	-0.0
-0.006	-9.2e-05	0.08314099	-0.006	0.0	-0.0
-0.006	-8.8e-05	0.09891764	-0.006	-0.0	0.0
-0.006	-8.4e-05	0.10011029	-0.006	-0.0	-0.0
-0.006	-8e-05	0.10820239	-0.006	0.0	0.0001
-0.006	-7.6e-05	0.12521699	-0.006	0.0	-0.0
-0.006	-7.2e-05	0.09991407	-0.006	0.0	0.0
-0.006	-6.8e-05	0.11076896	-0.006	0.0	0.0
-0.006	-6.4e-05	0.13112002	-0.006	-0.0	-0.0
-0.006	-6e-05	0.12745149	-0.006	0.0	-0.0
-0.006	-5.6e-05	0.09271262	-0.006	0.0	-0.0
-0.006	-5.2e-05	0.1165814	-0.006	0.0	0.0001
-0.006	-4.8e-05	0.08555656	-0.006	0.0	0.0001
-0.006	-4.4e-05	0.09550561	-0.006	0.0	0.0
-0.006	-4e-05	0.08810786	-0.006	0.0	0.0
-0.006	-3.6e-05	0.08178206	-0.006	0.0	-0.0
-0.006	-3.2e-05	0.06189896	-0.006	0.0	-0.0
-0.006	-2.8e-05	0.06340873	-0.006	-0.0	0.0001
-0.006	-2.4e-05	0.03784894	-0.006	0.0	0.0
