Initial Temperature (K)	0.02513
Excitation Current (A)	2e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.1	-0.00012	0.02738569
-0.1	-0.000118	0.10456712
-0.1	-0.000116	0.0968232
-0.1	-0.000114	0.09098378
-0.1	-0.000112	0.1083228
-0.1	-0.00011	0.10043442
-0.1	-0.000108	0.10188728
-0.1	-0.000106	0.10742165
-0.1	-0.000104	0.1004367
-0.1	-0.000102	0.08706977
-0.1	-0.0001	0.09361713
-0.1	-9.8e-05	0.10111662
-0.1	-9.6e-05	0.11093048
-0.1	-9.4e-05	0.09827837
-0.1	-9.2e-05	0.10252988
-0.1	-9e-05	0.10889562
-0.1	-8.8e-05	0.09330968
-0.1	-8.6e-05	0.10612948
-0.1	-8.4e-05	0.10239018
-0.1	-8.2e-05	0.0969326
-0.1	-8e-05	0.09373578
-0.1	-7.8e-05	0.10627385
-0.1	-7.6e-05	0.09832728
-0.1	-7.4e-05	0.09452743
-0.1	-7.2e-05	0.09724698
-0.1	-7e-05	0.07752605
-0.1	-6.8e-05	0.09620145
-0.1	-6.6e-05	0.1018524
-0.1	-6.4e-05	0.09683482
-0.1	-6.2e-05	0.11344043
-0.1	-6e-05	0.09273928
-0.1	-5.8e-05	0.1012121
-0.1	-5.6e-05	0.0924203
-0.1	-5.4e-05	0.10375933
-0.1	-5.2e-05	0.09437608
-0.1	-5e-05	0.09144472
-0.1	-4.8e-05	0.09403387
-0.1	-4.6e-05	0.09493252
-0.1	-4.4e-05	0.09833192
-0.1	-4.2e-05	0.10579888
-0.1	-4e-05	0.1164579
-0.1	-3.8e-05	0.09179858
-0.1	-3.6e-05	0.10875118
-0.1	-3.4e-05	0.09599195
-0.1	-3.2e-05	0.09836455
-0.1	-3e-05	0.10197342
-0.1	-2.8e-05	0.10303985
-0.1	-2.6e-05	0.10493975
-0.1	-2.4e-05	0.10598282
-0.1	-2.2e-05	0.09883958
-0.1	-2e-05	0.09858107
-0.1	-1.8e-05	0.11244852
-0.1	-1.6e-05	0.09790588
-0.1	-1.4e-05	0.10755442
-0.1	-1.2e-05	0.08910948
-0.1	-1e-05	0.08984513
-0.1	-8e-06	0.10445542
-0.1	-6e-06	0.11299572
-0.1	-4e-06	0.11102128
-0.1	-2e-06	0.08496738
-0.1	-0.0	0.0920314
-0.1	2e-06	0.10885825
-0.1	4e-06	0.09885118
-0.1	6e-06	0.11614358
-0.1	8e-06	0.09838085
-0.1	1e-05	0.09756825
-0.1	1.2e-05	0.1014542
-0.1	1.4e-05	0.11922862
-0.1	1.6e-05	0.09971968
-0.1	1.8e-05	0.1050165
-0.1	2e-05	0.09707468
-0.1	2.2e-05	0.10436
-0.1	2.4e-05	0.09085568
-0.1	2.6e-05	0.10070682
-0.1	2.8e-05	0.10682333
-0.1	3e-05	0.10783153
-0.1	3.2e-05	0.10196645
-0.1	3.4e-05	0.09925855
-0.1	3.6e-05	0.10757998
-0.1	3.8e-05	0.09682312
-0.1	4e-05	0.0924878
-0.1	4.2e-05	0.10363812
-0.1	4.4e-05	0.10938913
-0.1	4.6e-05	0.11039498
-0.1	4.8e-05	0.09971492
-0.1	5e-05	0.10587802
-0.1	5.2e-05	0.10692115
-0.1	5.4e-05	0.0938267
-0.1	5.6e-05	0.10162652
-0.1	5.8e-05	0.10212248
-0.1	6e-05	0.0909349
-0.1	6.2e-05	0.10247873
-0.1	6.4e-05	0.1077523
-0.1	6.6e-05	0.09929118
-0.1	6.8e-05	0.09798502
-0.1	7e-05	0.09724698
-0.1	7.2e-05	0.09360075
-0.1	7.4e-05	0.10782218
-0.1	7.6e-05	0.09683485
-0.1	7.8e-05	0.11131463
-0.1	8e-05	0.11024838
-0.1	8.2e-05	0.10897232
-0.1	8.4e-05	0.10305145
-0.1	8.6e-05	0.09732383
-0.1	8.8e-05	0.09940302
-0.1	9e-05	0.10586413
-0.1	9.2e-05	0.09777775
-0.1	9.4e-05	0.10157298
-0.1	9.6e-05	0.10432498
-0.1	9.8e-05	0.09807348
-0.1	0.0001	0.10429943
-0.1	0.000102	0.10303515
-0.1	0.000104	0.10109335
-0.1	0.000106	0.09983608
-0.1	0.000108	0.10596422
-0.1	0.00011	0.11237172
-0.1	0.000112	0.09255298
-0.1	0.000114	0.0923016
-0.1	0.000116	0.10025755
-0.1	0.000118	0.10725875
-0.1	0.00012	0.10195483
-0.09	-0.00012	0.00887085
-0.09	-0.000118	0.10667428
-0.09	-0.000116	0.0985904
-0.09	-0.000114	0.10751713
-0.09	-0.000112	0.10644622
-0.09	-0.00011	0.0988721
-0.09	-0.000108	0.09829708
-0.09	-0.000106	0.0994868
-0.09	-0.000104	0.10424118
-0.09	-0.000102	0.10327968
-0.09	-0.0001	0.10669995
-0.09	-9.8e-05	0.10096535
-0.09	-9.6e-05	0.1044834
-0.09	-9.4e-05	0.1127233
-0.09	-9.2e-05	0.09554025
-0.09	-9e-05	0.09198022
-0.09	-8.8e-05	0.09307225
-0.09	-8.6e-05	0.11096073
-0.09	-8.4e-05	0.11922388
-0.09	-8.2e-05	0.09717245
-0.09	-8e-05	0.09958682
-0.09	-7.8e-05	0.09693258
-0.09	-7.6e-05	0.10391292
-0.09	-7.4e-05	0.10406423
-0.09	-7.2e-05	0.10084648
-0.09	-7e-05	0.09510485
-0.09	-6.8e-05	0.09462982
-0.09	-6.6e-05	0.10277207
-0.09	-6.4e-05	0.099517
-0.09	-6.2e-05	0.08863208
-0.09	-6e-05	0.1020201
-0.09	-5.8e-05	0.10566622
-0.09	-5.6e-05	0.11025057
-0.09	-5.4e-05	0.10432038
-0.09	-5.2e-05	0.11046723
-0.09	-5e-05	0.09764512
-0.09	-4.8e-05	0.09794535
-0.09	-4.6e-05	0.1006649
-0.09	-4.4e-05	0.09233188
-0.09	-4.2e-05	0.1166046
-0.09	-4e-05	0.09796878
-0.09	-3.8e-05	0.09417348
-0.09	-3.6e-05	0.11403652
-0.09	-3.4e-05	0.1036312
-0.09	-3.2e-05	0.10165682
-0.09	-3e-05	0.10291875
-0.09	-2.8e-05	0.10672552
-0.09	-2.6e-05	0.10068585
-0.09	-2.4e-05	0.09515608
-0.09	-2.2e-05	0.10065327
-0.09	-2e-05	0.10365682
-0.09	-1.8e-05	0.10641355
-0.09	-1.6e-05	0.09348668
-0.09	-1.4e-05	0.10036455
-0.09	-1.2e-05	0.100502
-0.09	-1e-05	0.109005
-0.09	-8e-06	0.09643665
-0.09	-6e-06	0.10360795
-0.09	-4e-06	0.10769415
-0.09	-2e-06	0.10330058
-0.09	-0.0	0.08993368
-0.09	2e-06	0.1001224
-0.09	4e-06	0.10335412
-0.09	6e-06	0.10351478
-0.09	8e-06	0.1039944
-0.09	1e-05	0.10890952
-0.09	1.2e-05	0.10232735
-0.09	1.4e-05	0.10186875
-0.09	1.6e-05	0.10303282
-0.09	1.8e-05	0.09926795
-0.09	2e-05	0.09874638
-0.09	2.2e-05	0.09920038
-0.09	2.4e-05	0.09070202
-0.09	2.6e-05	0.10644148
-0.09	2.8e-05	0.10062075
-0.09	3e-05	0.09733308
-0.09	3.2e-05	0.10731698
-0.09	3.4e-05	0.0989792
-0.09	3.6e-05	0.09959393
-0.09	3.8e-05	0.10550082
-0.09	4e-05	0.0926415
-0.09	4.2e-05	0.0992749
-0.09	4.4e-05	0.10075802
-0.09	4.6e-05	0.10068815
-0.09	4.8e-05	0.09860198
-0.09	5e-05	0.1064625
-0.09	5.2e-05	0.09718408
-0.09	5.4e-05	0.0976101
-0.09	5.6e-05	0.089284
-0.09	5.8e-05	0.09410375
-0.09	6e-05	0.10628778
-0.09	6.2e-05	0.09350065
-0.09	6.4e-05	0.09748673
-0.09	6.6e-05	0.08804072
-0.09	6.8e-05	0.09220848
-0.09	7e-05	0.11131003
-0.09	7.2e-05	0.10246008
-0.09	7.4e-05	0.10765685
-0.09	7.6e-05	0.09519565
-0.09	7.8e-05	0.10388265
-0.09	8e-05	0.1111075
-0.09	8.2e-05	0.0982528
-0.09	8.4e-05	0.10320512
-0.09	8.6e-05	0.10858585
-0.09	8.8e-05	0.10844383
-0.09	9e-05	0.10352412
-0.09	9.2e-05	0.09966608
-0.09	9.4e-05	0.10048095
-0.09	9.6e-05	0.1075847
-0.09	9.8e-05	0.0965857
-0.09	0.0001	0.1023879
-0.09	0.000102	0.10552878
-0.09	0.000104	0.10491645
-0.09	0.000106	0.09888613
-0.09	0.000108	0.10902588
-0.09	0.00011	0.10311665
-0.09	0.000112	0.09906305
-0.09	0.000114	0.10546592
-0.09	0.000116	0.09511888
-0.09	0.000118	0.1000013
-0.09	0.00012	0.0996451
-0.08	-0.00012	0.0890792
-0.08	-0.000118	0.10309102
-0.08	-0.000116	0.1011073
-0.08	-0.000114	0.09045052
-0.08	-0.000112	0.09604323
-0.08	-0.00011	0.09477895
-0.08	-0.000108	0.09283708
-0.08	-0.000106	0.10110032
-0.08	-0.000104	0.09919335
-0.08	-0.000102	0.1001946
-0.08	-0.0001	0.10934952
-0.08	-9.8e-05	0.1029164
-0.08	-9.6e-05	0.08899062
-0.08	-9.4e-05	0.10189662
-0.08	-9.2e-05	0.0927766
-0.08	-9e-05	0.09687678
-0.08	-8.8e-05	0.09971268
-0.08	-8.6e-05	0.0933097
-0.08	-8.4e-05	0.09711425
-0.08	-8.2e-05	0.103119
-0.08	-8e-05	0.10431818
-0.08	-7.8e-05	0.09253683
-0.08	-7.6e-05	0.10246708
-0.08	-7.4e-05	0.10792233
-0.08	-7.2e-05	0.0973261
-0.08	-7e-05	0.10089313
-0.08	-6.8e-05	0.0898149
-0.08	-6.6e-05	0.0991934
-0.08	-6.4e-05	0.0918569
-0.08	-6.2e-05	0.08476245
-0.08	-6e-05	0.111168
-0.08	-5.8e-05	0.1025881
-0.08	-5.6e-05	0.09076255
-0.08	-5.4e-05	0.10398045
-0.08	-5.2e-05	0.08171007
-0.08	-5e-05	0.09605017
-0.08	-4.8e-05	0.08534922
-0.08	-4.6e-05	0.09800358
-0.08	-4.4e-05	0.09656935
-0.08	-4.2e-05	0.10103053
-0.08	-4e-05	0.08206385
-0.08	-3.8e-05	0.09856945
