Initial Temperature (K)	0.0250387
Excitation Current (A)	1.082761038961039e-12
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)
-0.04	-0.0002	-0.07358644
-0.04	-0.000198	0.11171863
-0.04	-0.000196	0.09302222
-0.04	-0.000194	0.10758009
-0.04	-0.000192	0.10255675
-0.04	-0.00019	0.09635166
-0.04	-0.000188	0.10718422
-0.04	-0.000186	0.09408147
-0.04	-0.000184	0.09191041
-0.04	-0.000182	0.1052925
-0.04	-0.00018	0.09331328
-0.04	-0.000178	0.08324906
-0.04	-0.000176	0.09783022
-0.04	-0.000174	0.10737625
-0.04	-0.000172	0.09578131
-0.04	-0.00017	0.09294659
-0.04	-0.000168	0.093808
-0.04	-0.000166	0.09816781
-0.04	-0.000164	0.09940178
-0.04	-0.000162	0.09802809
-0.04	-0.00016	0.10607247
-0.04	-0.000158	0.09259728
-0.04	-0.000156	0.10086866
-0.04	-0.000154	0.09916322
-0.04	-0.000152	0.09719575
-0.04	-0.00015	0.09672419
-0.04	-0.000148	0.08905241
-0.04	-0.000146	0.09521663
-0.04	-0.000144	0.09322012
-0.04	-0.000142	0.10373828
-0.04	-0.00014	0.09677659
-0.04	-0.000138	0.10210844
-0.04	-0.000136	0.09894206
-0.04	-0.000134	0.09630525
-0.04	-0.000132	0.08755631
-0.04	-0.00013	0.10291172
-0.04	-0.000128	0.0923295
-0.04	-0.000126	0.10191053
-0.04	-0.000124	0.08377869
-0.04	-0.000122	0.10209103
-0.04	-0.00012	0.10014106
-0.04	-0.000118	0.09396512
-0.04	-0.000116	0.10913416
-0.04	-0.000114	0.10582209
-0.04	-0.000112	0.09422131
-0.04	-0.00011	0.10167191
-0.04	-0.000108	0.09127591
-0.04	-0.000106	0.09532728
-0.04	-0.000104	0.09687559
-0.04	-0.000102	0.1004845
-0.04	-0.0001	0.08291141
-0.04	-9.8e-05	0.09475675
-0.04	-9.6e-05	0.09841803
-0.04	-9.4e-05	0.10351138
-0.04	-9.2e-05	0.0774865
-0.04	-9e-05	0.09409328
-0.04	-8.8e-05	0.09771381
-0.04	-8.6e-05	0.10040884
-0.04	-8.4e-05	0.10702694
-0.04	-8.2e-05	0.08597316
-0.04	-8e-05	0.09040866
-0.04	-7.8e-05	0.09953566
-0.04	-7.6e-05	0.10062419
-0.04	-7.4e-05	0.09540291
-0.04	-7.2e-05	0.09947162
-0.04	-7e-05	0.09907588
-0.04	-6.8e-05	0.10501303
-0.04	-6.6e-05	0.10075225
-0.04	-6.4e-05	0.12742894
-0.04	-6.2e-05	0.09220141
-0.04	-6e-05	0.09521659
-0.04	-5.8e-05	0.09175913
-0.04	-5.6e-05	0.10462309
-0.04	-5.4e-05	0.1035695
-0.04	-5.2e-05	0.09579869
-0.04	-5e-05	0.097708
-0.04	-4.8e-05	0.09932619
-0.04	-4.6e-05	0.09124688
-0.04	-4.4e-05	0.10483841
-0.04	-4.2e-05	0.10128778
-0.04	-4e-05	0.10008869
-0.04	-3.8e-05	0.10040869
-0.04	-3.6e-05	0.1042855
-0.04	-3.4e-05	0.091922
-0.04	-3.2e-05	0.10342975
-0.04	-3e-05	0.10724241
-0.04	-2.8e-05	0.11367441
-0.04	-2.6e-05	0.10446594
-0.04	-2.4e-05	0.10361028
-0.04	-2.2e-05	0.09082775
-0.04	-2e-05	0.10538556
-0.04	-1.8e-05	0.09602
-0.04	-1.6e-05	0.09649138
-0.04	-1.4e-05	0.09776612
-0.04	-1.2e-05	0.09251
-0.04	-1e-05	0.10811556
-0.04	-8e-06	0.10030981
-0.04	-6e-06	0.09088006
-0.04	-4e-06	0.10752181
-0.04	-2e-06	0.09333069
-0.04	-0.0	0.10045531
-0.04	2e-06	0.09601988
-0.04	4e-06	0.10100259
-0.04	6e-06	0.10193972
-0.04	8e-06	0.10675928
-0.04	1e-05	0.10785369
-0.04	1.2e-05	0.11220181
-0.04	1.4e-05	0.10215506
-0.04	1.6e-05	0.10804569
-0.04	1.8e-05	0.10604331
-0.04	2e-05	0.10023419
-0.04	2.2e-05	0.10169522
-0.04	2.4e-05	0.08642141
-0.04	2.6e-05	0.09101391
-0.04	2.8e-05	0.10977453
-0.04	3e-05	0.10785947
-0.04	3.2e-05	0.09989081
-0.04	3.4e-05	0.10227141
-0.04	3.6e-05	0.11355222
-0.04	3.8e-05	0.10287681
-0.04	4e-05	0.10460556
-0.04	4.2e-05	0.10014694
-0.04	4.4e-05	0.08901166
-0.04	4.6e-05	0.10390138
-0.04	4.8e-05	0.10277788
-0.04	5e-05	0.10193384
-0.04	5.2e-05	0.08298131
-0.04	5.4e-05	0.10121212
-0.04	5.6e-05	0.09908166
-0.04	5.8e-05	0.10987928
-0.04	6e-05	0.11774894
-0.04	6.2e-05	0.09416897
-0.04	6.4e-05	0.09682319
-0.04	6.6e-05	0.10728903
-0.04	6.8e-05	0.10302825
-0.04	7e-05	0.09908172
-0.04	7.2e-05	0.10779544
-0.04	7.4e-05	0.11542647
-0.04	7.6e-05	0.10913416
-0.04	7.8e-05	0.10188728
-0.04	8e-05	0.08880212
-0.04	8.2e-05	0.09716084
-0.04	8.4e-05	0.09384878
-0.04	8.6e-05	0.11671288
-0.04	8.8e-05	0.09828428
-0.04	9e-05	0.10209684
-0.04	9.2e-05	0.09728881
-0.04	9.4e-05	0.10241119
-0.04	9.6e-05	0.10005959
-0.04	9.8e-05	0.10459978
-0.04	0.0001	0.10870928
-0.04	0.000102	0.11015866
-0.04	0.000104	0.10408756
-0.04	0.000106	0.10193384
-0.04	0.000108	0.11480369
-0.04	0.00011	0.09374975
-0.04	0.000112	0.11628794
-0.04	0.000114	0.09489656
-0.04	0.000116	0.09492556
-0.04	0.000118	0.1046755
-0.04	0.00012	0.10799338
-0.04	0.000122	0.10543216
-0.04	0.000124	0.08852266
-0.04	0.000126	0.10275456
-0.04	0.000128	0.11162556
-0.04	0.00013	0.10041472
-0.04	0.000132	0.09773709
-0.04	0.000134	0.10510041
-0.04	0.000136	0.11319716
-0.04	0.000138	0.094361
-0.04	0.00014	0.09267875
-0.04	0.000142	0.10472775
-0.04	0.000144	0.08620016
-0.04	0.000146	0.09436684
-0.04	0.000148	0.10417497
-0.04	0.00015	0.10149728
-0.04	0.000152	0.10221325
-0.04	0.000154	0.10273128
-0.04	0.000156	0.10930887
-0.04	0.000158	0.10181162
-0.04	0.00016	0.10776638
-0.04	0.000162	0.09887212
-0.04	0.000164	0.09444834
-0.04	0.000166	0.101148
-0.04	0.000168	0.10168941
-0.04	0.00017	0.09900012
-0.04	0.000172	0.09096741
-0.04	0.000174	0.10393628
-0.04	0.000176	0.10586878
-0.04	0.000178	0.09090344
-0.04	0.00018	0.09490234
-0.04	0.000182	0.08278916
-0.04	0.000184	0.10498975
-0.04	0.000186	0.11135188
-0.04	0.000188	0.10299909
-0.04	0.00019	0.09225388
-0.04	0.000192	0.10443675
-0.04	0.000194	0.10656147
-0.04	0.000196	0.10715509
-0.04	0.000198	0.09461706
-0.04	0.0002	0.09170084
-0.0396	0.0002	0.09209087
-0.0396	0.000198	0.10337734
-0.0396	0.000196	0.10771391
-0.0396	0.000194	0.11016441
-0.0396	0.000192	0.09768466
