Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.0249877
Excitation Current (A)	2e-07
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	104
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.4	-0.03	0.10350158	-0.03	0.0968	-0.3881
-0.4	-0.0296	0.02663596	-0.0296	0.0968	-0.3881
-0.4	-0.0292	0.06804896	-0.0292	0.0968	-0.3881
-0.4	-0.0288	0.02980247	-0.0288	0.0968	-0.3881
-0.4	-0.0284	0.04189422	-0.0284	0.0968	-0.3881
-0.4	-0.028	0.07861954	-0.028	0.0968	-0.3881
-0.4	-0.0276	0.01153292	-0.0276	0.0968	-0.3881
-0.4	-0.0272	0.02319013	-0.0272	0.0968	-0.3881
-0.4	-0.0268	0.06997375	-0.0268	0.0968	-0.3881
-0.4	-0.0264	0.04166146	-0.0264	0.0968	-0.3881
-0.4	-0.026	0.0198993	-0.026	0.0968	-0.3881
-0.4	-0.0256	0.00024834	-0.0256	0.0968	-0.3881
-0.4	-0.0252	0.05203025	-0.0252	0.0968	-0.3881
-0.4	-0.0248	0.07753304	-0.0248	0.0968	-0.3881
-0.4	-0.0244	-0.01255739	-0.0244	0.0968	-0.3881
-0.4	-0.024	0.04842908	-0.024	0.0968	-0.3881
-0.4	-0.0236	0.06747468	-0.0236	0.0968	-0.3881
-0.4	-0.0232	0.01861103	-0.0232	0.0968	-0.3881
-0.4	-0.0228	0.0350179	-0.0228	0.0968	-0.3881
-0.4	-0.0224	0.00448589	-0.0224	0.0968	-0.3881
-0.4	-0.022	-0.00681422	-0.022	0.0968	-0.3881
-0.4	-0.0216	0.05941873	-0.0216	0.0968	-0.3881
-0.4	-0.0212	0.0078853	-0.0212	0.0968	-0.3881
-0.4	-0.0208	0.01114492	-0.0208	0.0968	-0.3881
-0.4	-0.0204	-0.00676765	-0.0204	0.0968	-0.3881
-0.4	-0.02	0.06007054	-0.02	0.0968	-0.3881
-0.4	-0.0196	-0.00274742	-0.0196	0.0968	-0.3881
-0.4	-0.0192	-0.01463737	-0.0192	0.0968	-0.3881
-0.4	-0.0188	0.00895626	-0.0188	0.0968	-0.3881
-0.4	-0.0184	0.00383398	-0.0184	0.0968	-0.3881
-0.4	-0.018	0.01350423	-0.018	0.0968	-0.3881
-0.4	-0.0176	0.00105554	-0.0176	0.0968	-0.3881
-0.4	-0.0172	0.00530856	-0.0172	0.0968	-0.3881
-0.4	-0.0168	0.00544825	-0.0168	0.0968	-0.3881
-0.4	-0.0164	-0.01609641	-0.0164	0.0968	-0.3881
-0.4	-0.016	0.01426483	-0.016	0.0968	-0.3881
-0.4	-0.0156	0.0136129	-0.0156	0.0968	-0.3881
-0.4	-0.0152	-0.00732643	-0.0152	0.0968	-0.3881
-0.4	-0.0148	0.00077609	-0.0148	0.0968	-0.3881
-0.4	-0.0144	0.00434619	-0.0144	0.0968	-0.3881
-0.4	-0.014	0.00583634	-0.014	0.0968	-0.3881
-0.4	-0.0136	0.01376813	-0.0136	0.0968	-0.3881
-0.4	-0.0132	-0.01524272	-0.0132	0.0968	-0.3881
-0.4	-0.0128	0.00122625	-0.0128	0.0968	-0.3881
-0.4	-0.0124	-0.00901837	-0.0124	0.0968	-0.3881
-0.4	-0.012	-0.0068608	-0.012	0.0968	-0.3881
-0.4	-0.0116	0.00650379	-0.0116	0.0968	-0.3881
-0.4	-0.0112	-0.01074133	-0.0112	0.0968	-0.3881
-0.4	-0.0108	0.0016143	-0.0108	0.0968	-0.3881
-0.4	-0.0104	0.01094312	-0.0104	0.0968	-0.3881
-0.4	-0.01	0.01687258	-0.01	0.0968	-0.3881
-0.4	-0.0096	0.00192475	-0.0096	0.0968	-0.3881
-0.4	-0.0092	0.00293368	-0.0092	0.0968	-0.3881
-0.4	-0.0088	-0.0534428	-0.0088	0.0968	-0.3881
-0.4	-0.0084	-0.03657012	-0.0084	0.0968	-0.3881
-0.4	-0.008	0.01383021	-0.008	0.0968	-0.3881
-0.4	-0.0076	0.00572768	-0.0076	0.0968	-0.3881
-0.4	-0.0072	-0.00310442	-0.0072	0.0968	-0.3881
-0.4	-0.0068	-0.00240591	-0.0068	0.0968	-0.3881
-0.4	-0.0064	-0.00268532	-0.0064	0.0968	-0.3881
-0.4	-0.006	-0.00552583	-0.006	0.0968	-0.3881
-0.4	-0.0056	-0.0057742	-0.0056	0.0968	-0.3881
-0.4	-0.0052	0.00330621	-0.0052	0.0968	-0.3881
-0.4	-0.0048	0.00474979	-0.0048	0.0968	-0.3881
-0.4	-0.0044	-0.00897178	-0.0044	0.0968	-0.3881
-0.4	-0.004	0.0102291	-0.004	0.0968	-0.3881
-0.4	-0.0036	0.01075685	-0.0036	0.0968	-0.3881
-0.4	-0.0032	-0.01626716	-0.0032	0.0968	-0.3881
-0.4	-0.0028	-0.00302682	-0.0028	0.0968	-0.3881
-0.4	-0.0024	-0.01654658	-0.0024	0.0968	-0.3881
-0.4	-0.002	-0.0004191	-0.002	0.0968	-0.3881
-0.4	-0.0016	0.001397	-0.0016	0.0968	-0.3881
-0.4	-0.0012	0.00207995	-0.0012	0.0968	-0.3881
-0.4	-0.0008	0.01440451	-0.0008	0.0968	-0.3881
-0.4	-0.0004	-0.00043462	-0.0004	0.0968	-0.3881
-0.4	0.0	-0.00090028	0.0	0.0968	-0.3881
-0.4	0.0004	-0.00214206	0.0004	0.0968	-0.3881
-0.4	0.0008	0.01285233	0.0008	0.0968	-0.3881
-0.4	0.0012	-0.01182786	0.0012	0.0968	-0.3881
-0.4	0.0016	0.00510678	0.0016	0.0968	-0.3881
-0.4	0.002	0.00391155	0.002	0.0968	-0.3881
-0.4	0.0024	0.00949954	0.0024	0.0968	-0.3881
-0.4	0.0028	0.01061715	0.0028	0.0968	-0.3881
-0.4	0.0032	-0.01316279	0.0032	0.0968	-0.3881
-0.4	0.0036	0.00498262	0.0036	0.0968	-0.3881
-0.4	0.004	0.00478082	0.004	0.0968	-0.3881
-0.4	0.0044	0.00883208	0.0044	0.0968	-0.3881
-0.4	0.0048	0.01237113	0.0048	0.0968	-0.3881
-0.4	0.0052	-0.00335277	0.0052	0.0968	-0.3881
-0.4	0.0056	-0.00651932	0.0056	0.0968	-0.3881
-0.4	0.006	0.00644168	0.006	0.0968	-0.3881
-0.4	0.0064	-0.00655032	0.0064	0.0968	-0.3881
-0.4	0.0068	-0.00656582	0.0068	0.0968	-0.3881
-0.4	0.0072	-0.00423753	0.0072	0.0968	-0.3881
-0.4	0.0076	0.01690365	0.0076	0.0968	-0.3881
-0.4	0.008	0.01097414	0.008	0.0968	-0.3881
-0.4	0.0084	0.02789329	0.0084	0.0968	-0.3881
-0.4	0.0088	-0.00287161	0.0088	0.0968	-0.3881
-0.4	0.0092	0.00549483	0.0092	0.0968	-0.3881
-0.4	0.0096	-0.01039981	0.0096	0.0968	-0.3881
-0.4	0.01	0.00237487	0.01	0.0968	-0.3881
-0.4	0.0104	0.00586736	0.0104	0.0968	-0.3881
-0.4	0.0108	0.00695393	0.0108	0.0968	-0.3881
-0.4	0.0112	0.01741586	0.0112	0.0968	-0.3881
-0.4	0.0116	0.02056687	0.0116	0.0968	-0.3881
-0.4	0.012	0.01306966	0.012	0.0968	-0.3881
-0.4	0.0124	0.01943373	0.0124	0.0968	-0.3881
-0.4	0.0128	0.01618958	0.0128	0.0968	-0.3881
-0.4	0.0132	0.02256915	0.0132	0.0968	-0.3881
-0.4	0.0136	0.00937534	0.0136	0.0968	-0.3881
-0.4	0.014	0.03293796	0.014	0.0968	-0.3881
-0.4	0.0144	0.02505273	0.0144	0.0968	-0.3881
-0.4	0.0148	-0.00069849	0.0148	0.0968	-0.3881
-0.4	0.0152	0.00409786	0.0152	0.0968	-0.3881
-0.4	0.0156	0.01238664	0.0156	0.0968	-0.3881
-0.4	0.016	0.01187442	0.016	0.0968	-0.3881
-0.4	0.0164	0.01831613	0.0164	0.0968	-0.3881
-0.4	0.0168	0.01218486	0.0168	0.0968	-0.3881
-0.4	0.0172	0.01929398	0.0172	0.0968	-0.3881
-0.4	0.0176	0.02866941	0.0176	0.0968	-0.3881
-0.4	0.018	0.07115342	0.018	0.0968	-0.3881
-0.4	0.0184	0.0472959	0.0184	0.0968	-0.3881
-0.4	0.0188	0.0372531	0.0188	0.0968	-0.3881
-0.4	0.0192	0.020334	0.0192	0.0968	-0.3881
-0.4	0.0196	0.02393514	0.0196	0.0968	-0.3881
-0.4	0.02	0.06672967	0.02	0.0968	-0.3881
-0.4	0.0204	0.06440129	0.0204	0.0968	-0.3881
-0.4	0.0208	0.05411013	0.0208	0.0968	-0.3881
-0.4	0.0212	0.06804904	0.0212	0.0968	-0.3881
-0.4	0.0216	0.0539705	0.0216	0.0968	-0.3881
-0.4	0.022	0.05209229	0.022	0.0968	-0.3881
-0.4	0.0224	0.01584807	0.0224	0.0968	-0.3881
-0.4	0.0228	0.07168112	0.0228	0.0968	-0.3881
-0.4	0.0232	0.03684954	0.0232	0.0968	-0.3881
-0.4	0.0236	0.05763367	0.0236	0.0968	-0.3881
-0.4	0.024	0.07866621	0.024	0.0968	-0.3881
-0.4	0.0244	0.05201467	0.0244	0.0968	-0.3881
-0.4	0.0248	0.04450196	0.0248	0.0968	-0.3881
-0.4	0.0252	0.03157203	0.0252	0.0968	-0.3881
-0.4	0.0256	0.08124283	0.0256	0.0968	-0.3881
-0.4	0.026	0.06778508	0.026	0.0968	-0.3881
-0.4	0.0264	0.085558	0.0264	0.0968	-0.3881
-0.4	0.0268	0.09786713	0.0268	0.0968	-0.3881
-0.4	0.0272	0.06182458	0.0272	0.0968	-0.3881
-0.4	0.0276	0.07981475	0.0276	0.0968	-0.3881
-0.4	0.028	0.064246	0.028	0.0968	-0.3881
-0.4	0.0284	0.0654723	0.0284	0.0968	-0.3881
-0.4	0.0288	0.084161	0.0288	0.0968	-0.3881
-0.4	0.0292	0.076462	0.0292	0.0968	-0.3881
-0.4	0.0296	0.06668304	0.0296	0.0968	-0.3881
-0.4	0.03	0.06359412	0.03	0.0968	-0.3881
-0.392	-0.03	0.07835575	-0.03	0.0948	-0.3804
-0.392	-0.0296	0.02851413	-0.0296	0.0948	-0.3803
-0.392	-0.0292	0.02429212	-0.0292	0.0948	-0.3804
-0.392	-0.0288	0.08838296	-0.0288	0.0948	-0.3803
-0.392	-0.0284	0.03247229	-0.0284	0.0948	-0.3803
-0.392	-0.028	0.03174275	-0.028	0.0948	-0.3804
-0.392	-0.0276	0.04763739	-0.0276	0.0948	-0.3803
-0.392	-0.0272	0.04223571	-0.0272	0.0948	-0.3803
-0.392	-0.0268	0.02672909	-0.0268	0.0948	-0.3804
-0.392	-0.0264	0.03515764	-0.0264	0.0948	-0.3803
-0.392	-0.026	-0.00133492	-0.026	0.0948	-0.3804
-0.392	-0.0256	0.03824653	-0.0256	0.0948	-0.3803
-0.392	-0.0252	0.03927101	-0.0252	0.0948	-0.3804
-0.392	-0.0248	0.00325966	-0.0248	0.0948	-0.3803
