Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.0249566
Excitation Current (A)	1.34352987012987e-12
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	14
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.5	-0.05	16720.99568443	-0.05	-0.4851	-0.121
-0.5	-0.0495	17936.48077413	-0.0495	-0.4851	-0.121
-0.5	-0.049	18225.42589972	-0.049	-0.4851	-0.121
-0.5	-0.0485	15986.24990016	-0.0485	-0.4851	-0.121
-0.5	-0.048	13269.73464945	-0.0485	-0.4851	-0.121
-0.5	-0.0475	11088.52156741	-0.0475	-0.4851	-0.121
-0.5	-0.047	11319.52665605	-0.047	-0.4851	-0.121
-0.5	-0.0465	13926.91984118	-0.0465	-0.4851	-0.121
-0.5	-0.046	14184.33552654	-0.046	-0.4851	-0.121
-0.5	-0.0455	17257.98918563	-0.046	-0.4851	-0.121
-0.5	-0.045	16081.73056351	-0.046	-0.4851	-0.121
-0.5	-0.0445	13476.88169896	-0.0445	-0.4851	-0.121
-0.5	-0.044	15947.89747075	-0.044	-0.4851	-0.121
-0.5	-0.0435	15663.19898094	-0.044	-0.4851	-0.121
-0.5	-0.043	14694.90195701	-0.043	-0.4852	-0.121
-0.5	-0.0425	16149.91011795	-0.0425	-0.4851	-0.1209
-0.5	-0.042	12339.79920716	-0.042	-0.4851	-0.121
-0.5	-0.0415	16275.2087541	-0.0415	-0.4851	-0.121
-0.5	-0.041	18003.81374708	-0.0415	-0.4851	-0.121
-0.5	-0.0405	10802.11893195	-0.0415	-0.4851	-0.121
-0.5	-0.04	12254.55989173	-0.04	-0.4851	-0.121
-0.5	-0.0395	16776.4032987	-0.0395	-0.4851	-0.121
-0.5	-0.039	17429.32355019	-0.039	-0.4851	-0.121
-0.5	-0.0385	13734.28823208	-0.0385	-0.4851	-0.1209
-0.5	-0.038	13125.68308934	-0.038	-0.4851	-0.121
-0.5	-0.0375	12323.61806047	-0.0375	-0.4851	-0.121
-0.5	-0.037	18686.57485195	-0.0375	-0.4851	-0.121
-0.5	-0.0365	9360.76132547	-0.0365	-0.4851	-0.121
-0.5	-0.036	12812.01320822	-0.0365	-0.4851	-0.121
-0.5	-0.0355	12951.79067585	-0.0355	-0.4851	-0.121
-0.5	-0.035	12462.53064215	-0.035	-0.4851	-0.121
-0.5	-0.0345	14383.79012481	-0.035	-0.4851	-0.121
