Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.025007
Excitation Current (A)	2e-07
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	14
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.2	-0.03	0.05895303	-0.03	-0.1941	-0.0484
-0.2	-0.02975	0.08979865	-0.0297	-0.1941	-0.0484
-0.2	-0.0295	0.102977	-0.0295	-0.1941	-0.0484
-0.2	-0.02925	0.0991211	-0.0293	-0.1941	-0.0484
-0.2	-0.029	0.10819225	-0.029	-0.1941	-0.0484
-0.2	-0.02875	0.0795074	-0.0287	-0.1941	-0.0484
-0.2	-0.0285	0.1092168	-0.0285	-0.1941	-0.0484
-0.2	-0.02825	0.11273725	-0.0283	-0.1941	-0.0484
-0.2	-0.028	0.1090399	-0.028	-0.1941	-0.0484
-0.2	-0.02775	0.09146555	-0.0278	-0.1941	-0.0484
-0.2	-0.0275	0.1129888	-0.0275	-0.1941	-0.0484
-0.2	-0.02725	0.0944367	-0.0272	-0.1941	-0.0484
-0.2	-0.027	0.10728905	-0.027	-0.1941	-0.0484
-0.2	-0.02675	0.0925088	-0.0268	-0.1941	-0.0484
-0.2	-0.0265	0.0982737	-0.0265	-0.1941	-0.0484
-0.2	-0.02625	0.0957125	-0.0263	-0.1941	-0.0484
-0.2	-0.026	0.1110609	-0.026	-0.1941	-0.0484
-0.2	-0.02575	0.0967184	-0.0258	-0.1941	-0.0484
-0.2	-0.0255	0.09878585	-0.0255	-0.1941	-0.0484
-0.2	-0.02525	0.1298178	-0.0253	-0.1941	-0.0484
-0.2	-0.025	0.10382445	-0.025	-0.1941	-0.0484
-0.2	-0.02475	0.1057895	-0.0248	-0.1941	-0.0484
-0.2	-0.0245	0.10717725	-0.0245	-0.1941	-0.0484
-0.2	-0.02425	0.0892771	-0.0243	-0.1941	-0.0484
-0.2	-0.024	0.08945405	-0.024	-0.1941	-0.0484
-0.2	-0.02375	0.0917265	-0.0238	-0.1941	-0.0484
-0.2	-0.0235	0.1090305	-0.0235	-0.1941	-0.0484
-0.2	-0.02325	0.09520955	-0.0232	-0.1941	-0.0484
-0.2	-0.023	0.1106697	-0.023	-0.1941	-0.0484
-0.2	-0.02275	0.09984775	-0.0227	-0.1941	-0.0484
-0.2	-0.0225	0.09707225	-0.0225	-0.1941	-0.0484
-0.2	-0.02225	0.09580575	-0.0223	-0.1941	-0.0484
-0.2	-0.022	0.0971003	-0.022	-0.1941	-0.0484
-0.2	-0.02175	0.077803	-0.0218	-0.1941	-0.0484
-0.2	-0.0215	0.1095242	-0.0215	-0.1941	-0.0484
-0.2	-0.02125	0.0895006	-0.0212	-0.1941	-0.0484
-0.2	-0.021	0.08677185	-0.021	-0.1941	-0.0484
-0.2	-0.02075	0.10334015	-0.0207	-0.1941	-0.0484
-0.2	-0.0205	0.0990467	-0.0205	-0.1941	-0.0484
-0.2	-0.02025	0.1043832	-0.0202	-0.1941	-0.0484
-0.2	-0.02	0.0993447	-0.02	-0.1941	-0.0484
-0.2	-0.01975	0.11773845	-0.0198	-0.1941	-0.0484
-0.2	-0.0195	0.0794143	-0.0195	-0.1941	-0.0484
-0.2	-0.01925	0.102474	-0.0192	-0.1941	-0.0484
-0.2	-0.019	0.09458565	-0.019	-0.1941	-0.0484
-0.2	-0.01875	0.08904425	-0.0187	-0.1941	-0.0484
-0.2	-0.0185	0.10524935	-0.0185	-0.1941	-0.0484
-0.2	-0.01825	0.11998295	-0.0182	-0.1941	-0.0484
-0.2	-0.018	0.09105595	-0.018	-0.1941	-0.0484
-0.2	-0.01775	0.09053435	-0.0177	-0.1941	-0.0484
-0.2	-0.0175	0.0859243	-0.0175	-0.1941	-0.0484
-0.2	-0.01725	0.0972493	-0.0172	-0.1941	-0.0484
-0.2	-0.017	0.0990839	-0.017	-0.1941	-0.0484
-0.2	-0.01675	0.079675	-0.0168	-0.1941	-0.0484
-0.2	-0.0165	0.10486755	-0.0165	-0.1941	-0.0484
-0.2	-0.01625	0.10009915	-0.0162	-0.1941	-0.0484
-0.2	-0.016	0.09469735	-0.016	-0.1941	-0.0484
-0.2	-0.01575	0.13132645	-0.0157	-0.1941	-0.0484
-0.2	-0.0155	0.1050166	-0.0155	-0.1941	-0.0484
-0.2	-0.01525	0.09438085	-0.0152	-0.1941	-0.0484
-0.2	-0.015	0.07849225	-0.015	-0.1941	-0.0484
-0.2	-0.01475	0.0906183	-0.0148	-0.1941	-0.0484
-0.2	-0.0145	0.12035545	-0.0145	-0.1941	-0.0484
-0.2	-0.01425	0.1803237	-0.0144	-0.1941	-0.0484
-0.2	-0.014	0.1611012	-0.014	-0.1941	-0.0484
-0.2	-0.01375	0.08076465	-0.0137	-0.1941	-0.0484
-0.2	-0.0135	0.09534945	-0.0135	-0.1941	-0.0484
-0.2	-0.01325	0.1020455	-0.0132	-0.1941	-0.0484
-0.2	-0.013	0.1346512	-0.013	-0.1941	-0.0484
-0.2	-0.01275	0.12761975	-0.0128	-0.1941	-0.0484
-0.2	-0.0125	0.1317548	-0.0125	-0.1941	-0.0484
-0.2	-0.01225	0.17236075	-0.0122	-0.1941	-0.0484
-0.2	-0.012	0.1545816	-0.012	-0.1941	-0.0484
-0.2	-0.01175	0.12802955	-0.0118	-0.1941	-0.0484
-0.2	-0.0115	0.12245105	-0.0115	-0.1941	-0.0484
-0.2	-0.01125	0.11423665	-0.0113	-0.1941	-0.0484
-0.2	-0.011	0.15737595	-0.011	-0.1941	-0.0484
-0.2	-0.01075	0.11649045	-0.0107	-0.1941	-0.0484
-0.2	-0.0105	0.12273955	-0.0105	-0.1941	-0.0484
-0.2	-0.01025	0.1541532	-0.0102	-0.1941	-0.0484
-0.2	-0.01	0.1282159	-0.01	-0.1941	-0.0484
-0.2	-0.00975	0.1682911	-0.0097	-0.1941	-0.0484
-0.2	-0.0095	0.09224804	-0.0095	-0.1941	-0.0484
-0.2	-0.00925	0.11494452	-0.0092	-0.1941	-0.0484
-0.2	-0.009	0.1579067	-0.009	-0.1941	-0.0484
-0.2	-0.00875	0.09597325	-0.0088	-0.1941	-0.0484
-0.2	-0.0085	0.1064415	-0.0085	-0.1941	-0.0484
-0.2	-0.00825	0.1745776	-0.0083	-0.1941	-0.0484
-0.2	-0.008	0.1887056	-0.008	-0.1941	-0.0484
-0.2	-0.00775	0.15484265	-0.0078	-0.1941	-0.0484
-0.2	-0.0075	0.04586784	-0.0075	-0.1941	-0.0484
-0.2	-0.00725	0.05751881	-0.0072	-0.1941	-0.0484
-0.2	-0.007	0.12233925	-0.007	-0.1941	-0.0484
-0.2	-0.00675	0.0956474	-0.0068	-0.1941	-0.0484
-0.2	-0.0065	0.14975745	-0.0065	-0.1941	-0.0484
-0.2	-0.00625	0.1183251	-0.0063	-0.1941	-0.0484
-0.2	-0.006	0.09759385	-0.006	-0.1941	-0.0484
-0.2	-0.00575	0.1110515	-0.0058	-0.1941	-0.0484
-0.2	-0.0055	0.06941185	-0.0055	-0.1941	-0.0484
-0.2	-0.00525	-0.00186266	-0.0052	-0.1941	-0.0484
-0.2	-0.005	0.01218175	-0.005	-0.1941	-0.0484
-0.2	-0.00475	-0.00729231	-0.0048	-0.1941	-0.0484
-0.2	-0.0045	-0.00938773	-0.0045	-0.1941	-0.0484
-0.2	-0.00425	0.01051471	-0.0042	-0.1941	-0.0484
-0.2	-0.004	0.0636004	-0.004	-0.1941	-0.0484
-0.2	-0.00375	0.08832715	-0.0038	-0.1941	-0.0484
-0.2	-0.0035	0.1788896	-0.0035	-0.1941	-0.0484
-0.2	-0.00325	0.07809187	-0.0033	-0.1941	-0.0484
-0.2	-0.003	-0.00259845	-0.003	-0.1941	-0.0484
-0.2	-0.00275	-0.00774865	-0.0027	-0.1941	-0.0484
-0.2	-0.0025	-0.00059606	-0.0025	-0.1941	-0.0484
-0.2	-0.00225	0.00462868	-0.0023	-0.1941	-0.0484
-0.2	-0.002	-0.00698498	-0.002	-0.1941	-0.0484
-0.2	-0.00175	-0.01956714	-0.0017	-0.1941	-0.0484
-0.2	-0.0015	-0.01518063	-0.0015	-0.1941	-0.0484
-0.2	-0.00125	-0.00373462	-0.0013	-0.1941	-0.0484
-0.2	-0.001	-0.00572764	-0.001	-0.1941	-0.0484
-0.2	-0.00075	-0.01018875	-0.0008	-0.1941	-0.0484
-0.2	-0.0005	0.01749034	-0.0005	-0.1941	-0.0484
-0.2	-0.00025	-0.0031665	-0.0002	-0.1941	-0.0484
-0.2	0.0	-0.00971379	0.0	-0.1941	-0.0484
-0.2	0.00025	-0.003418	0.0002	-0.1941	-0.0484
-0.2	0.0005	0.00642615	0.0005	-0.1941	-0.0484
-0.2	0.00075	0.0048429	0.0007	-0.1941	-0.0484
-0.2	0.001	0.02543454	0.001	-0.1941	-0.0484
-0.2	0.00125	-0.01503164	0.0013	-0.1941	-0.0484
-0.2	0.0015	-0.02507138	0.0015	-0.1941	-0.0484
-0.2	0.00175	-0.00144355	0.0018	-0.1941	-0.0484
-0.2	0.002	0.00047497	0.002	-0.1941	-0.0484
-0.2	0.00225	0.00819569	0.0023	-0.1941	-0.0484
-0.2	0.0025	0.00704082	0.0025	-0.1941	-0.0484
-0.2	0.00275	0.02057303	0.0028	-0.1941	-0.0484
-0.2	0.003	0.00481495	0.003	-0.1941	-0.0484
-0.2	0.00325	-0.0342822	0.0033	-0.1941	-0.0484
-0.2	0.0035	-0.00957408	0.0035	-0.1941	-0.0484
-0.2	0.00375	-0.0093971	0.0038	-0.1941	-0.0484
-0.2	0.004	0.0075344	0.004	-0.1941	-0.0484
-0.2	0.00425	-0.00024212	0.0043	-0.1941	-0.0484
-0.2	0.0045	-0.00833538	0.0045	-0.1941	-0.0484
-0.2	0.00475	-0.00139698	0.0048	-0.1941	-0.0484
-0.2	0.005	0.00551345	0.005	-0.1941	-0.0484
-0.2	0.00525	0.00279398	0.0053	-0.1941	-0.0484
-0.2	0.0055	0.00671486	0.0055	-0.1941	-0.0484
-0.2	0.00575	-0.00789762	0.0057	-0.1941	-0.0484
-0.2	0.006	0.0186452	0.006	-0.1941	-0.0484
-0.2	0.00625	-0.00276602	0.0063	-0.1941	-0.0484
-0.2	0.0065	0.00853095	0.0065	-0.1941	-0.0484
-0.2	0.00675	0.00516887	0.0067	-0.1941	-0.0484
-0.2	0.007	0.0096113	0.007	-0.1941	-0.0484
-0.2	0.00725	0.00441449	0.0073	-0.1941	-0.0484
-0.2	0.0075	0.03632174	0.0075	-0.1941	-0.0484
-0.2	0.00775	0.02858244	0.0077	-0.1941	-0.0484
-0.2	0.008	-0.0022631	0.008	-0.1941	-0.0484
-0.2	0.00825	0.00983482	0.0083	-0.1941	-0.0484
-0.2	0.0085	0.01616789	0.0085	-0.1941	-0.0484
-0.2	0.00875	-0.0267943	0.0087	-0.1941	-0.0484
-0.2	0.009	-0.00090338	0.009	-0.1941	-0.0484
-0.2	0.00925	-0.00257048	0.0093	-0.1941	-0.0484
-0.2	0.0095	0.00547624	0.0095	-0.1941	-0.0484
-0.2	0.00975	0.00275675	0.0098	-0.1941	-0.0484
-0.2	0.01	0.00088478	0.01	-0.1941	-0.0484
-0.2	0.01025	-0.00562522	0.0103	-0.1941	-0.0484
-0.2	0.0105	-0.01159498	0.0105	-0.1941	-0.0484
-0.2	0.01075	0.01405373	0.0108	-0.1941	-0.0484
-0.2	0.011	0.01160435	0.011	-0.1941	-0.0484
-0.2	0.01125	0.00912701	0.0113	-0.1941	-0.0484
-0.2	0.0115	0.01204207	0.0115	-0.1941	-0.0484
-0.2	0.01175	0.00234697	0.0117	-0.1941	-0.0484
-0.2	0.012	0.02363708	0.012	-0.1941	-0.0484
-0.2	0.01225	0.00276606	0.0122	-0.1941	-0.0484
-0.2	0.0125	0.08132352	0.0125	-0.1941	-0.0484
-0.2	0.01275	0.05572134	0.0127	-0.1941	-0.0484
-0.2	0.013	0.02349742	0.013	-0.1941	-0.0484
-0.2	0.01325	0.1499346	0.0133	-0.1941	-0.0484
-0.2	0.0135	0.1146558	0.0135	-0.1941	-0.0484
-0.2	0.01375	0.13154075	0.0137	-0.1941	-0.0484
-0.2	0.014	0.08433186	0.014	-0.1941	-0.0484
-0.2	0.01425	0.11245774	0.0143	-0.1941	-0.0484
-0.2	0.0145	0.10071365	0.0145	-0.1941	-0.0484
-0.2	0.01475	0.1380972	0.0147	-0.1941	-0.0484
-0.2	0.015	0.10093734	0.015	-0.1941	-0.0484
-0.2	0.01525	0.04709721	0.0153	-0.1941	-0.0484
-0.2	0.0155	0.10058338	0.0155	-0.1941	-0.0484
-0.2	0.01575	0.16423035	0.0158	-0.1941	-0.0484
-0.2	0.016	0.2130319	0.016	-0.1941	-0.0484
-0.2	0.01625	0.21860135	0.0162	-0.1941	-0.0484
-0.2	0.0165	0.22342535	0.0165	-0.1941	-0.0484
-0.2	0.01675	0.1922075	0.0167	-0.1941	-0.0484
-0.2	0.017	0.1753413	0.017	-0.1941	-0.0484
-0.2	0.01725	0.2442687	0.0172	-0.1941	-0.0484
-0.2	0.0175	0.26210345	0.0175	-0.1941	-0.0484
-0.2	0.01775	0.14695425	0.0178	-0.1941	-0.0484
-0.2	0.018	0.13638365	0.018	-0.1941	-0.0484
-0.2	0.01825	0.1211006	0.0183	-0.1941	-0.0484
-0.2	0.0185	0.1705633	0.0185	-0.1941	-0.0484
-0.2	0.01875	0.1458925	0.0188	-0.1941	-0.0484
-0.2	0.019	0.1410961	0.019	-0.1941	-0.0484
-0.2	0.01925	0.13941975	0.0192	-0.1941	-0.0484
-0.2	0.0195	0.12132405	0.0195	-0.1941	-0.0484
-0.2	0.01975	0.16948295	0.0198	-0.1941	-0.0484
-0.2	0.02	0.1645283	0.02	-0.1941	-0.0484
-0.2	0.02025	0.13418565	0.0203	-0.1941	-0.0484
-0.2	0.0205	0.13032995	0.0205	-0.1941	-0.0484
-0.2	0.02075	0.1133333	0.0208	-0.1941	-0.0484
-0.2	0.021	0.09733315	0.021	-0.1941	-0.0484
-0.2	0.02125	0.1203369	0.0213	-0.1941	-0.0484
-0.2	0.0215	0.12257205	0.0215	-0.1941	-0.0484
-0.2	0.02175	0.14237205	0.0218	-0.1941	-0.0484
-0.2	0.022	0.1673223	0.022	-0.1941	-0.0484
-0.2	0.02225	0.12700515	0.0223	-0.1941	-0.0484
-0.2	0.0225	0.1099432	0.0225	-0.1941	-0.0484
-0.2	0.02275	0.1180458	0.0228	-0.1941	-0.0484
-0.2	0.023	0.1475036	0.023	-0.1941	-0.0484
-0.2	0.02325	0.093915	0.0233	-0.1941	-0.0484
-0.2	0.0235	0.10466265	0.0235	-0.1941	-0.0484
-0.2	0.02375	0.0909349	0.0237	-0.1941	-0.0484
-0.2	0.024	0.10089075	0.024	-0.1941	-0.0484
-0.2	0.02425	0.12104475	0.0243	-0.1941	-0.0484
-0.2	0.0245	0.11406905	0.0245	-0.1941	-0.0484
-0.2	0.02475	0.10412245	0.0248	-0.1941	-0.0484
-0.2	0.025	0.09278815	0.025	-0.1941	-0.0484
-0.2	0.02525	0.09140055	0.0253	-0.1941	-0.0484
-0.2	0.0255	0.08490915	0.0255	-0.1941	-0.0484
-0.2	0.02575	0.1132494	0.0257	-0.1941	-0.0484
-0.2	0.026	0.11564295	0.026	-0.1941	-0.0484
-0.2	0.02625	0.09320725	0.0263	-0.1941	-0.0484
-0.2	0.0265	0.1170865	0.0265	-0.1941	-0.0484
-0.2	0.02675	0.1030142	0.0267	-0.1941	-0.0484
-0.2	0.027	0.0908231	0.027	-0.1941	-0.0484
-0.2	0.02725	0.11935905	0.0273	-0.1941	-0.0484
-0.2	0.0275	0.0894447	0.0275	-0.1941	-0.0484
-0.2	0.02775	0.1022598	0.0278	-0.1941	-0.0484
-0.2	0.028	0.1046906	0.028	-0.1941	-0.0484
-0.2	0.02825	0.1211378	0.0283	-0.1941	-0.0484
-0.2	0.0285	0.10090935	0.0285	-0.1941	-0.0484
-0.2	0.02875	0.1205324	0.0287	-0.1941	-0.0484
-0.2	0.029	0.10758705	0.029	-0.1941	-0.0484
-0.2	0.02925	0.11836245	0.0293	-0.1941	-0.0484
-0.2	0.0295	0.10579895	0.0295	-0.1941	-0.0484
-0.2	0.02975	0.08726545	0.0298	-0.1941	-0.0484
-0.2	0.03	0.09195	0.03	-0.1941	-0.0484
-0.19	-0.03	0.10143095	0.03	-0.1924	-0.0469
-0.19	-0.02975	0.1202437	0.0297	-0.1844	-0.0459
-0.19	-0.0295	0.1078199	0.0295	-0.1844	-0.046
-0.19	-0.02925	0.09325375	0.0293	-0.1844	-0.046
-0.19	-0.029	0.1069816	0.029	-0.1844	-0.046
-0.19	-0.02875	0.09994075	0.0287	-0.1844	-0.046
-0.19	-0.0285	0.09881395	0.0285	-0.1844	-0.046
-0.19	-0.02825	0.08232005	0.0282	-0.1844	-0.046
-0.19	-0.028	0.1367096	0.028	-0.1844	-0.046
-0.19	-0.02775	0.12719145	0.0277	-0.1844	-0.046
-0.19	-0.0275	0.1076802	0.0275	-0.1844	-0.046
-0.19	-0.02725	0.09923295	0.0272	-0.1844	-0.046
-0.19	-0.027	0.107885	0.027	-0.1844	-0.046
-0.19	-0.02675	0.10971045	0.0268	-0.1844	-0.046
-0.19	-0.0265	0.0679962	0.0265	-0.1844	-0.046
-0.19	-0.02625	0.1138641	0.0263	-0.1844	-0.046
-0.19	-0.026	0.1119828	0.026	-0.1844	-0.046
-0.19	-0.02575	0.0911211	0.0257	-0.1844	-0.046
-0.19	-0.0255	0.10915165	0.0255	-0.1844	-0.046
-0.19	-0.02525	0.1448773	0.0252	-0.1843	-0.046
-0.19	-0.025	0.08975205	0.025	-0.1844	-0.046
-0.19	-0.02475	0.11857665	0.0248	-0.1844	-0.046
-0.19	-0.0245	0.1024089	0.0245	-0.1844	-0.046
-0.19	-0.02425	0.09894415	0.0242	-0.1844	-0.046
-0.19	-0.024	0.1366257	0.024	-0.1844	-0.046
-0.19	-0.02375	0.10680475	0.0238	-0.1844	-0.046
-0.19	-0.0235	0.14305185	0.0235	-0.1844	-0.046
-0.19	-0.02325	0.11670475	0.0232	-0.1844	-0.046
-0.19	-0.023	0.1103623	0.023	-0.1844	-0.046
