Field A is the magnetic field created by Axes 1 and 2, Field B is the field created by Axis 3Initial Temperature (K)	0.0250157
Excitation Current (A)	2e-07
Axis 1,2	y,z
Axis 3	x
Angle in 1,2	14
Field A (T)	Field B (T)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
0.9	0.2	0.12513313	0.2	0.8733	0.2177
0.9	0.18	0.10975228	0.18	0.8733	0.2177
0.9	0.16	0.11841833	0.16	0.8733	0.2177
0.9	0.14	0.10286515	0.14	0.8733	0.2177
0.9	0.12	0.09725858	0.12	0.8733	0.2177
0.9	0.1	0.09364963	0.1	0.8733	0.2177
0.9	0.08	0.1189585	0.08	0.8733	0.2177
0.9	0.06	0.12276292	0.06	0.8733	0.2177
0.9	0.04	0.12237175	0.04	0.8733	0.2177
0.9	0.02	0.08828065	0.02	0.8733	0.2177
0.9	0.0	0.07593115	0.0	0.8733	0.2177
0.9	-0.02	0.00886623	-0.02	0.8733	0.2177
0.9	-0.04	0.12122618	-0.04	0.8733	0.2177
0.9	-0.06	0.10390822	-0.06	0.8733	0.2177
0.9	-0.08	0.0946835	-0.08	0.8733	0.2177
0.9	-0.1	0.0944645	-0.1	0.8733	0.2177
0.9	-0.12	0.1155731	-0.12	0.8733	0.2177
0.9	-0.14	0.1099898	-0.14	0.8733	0.2177
0.9	-0.16	0.0976544	-0.16	0.8733	0.2177
0.9	-0.18	0.08888592	-0.18	0.8733	0.2177
0.9	-0.2	0.1346839	-0.2	0.8733	0.2177
0.8	0.2	0.09919102	0.2	0.7762	0.1935
0.8	0.18	0.09607572	0.18	0.7762	0.1935
0.8	0.16	0.09378938	0.16	0.7762	0.1935
0.8	0.14	0.12530083	0.14	0.7762	0.1935
0.8	0.12	0.08999883	0.12	0.7762	0.1935
0.8	0.1	0.1089281	0.1	0.7762	0.1935
0.8	0.08	0.09887908	0.08	0.7762	0.1935
0.8	0.06	0.08999415	0.06	0.7762	0.1935
0.8	0.04	0.102297	0.04	0.7762	0.1935
