Started December 28, 2022 23:37:30Resistor	201600.0	Excitation Current (A)	6.12e-08
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
2.22934641	15.1641	15.1727	6.18138
2.26538235	15.2487	15.1727	6.18138
2.29070261	15.2487	15.1727	6.18138
2.31018301	15.2487	15.1727	6.18138
2.31602614	15.2487	15.1727	6.18138
2.16701307	15.2487	15.1727	6.18138
2.39881046	15.2487	15.1161	6.18138
2.27414706	15.2487	15.1161	6.18138
2.31213072	15.2487	15.1161	6.18138
2.24882353	15.2487	15.1161	6.18138
2.21766013	15.2487	15.1161	6.18138
2.32381699	15.2487	15.1161	6.18138
2.18551961	15.2487	15.1161	6.17604
2.24979739	15.2487	15.1161	6.17604
2.24979739	15.2487	15.1161	6.17604
2.1835719	15.2487	15.1161	6.17604
2.20012745	15.2487	15.1161	6.17604
2.26051307	15.2487	15.1161	6.17604
2.25564052	15.2487	15.1161	6.17604
2.22934641	15.2487	15.1161	6.17604
2.24882353	15.2487	15.1161	6.17604
2.40270588	15.2487	15.1161	6.17604
2.2449281	15.2487	15.1161	6.17604
2.1640915	15.2487	15.1161	6.17604
2.18649346	15.2487	15.1161	6.17604
2.32673856	15.2487	15.1161	6.17604
2.31992157	15.2487	15.1161	6.17604
2.33939869	15.2487	15.1161	6.17604
2.22739869	15.2487	15.1161	6.17604
2.32284314	15.2487	15.1161	6.17604
2.26538235	15.1198	15.1161	6.17604
2.22447712	15.1198	15.1161	6.17604
2.22350327	15.1198	15.1161	6.17604
2.1553268	15.1198	15.1161	6.17604
2.30628758	15.1198	15.1161	6.17604
2.30239216	15.1198	15.1161	6.17604
2.23713725	15.1198	15.053	6.17604
2.33745098	15.1198	15.053	6.17604
2.317	15.1198	15.053	6.17604
2.25369281	15.1198	15.053	6.17604
2.30336601	15.1198	15.053	6.17604
2.31992157	15.1198	15.053	6.17604
2.25661438	15.1198	15.053	6.13157
2.23421569	15.1198	15.053	6.13157
2.23811111	15.1198	15.053	6.13157
2.29265033	15.1198	15.053	6.13157
2.2731732	15.1198	15.053	6.13157
2.28778105	15.1198	15.053	6.13157
2.2887549	15.1198	15.053	6.13157
2.32186928	15.1198	15.053	6.13157
2.28972876	15.1198	15.053	6.13157
2.25564052	15.1198	15.053	6.13157
2.25077124	15.1198	15.053	6.13157
2.2644085	15.1198	15.053	6.13157
2.27122549	15.1198	15.053	6.13157
2.28291176	15.1198	15.053	6.13157
2.23518954	15.1198	15.053	6.13157
2.18941503	15.1198	15.053	6.13157
2.31797386	15.1198	15.053	6.13157
2.27219935	15.1198	15.053	6.13157
2.27706863	14.9778	15.053	6.13157
2.33647712	14.9778	15.053	6.13157
2.27414706	14.9778	15.053	6.13157
2.39296732	14.9778	15.053	6.13157
2.26148693	14.9778	15.053	6.13157
2.30239216	14.9778	14.9907	6.13157
2.36277451	14.9778	14.9907	6.13157
2.25271895	14.9778	14.9907	6.13157
2.25564052	14.9778	14.9907	6.13157
2.24200654	14.9778	14.9907	6.13157
2.23908497	14.9778	14.9907	6.13157
2.32673856	14.9778	14.9907	6.13157
2.28096405	14.9778	14.9907	6.14436
2.29167647	14.9778	14.9907	6.14436
2.2449281	14.9778	14.9907	6.14436
2.24005882	14.9778	14.9907	6.14436
2.24784967	14.9778	14.9907	6.14436
2.30336601	14.9778	14.9907	6.14436
2.34621895	14.9778	14.9907	6.14436
2.29362418	14.9778	14.9907	6.14436
2.2887549	14.9778	14.9907	6.14436
2.25077124	14.9778	14.9907	6.14436
2.37835621	14.9778	14.9907	6.14436
2.26733007	14.9778	14.9907	6.14436
2.27122549	14.9778	14.9907	6.14436
2.18844118	14.9778	14.9907	6.14436
2.27706863	14.9778	14.9907	6.14436
2.22837255	14.9778	14.9907	6.14436
2.20207516	14.9778	14.9907	6.14436
2.27219935	14.7396	14.9907	6.14436
2.33842484	14.7396	14.9907	6.14436
2.32576471	14.7396	14.9907	6.14436
2.21960784	14.7396	14.9907	6.14436
2.2449281	14.7396	14.9907	6.14436
2.32868627	14.7396	14.9907	6.14436
2.20110131	14.7396	14.9277	6.14436
2.28388562	14.7396	14.9277	6.14436
2.35303595	14.7396	14.9277	6.14436
2.29362418	14.7396	14.9277	6.14436
2.24200654	14.7396	14.9277	6.14436
2.27804248	14.7396	14.9277	6.14436
2.34621895	14.7396	14.9277	6.12988
2.26927778	14.7396	14.9277	6.12988
2.37348693	14.7396	14.9277	6.12988
2.27122549	14.7396	14.9277	6.12988
2.28485948	14.7396	14.9277	6.12988
2.2205817	14.7396	14.9277	6.12988
2.31894771	14.7396	14.9277	6.12988
2.28680719	14.7396	14.9277	6.12988
2.28680719	14.7396	14.9277	6.12988
2.20986601	14.7396	14.9277	6.12988
2.2644085	14.7396	14.9277	6.12988
2.3608268	14.7396	14.9277	6.12988
2.31310458	14.7396	14.9277	6.12988
2.1767549	14.7396	14.9277	6.12988
2.30336601	14.7396	14.9277	6.12988
2.22739869	14.7396	14.9277	6.12988
2.3452451	14.7396	14.9277	6.12988
2.23421569	14.7396	14.9277	6.12988
2.24590196	14.8603	14.9277	6.12988
