Initial Temperature (K)	0.0250041
Excitation Current (A)	0.0
Axis 1,2	y,z
Angle	43
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.5	-0.0005	0.12660365	0.0	-0.3657	-0.341
-0.5	-0.0004875	0.07176677	0.0	-0.3657	-0.341
-0.5	-0.000475	0.0764195	0.0	-0.3657	-0.341
-0.5	-0.0004625	0.06843645	0.0	-0.3657	-0.341
-0.5	-0.00045	0.06679858	-0.0	-0.3657	-0.341
-0.5	-0.0004375	0.07749226	0.0	-0.3657	-0.341
-0.5	-0.000425	0.07749218	0.0	-0.3657	-0.341
-0.5	-0.0004125	0.07042158	0.0	-0.3657	-0.341
-0.5	-0.0004	0.08486994	-0.0	-0.3657	-0.341
-0.5	-0.0003875	0.07871425	-0.0	-0.3657	-0.341
-0.5	-0.000375	0.08892306	-0.0	-0.3657	-0.341
-0.5	-0.0003625	0.09051789	0.0	-0.3657	-0.341
-0.5	-0.00035	0.10917168	0.0	-0.3657	-0.341
-0.5	-0.0003375	0.10741908	0.0	-0.3657	-0.341
-0.5	-0.000325	0.11234716	0.0	-0.3657	-0.341
-0.5	-0.0003125	0.1240192	0.0	-0.3657	-0.341
-0.5	-0.0003	0.14240619	0.0	-0.3657	-0.341
-0.5	-0.0002875	0.11361211	0.0	-0.3657	-0.341
-0.5	-0.000275	0.11229842	0.0	-0.3657	-0.341
-0.5	-0.0002625	0.11646358	0.0	-0.3657	-0.341
-0.5	-0.00025	0.12924565	0.0	-0.3657	-0.341
-0.5	-0.0002375	0.10974548	0.0	-0.3657	-0.341
-0.5	-0.000225	0.10120025	0.0	-0.3657	-0.341
-0.5	-0.0002125	0.09194077	0.0	-0.3657	-0.341
-0.5	-0.0002	0.07000555	-0.0	-0.3657	-0.341
-0.5	-0.0001875	0.06621908	0.0	-0.3657	-0.341
-0.5	-0.000175	0.0506173	0.0	-0.3657	-0.341
-0.5	-0.0001625	0.04211517	0.0	-0.3657	-0.341
-0.5	-0.00015	0.02550373	0.0	-0.3657	-0.341
-0.5	-0.0001375	0.01701015	0.0	-0.3657	-0.341
-0.5	-0.000125	0.00887224	-0.0	-0.3657	-0.341
-0.5	-0.0001125	0.00751831	0.0	-0.3657	-0.341
-0.5	-0.0001	0.00133672	0.0	-0.3657	-0.341
-0.5	-8.75e-05	-0.00094947	0.0	-0.3657	-0.341
-0.5	-7.5e-05	-0.00273653	-0.0	-0.3657	-0.341
-0.5	-6.25e-05	-0.00135966	0.0	-0.3657	-0.341
-0.5	-5e-05	-0.0023579	0.0	-0.3657	-0.341
-0.5	-3.75e-05	-0.00152317	0.0	-0.3657	-0.341
