Initial Temperature (K)	0.0249923
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.15	-0.0003	0.03915136	-0.15	0.0	-0.0
-0.15	-0.0002975	0.07800901	-0.15	0.0	0.0001
-0.15	-0.000295	0.07915206	-0.15	-0.0	-0.0
-0.15	-0.0002925	0.07104427	-0.15	0.0	0.0
-0.15	-0.00029	0.0763224	-0.15	0.0	0.0001
-0.15	-0.0002875	0.08068701	-0.15	0.0	0.0
-0.15	-0.000285	0.08009959	-0.15	0.0	-0.0
-0.15	-0.0002825	0.07571884	-0.15	0.0	-0.0
-0.15	-0.00028	0.07184753	-0.15	0.0	-0.0
-0.15	-0.0002775	0.07843121	-0.15	0.0	-0.0
-0.15	-0.000275	0.07360079	-0.15	-0.0	0.0001
-0.15	-0.0002725	0.07652211	-0.15	-0.0	-0.0
-0.15	-0.00027	0.07633398	-0.15	-0.0	0.0
-0.15	-0.0002675	0.08028316	-0.15	0.0	-0.0
-0.15	-0.000265	0.07830518	-0.15	0.0	-0.0
-0.15	-0.0002625	0.08158895	-0.15	0.0	0.0
-0.15	-0.00026	0.0670492	-0.15	0.0	-0.0
-0.15	-0.0002575	0.0787503	-0.15	0.0	-0.0
-0.15	-0.000255	0.07138171	-0.15	0.0	0.0
-0.15	-0.0002525	0.082578	-0.15	0.0	0.0
-0.15	-0.00025	0.07845204	-0.15	0.0	0.0001
-0.15	-0.0002475	0.07645324	-0.15	-0.0	0.0
-0.15	-0.000245	0.07594368	-0.15	0.0	0.0
-0.15	-0.0002425	0.07312585	-0.15	0.0	0.0001
-0.15	-0.00024	0.08255743	-0.15	0.0	-0.0
-0.15	-0.0002375	0.08000559	-0.15	0.0	-0.0
-0.15	-0.000235	0.07865852	-0.15	0.0	0.0001
-0.15	-0.0002325	0.07253609	-0.15	0.0	0.0
-0.15	-0.00023	0.07885342	-0.15	0.0	-0.0
-0.15	-0.0002275	0.07725416	-0.15	0.0	0.0
-0.15	-0.000225	0.0644424	-0.15	-0.0	0.0
-0.15	-0.0002225	0.0715792	-0.15	0.0	-0.0
-0.15	-0.00022	0.0790073	-0.15	0.0	-0.0
-0.15	-0.0002175	0.07715314	-0.15	0.0	0.0
-0.15	-0.000215	0.07688924	-0.15	-0.0	0.0001
-0.15	-0.0002125	0.07920466	-0.15	0.0	0.0001
-0.15	-0.00021	0.07142766	-0.15	0.0	0.0
-0.15	-0.0002075	0.07610902	-0.15	0.0	-0.0
-0.15	-0.000205	0.07211364	-0.15	0.0	0.0
-0.15	-0.0002025	0.07273568	-0.15	0.0	0.0
-0.15	-0.0002	0.06994759	-0.15	-0.0	0.0
-0.15	-0.0001975	0.07480556	-0.15	0.0	-0.0
-0.15	-0.000195	0.08463643	-0.15	0.0	0.0
-0.15	-0.0001925	0.07897982	-0.15	0.0	0.0
-0.15	-0.00019	0.07820637	-0.15	0.0	-0.0
-0.15	-0.0001875	0.07780721	-0.15	0.0	0.0
-0.15	-0.000185	0.0775066	-0.15	0.0	0.0
-0.15	-0.0001825	0.07917485	-0.15	-0.0	0.0
-0.15	-0.00018	0.07315567	-0.15	0.0	0.0
-0.15	-0.0001775	0.07778651	-0.15	-0.0	-0.0
-0.15	-0.000175	0.0789064	-0.15	-0.0	-0.0
-0.15	-0.0001725	0.08287393	-0.15	0.0	0.0001
-0.15	-0.00017	0.06928669	-0.15	0.0	0.0
-0.15	-0.0001675	0.07804806	-0.15	0.0	0.0
-0.15	-0.000165	0.06955515	-0.15	-0.0	0.0
-0.15	-0.0001625	0.07419289	-0.15	0.0	0.0
-0.15	-0.00016	0.07835791	-0.15	0.0	-0.0
-0.15	-0.0001575	0.08765409	-0.15	-0.0	0.0
-0.15	-0.000155	0.08287639	-0.15	-0.0	0.0001
-0.15	-0.0001525	0.08715377	-0.15	0.0	-0.0
-0.15	-0.00015	0.07509939	-0.15	0.0	-0.0
-0.15	-0.0001475	0.06644793	-0.15	0.0	-0.0
-0.15	-0.000145	0.08043235	-0.15	0.0	0.0
-0.15	-0.0001425	0.07296298	-0.15	0.0	0.0001
-0.15	-0.00014	0.075657	-0.15	0.0	0.0
-0.15	-0.0001375	0.08377809	-0.15	-0.0	-0.0
-0.15	-0.000135	0.07339874	-0.15	0.0	-0.0
-0.15	-0.0001325	0.08112313	-0.15	-0.0	0.0001
-0.15	-0.00013	0.07818346	-0.15	0.0	-0.0
-0.15	-0.0001275	0.07083335	-0.15	-0.0	-0.0
-0.15	-0.000125	0.07088817	-0.15	0.0	-0.0
-0.15	-0.0001225	0.07638215	-0.15	0.0	0.0
-0.15	-0.00012	0.08078569	-0.15	0.0	0.0
-0.15	-0.0001175	0.07451412	-0.15	0.0	0.0
-0.15	-0.000115	0.07383265	-0.15	0.0	-0.0
-0.15	-0.0001125	0.07714858	-0.15	-0.0	0.0
-0.15	-0.00011	0.07627176	-0.15	-0.0	-0.0
-0.15	-0.0001075	0.07887646	-0.15	0.0	-0.0001
-0.15	-0.000105	0.08022587	-0.15	-0.0	-0.0
-0.15	-0.0001025	0.07715326	-0.15	0.0	-0.0
-0.15	-0.0001	0.07844033	-0.15	0.0	0.0
-0.15	-9.75e-05	0.08135721	-0.15	-0.0	0.0
-0.15	-9.5e-05	0.0776144	-0.15	0.0	0.0
-0.15	-9.25e-05	0.07051422	-0.15	0.0	-0.0
-0.15	-9e-05	0.07709351	-0.15	-0.0	-0.0
-0.15	-8.75e-05	0.07591633	-0.15	0.0	-0.0
-0.15	-8.5e-05	0.07870447	-0.15	0.0	0.0
-0.15	-8.25e-05	0.07233405	-0.15	-0.0	0.0
-0.15	-8e-05	0.0861991	-0.15	0.0	0.0001
-0.15	-7.75e-05	0.07190494	-0.15	-0.0	0.0
-0.15	-7.5e-05	0.07296052	-0.15	0.0	-0.0
