Initial Temperature (K)	0.025052
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.4	-0.0004	0.12735939	-0.4	-0.0	-0.0
-0.4	-0.00039	0.08508508	-0.4	-0.0	-0.0
-0.4	-0.00038	0.08289635	-0.4	0.0	-0.0001
-0.4	-0.00037	0.07981851	-0.4	0.0	-0.0001
-0.4	-0.00036	0.08444528	-0.4	0.0	0.0
-0.4	-0.00035	0.08025594	-0.4	-0.0	-0.0
-0.4	-0.00034	0.07534364	-0.4	0.0	0.0
-0.4	-0.00033	0.07694872	-0.4	-0.0	0.0
-0.4	-0.00032	0.07120158	-0.4	0.0	0.0
-0.4	-0.00031	0.0763994	-0.4	0.0	0.0
-0.4	-0.0003	0.07366	-0.4	0.0	-0.0
-0.4	-0.00029	0.07500947	-0.4	-0.0	-0.0
-0.4	-0.00028	0.07574959	-0.4	0.0	0.0
-0.4	-0.00027	0.08154531	-0.4	-0.0	0.0
-0.4	-0.00026	0.07573381	-0.4	0.0	0.0
-0.4	-0.00025	0.07596189	-0.4	0.0	0.0
-0.4	-0.00024	0.07480011	-0.4	0.0	-0.0
-0.4	-0.00023	0.07821806	-0.4	0.0	-0.0
-0.4	-0.00022	0.0778249	-0.4	0.0	0.0
-0.4	-0.00021	0.08512088	-0.4	0.0	0.0
-0.4	-0.0002	0.07364703	-0.4	0.0	-0.0
-0.4	-0.00019	0.0725755	-0.4	-0.0	-0.0
-0.4	-0.00018	0.08006237	-0.4	-0.0	0.0
-0.4	-0.00017	0.07446878	-0.4	0.0	0.0001
-0.4	-0.00016	0.07422792	-0.4	0.0	0.0
-0.4	-0.00015	0.07861654	-0.4	0.0	-0.0
-0.4	-0.00014	0.07473123	-0.4	-0.0	-0.0
-0.4	-0.00013	0.08372826	-0.4	0.0	0.0
-0.4	-0.00012	0.07858932	-0.4	0.0	0.0001
-0.4	-0.00011	0.07468684	-0.4	-0.0	-0.0
-0.4	-0.0001	0.08033903	-0.4	-0.0	-0.0
-0.4	-9e-05	0.07198328	-0.4	-0.0	-0.0
-0.4	-8e-05	0.07921467	-0.4	-0.0	0.0
-0.4	-7e-05	0.07839008	-0.4	0.0	0.0001
-0.4	-6e-05	0.08067629	-0.4	-0.0	0.0
-0.4	-5e-05	0.07782778	-0.4	-0.0	-0.0
-0.4	-4e-05	0.08402371	-0.4	0.0	-0.0001
-0.4	-3e-05	0.07884042	-0.4	0.0	-0.0
-0.4	-2e-05	0.08318888	-0.4	-0.0	0.0
-0.4	-1e-05	0.07459075	-0.4	0.0	0.0001
-0.4	0.0	0.07844313	-0.4	0.0	0.0001
-0.4	1e-05	0.07378319	-0.4	-0.0	-0.0
-0.4	2e-05	0.08339131	-0.4	0.0	-0.0
-0.4	3e-05	0.08002933	-0.4	0.0	-0.0001
-0.4	4e-05	0.07505113	-0.4	0.0	-0.0
-0.4	5e-05	0.07639925	-0.4	-0.0	-0.0
-0.4	6e-05	0.07927643	-0.4	-0.0	0.0
-0.4	7e-05	0.08365942	-0.4	0.0	-0.0
-0.4	8e-05	0.07636198	-0.4	0.0	-0.0001
-0.4	9e-05	0.07601486	-0.4	0.0	0.0
-0.4	0.0001	0.0698204	-0.4	0.0	0.0
-0.4	0.00011	0.08521559	-0.4	0.0	0.0001
-0.4	0.00012	0.08789912	-0.4	-0.0	-0.0
-0.4	0.00013	0.08163132	-0.4	0.0	-0.0001
-0.4	0.00014	0.07528629	-0.4	0.0	-0.0
-0.4	0.00015	0.07673638	-0.4	-0.0	0.0
-0.4	0.00016	0.07404004	-0.4	0.0	0.0
-0.4	0.00017	0.08411264	-0.4	0.0	0.0001
-0.4	0.00018	0.07515861	-0.4	-0.0	-0.0
-0.4	0.00019	0.07582847	-0.4	0.0	-0.0001
-0.4	0.0002	0.07505973	-0.4	0.0	-0.0
-0.4	0.00021	0.08448124	-0.4	0.0	0.0
-0.4	0.00022	0.07944136	-0.4	0.0	0.0
-0.4	0.00023	0.0675573	-0.4	-0.0	-0.0
-0.4	0.00024	0.07294697	-0.4	0.0	-0.0
-0.4	0.00025	0.08058866	-0.4	0.0	-0.0001
-0.4	0.00026	0.07818634	-0.4	-0.0	0.0
-0.4	0.00027	0.08510941	-0.4	0.0	0.0001
-0.4	0.00028	0.0726716	-0.4	-0.0	0.0001
-0.4	0.00029	0.08047262	-0.4	-0.0	0.0001
-0.4	0.0003	0.07637353	-0.4	0.0	0.0
-0.4	0.00031	0.08269415	-0.4	0.0	-0.0
-0.4	0.00032	0.08139901	-0.4	0.0	0.0
-0.4	0.00033	0.07917024	-0.4	-0.0	-0.0
-0.4	0.00034	0.0791918	-0.4	-0.0	0.0
-0.4	0.00035	0.08260098	-0.4	0.0	0.0
-0.4	0.00036	0.08299822	-0.4	-0.0	0.0001
-0.4	0.00037	0.08185516	-0.4	0.0	-0.0
-0.4	0.00038	0.0751888	-0.4	0.0	0.0
-0.4	0.00039	0.07577978	-0.4	0.0	0.0
-0.4	0.0004	0.07510703	-0.4	0.0	0.0
-0.396	0.0004	0.08013698	-0.396	0.0	-0.0
-0.396	0.00039	0.07585	-0.396	0.0	0.0
-0.396	0.00038	0.07687121	-0.396	0.0	0.0
-0.396	0.00037	0.07173517	-0.396	0.0	-0.0
-0.396	0.00036	0.08164279	-0.396	0.0	-0.0001
-0.396	0.00035	0.07742766	-0.396	0.0	-0.0
-0.396	0.00034	0.08512812	-0.396	0.0	-0.0001
-0.396	0.00033	0.06949349	-0.396	0.0	0.0
-0.396	0.00032	0.08361345	-0.396	0.0	0.0001
-0.396	0.00031	0.08649633	-0.396	0.0	-0.0
-0.396	0.0003	0.07689546	-0.396	-0.0	-0.0
-0.396	0.00029	0.08462754	-0.396	-0.0	0.0001
-0.396	0.00028	0.08506637	-0.396	0.0	-0.0
-0.396	0.00027	0.07653838	-0.396	0.0	0.0
-0.396	0.00026	0.07568225	-0.396	0.0	0.0
-0.396	0.00025	0.07637923	-0.396	0.0	0.0
-0.396	0.00024	0.08240602	-0.396	-0.0	-0.0
-0.396	0.00023	0.08077662	-0.396	-0.0	-0.0001
-0.396	0.00022	0.07447881	-0.396	-0.0	-0.0
-0.396	0.00021	0.07952583	-0.396	0.0	0.0001
-0.396	0.0002	0.08122537	-0.396	0.0	0.0
-0.396	0.00019	0.08424462	-0.396	0.0	0.0
-0.396	0.00018	0.08315446	-0.396	-0.0	-0.0
-0.396	0.00017	0.08114091	-0.396	0.0	-0.0
-0.396	0.00016	0.08255786	-0.396	0.0	-0.0
-0.396	0.00015	0.08018564	-0.396	0.0	-0.0
-0.396	0.00014	0.06925389	-0.396	0.0	-0.0
-0.396	0.00013	0.07791083	-0.396	-0.0	0.0
-0.396	0.00012	0.07509987	-0.396	-0.0	-0.0001
-0.396	0.00011	0.08384153	-0.396	-0.0	-0.0001
-0.396	0.0001	0.07794394	-0.396	-0.0	0.0
-0.396	9e-05	0.07880588	-0.396	-0.0	-0.0
-0.396	8e-05	0.07757396	-0.396	0.0	0.0
-0.396	7e-05	0.08139331	-0.396	0.0	0.0
-0.396	6e-05	0.0798701	-0.396	-0.0	-0.0001
-0.396	5e-05	0.08417578	-0.396	0.0	0.0
-0.396	4e-05	0.08561291	-0.396	-0.0	0.0
-0.396	3e-05	0.07687126	-0.396	0.0	-0.0
-0.396	2e-05	0.07890198	-0.396	0.0	0.0
-0.396	1e-05	0.07849611	-0.396	0.0	0.0
-0.396	0.0	0.07932652	-0.396	-0.0	-0.0
-0.396	-1e-05	0.07716521	-0.396	-0.0	-0.0
-0.396	-2e-05	0.07162894	-0.396	-0.0	0.0
-0.396	-3e-05	0.07759829	-0.396	-0.0	-0.0
-0.396	-4e-05	0.07645522	-0.396	-0.0	0.0
-0.396	-5e-05	0.0798701	-0.396	0.0	-0.0
-0.396	-6e-05	0.07156732	-0.396	0.0	0.0
-0.396	-7e-05	0.07472419	-0.396	0.0	-0.0
-0.396	-8e-05	0.09019965	-0.396	0.0	-0.0
-0.396	-9e-05	0.08333964	-0.396	0.0	0.0001
-0.396	-0.0001	0.0823026	-0.396	0.0	-0.0
-0.396	-0.00011	0.08415707	-0.396	-0.0	0.0
-0.396	-0.00012	0.07551013	-0.396	0.0	-0.0
-0.396	-0.00013	0.07231313	-0.396	-0.0	-0.0001
-0.396	-0.00014	0.08257372	-0.396	0.0	0.0
-0.396	-0.00015	0.07397552	-0.396	-0.0	0.0001
-0.396	-0.00016	0.08388611	-0.396	0.0	0.0001
-0.396	-0.00017	0.07166198	-0.396	0.0	-0.0
-0.396	-0.00018	0.07537222	-0.396	-0.0	-0.0
-0.396	-0.00019	0.07721398	-0.396	0.0	-0.0
-0.396	-0.0002	0.07978417	-0.396	-0.0	0.0
-0.396	-0.00021	0.0826769	-0.396	0.0	-0.0
-0.396	-0.00022	0.08401793	-0.396	-0.0	-0.0001
-0.396	-0.00023	0.07432253	-0.396	-0.0	-0.0
-0.396	-0.00024	0.07133357	-0.396	-0.0	0.0001
-0.396	-0.00025	0.08099176	-0.396	0.0	0.0001
-0.396	-0.00026	0.07140954	-0.396	0.0	-0.0
-0.396	-0.00027	0.07766292	-0.396	0.0	-0.0
-0.396	-0.00028	0.071365	-0.396	0.0	0.0
-0.396	-0.00029	0.07512143	-0.396	0.0	0.0
-0.396	-0.0003	0.07661731	-0.396	0.0	0.0
-0.396	-0.00031	0.07780488	-0.396	0.0	-0.0
-0.396	-0.00032	0.07665459	-0.396	0.0	-0.0001
