Initial Temperature (K)	0.0250793
Excitation Current (A)	1.039e-06
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.04	-0.001	0.05951036	-0.04	-0.0	0.0
-0.04	-0.000975	0.04274761	-0.04	0.0	0.0
-0.04	-0.00095	0.04279785	-0.04	-0.0	0.0001
-0.04	-0.000925	0.0468801	-0.04	0.0	-0.0
-0.04	-0.0009	0.04212733	-0.04	0.0	0.0001
-0.04	-0.000875	0.047305	-0.04	-0.0	0.0
-0.04	-0.00085	0.04716332	-0.04	-0.0	0.0
-0.04	-0.000825	0.03783174	-0.04	0.0	-0.0001
-0.04	-0.0008	0.04381613	-0.04	-0.0	-0.0
-0.04	-0.000775	0.03556572	-0.04	-0.0	-0.0001
-0.04	-0.00075	0.03568584	-0.04	-0.0	-0.0
-0.04	-0.000725	0.04777821	-0.04	-0.0	-0.0
-0.04	-0.0007	0.04291797	-0.04	0.0	-0.0
-0.04	-0.000675	0.03964076	-0.04	0.0	-0.0
-0.04	-0.00065	0.04508186	-0.04	-0.0	-0.0
-0.04	-0.000625	0.04397032	-0.04	-0.0	0.0
-0.04	-0.0006	0.04346655	-0.04	-0.0	-0.0
-0.04	-0.000575	0.04583844	-0.04	0.0	0.0
-0.04	-0.00055	0.03915132	-0.04	-0.0	-0.0
-0.04	-0.000525	0.03842521	-0.04	-0.0	0.0001
-0.04	-0.0005	0.04263827	-0.04	0.0	0.0
-0.04	-0.000475	0.04104264	-0.04	0.0	-0.0
-0.04	-0.00045	0.04262037	-0.04	0.0	-0.0
-0.04	-0.000425	0.04519125	-0.04	0.0	0.0
-0.04	-0.0004	0.04094225	-0.04	-0.0	-0.0
-0.04	-0.000375	0.04168092	-0.04	0.0	0.0
-0.04	-0.00035	0.04628302	-0.04	0.0	-0.0
-0.04	-0.000325	0.04552827	-0.04	-0.0	0.0001
-0.04	-0.0003	0.03622903	-0.04	0.0	0.0001
-0.04	-0.000275	0.0473498	-0.04	-0.0	0.0
-0.04	-0.00025	0.04304704	-0.04	0.0	0.0001
-0.04	-0.000225	0.04109288	-0.04	0.0	0.0
-0.04	-0.0002	0.04618446	-0.04	0.0	0.0
-0.04	-0.000175	0.04655016	-0.04	0.0	0.0001
-0.04	-0.00015	0.03835707	-0.04	-0.0	0.0
-0.04	-0.000125	0.04818877	-0.04	-0.0	-0.0
-0.04	-0.0001	0.03861521	-0.04	0.0	-0.0001
-0.04	-7.5e-05	0.03844321	-0.04	0.0	-0.0
-0.04	-5e-05	0.04344504	-0.04	0.0	-0.0
-0.04	-2.5e-05	0.04079349	-0.04	0.0	0.0
-0.04	0.0	0.03494183	-0.04	-0.0	0.0
-0.04	2.5e-05	0.03910464	-0.04	0.0	0.0
-0.04	5e-05	0.04639779	-0.04	-0.0	-0.0
-0.04	7.5e-05	0.04219013	-0.04	0.0	-0.0
-0.04	0.0001	0.04688722	-0.04	0.0	-0.0
-0.04	0.000125	0.04205206	-0.04	0.0	0.0
-0.04	0.00015	0.04263298	-0.04	-0.0	0.0001
-0.04	0.000175	0.04414424	-0.04	0.0	0.0
-0.04	0.0002	0.04126863	-0.04	-0.0	-0.0001
-0.04	0.000225	0.04492589	-0.04	0.0	-0.0
-0.04	0.00025	0.04169348	-0.04	-0.0	0.0
-0.04	0.000275	0.0430829	-0.04	-0.0	0.0001
-0.04	0.0003	0.0410319	-0.04	0.0	0.0001
-0.04	0.000325	0.04051923	-0.04	0.0	0.0
-0.04	0.00035	0.04325504	-0.04	0.0	0.0
-0.04	0.000375	0.0425092	-0.04	0.0	-0.0
-0.04	0.0004	0.04391835	-0.04	0.0	0.0
-0.04	0.000425	0.04478609	-0.04	0.0	-0.0
-0.04	0.00045	0.04189608	-0.04	0.0	-0.0
-0.04	0.000475	0.03737469	-0.04	0.0	-0.0
-0.04	0.0005	0.04251103	-0.04	0.0	-0.0
-0.04	0.000525	0.03819753	-0.04	0.0	0.0001
-0.04	0.00055	0.04394342	-0.04	-0.0	0.0
-0.04	0.000575	0.04788399	-0.04	-0.0	0.0
-0.04	0.0006	0.0403955	-0.04	0.0	0.0
-0.04	0.000625	0.03847902	-0.04	-0.0	-0.0
-0.04	0.00065	0.04444729	-0.04	0.0	0.0
-0.04	0.000675	0.04537952	-0.04	0.0	0.0001
-0.04	0.0007	0.04662547	-0.04	-0.0	0.0
-0.04	0.000725	0.04494557	-0.04	0.0	0.0001
-0.04	0.00075	0.03876223	-0.04	-0.0	-0.0001
-0.04	0.000775	0.03868875	-0.04	0.0	-0.0
-0.04	0.0008	0.04001368	-0.04	0.0	0.0
-0.04	0.000825	0.04046364	-0.04	-0.0	0.0001
-0.04	0.00085	0.04345582	-0.04	0.0	0.0001
-0.04	0.000875	0.03883399	-0.04	0.0	0.0001
-0.04	0.0009	0.03937	-0.04	-0.0	-0.0
-0.04	0.000925	0.03887518	-0.04	-0.0	0.0
-0.04	0.00095	0.04239086	-0.04	0.0	-0.0
-0.04	0.000975	0.03943459	-0.04	0.0	-0.0
-0.04	0.001	0.04353291	-0.04	0.0	0.0
-0.0392	-0.001	0.05795241	-0.0392	-0.0	0.0
-0.0392	-0.000975	0.04437014	-0.0392	0.0	0.0
-0.0392	-0.00095	0.03846829	-0.0392	-0.0	0.0
-0.0392	-0.000925	0.03985048	-0.0392	0.0	0.0
-0.0392	-0.0009	0.04165945	-0.0392	-0.0	-0.0
-0.0392	-0.000875	0.04529342	-0.0392	0.0	0.0
-0.0392	-0.00085	0.04842727	-0.0392	0.0	0.0
-0.0392	-0.000825	0.03964432	-0.0392	-0.0	0.0
-0.0392	-0.0008	0.04117002	-0.0392	-0.0	0.0
-0.0392	-0.000775	0.04113239	-0.0392	0.0	-0.0
-0.0392	-0.00075	0.04394703	-0.0392	0.0	-0.0
-0.0392	-0.000725	0.04141021	-0.0392	0.0	-0.0
-0.0392	-0.0007	0.044397	-0.0392	0.0	-0.0
-0.0392	-0.000675	0.04615399	-0.0392	-0.0	0.0
-0.0392	-0.00065	0.04414785	-0.0392	-0.0	0.0
-0.0392	-0.000625	0.04547991	-0.0392	0.0	0.0001
-0.0392	-0.0006	0.04286956	-0.0392	0.0	0.0
-0.0392	-0.000575	0.04365125	-0.0392	0.0	0.0
-0.0392	-0.00055	0.04266512	-0.0392	0.0	0.0
-0.0392	-0.000525	0.04609663	-0.0392	0.0	-0.0001
-0.0392	-0.0005	0.04547986	-0.0392	-0.0	-0.0
-0.0392	-0.000475	0.04829815	-0.0392	0.0	0.0001
-0.0392	-0.00045	0.05864994	-0.0392	0.0	0.0
-0.0392	-0.000425	0.05896896	-0.0392	-0.0	-0.0
-0.0392	-0.0004	0.07650263	-0.0392	0.0	-0.0
-0.0392	-0.000375	0.11199106	-0.0392	-0.0	-0.0
-0.0392	-0.00035	0.12023641	-0.0392	0.0	0.0
-0.0392	-0.000325	0.120292	-0.0392	-0.0	0.0001
-0.0392	-0.0003	0.1021701	-0.0392	0.0	-0.0
-0.0392	-0.000275	0.07013997	-0.0392	-0.0	0.0
-0.0392	-0.00025	0.01469383	-0.0392	-0.0	-0.0
-0.0392	-0.000225	-0.00052171	-0.0392	0.0	0.0
-0.0392	-0.0002	-0.00081214	-0.0392	-0.0	0.0001
-0.0392	-0.000175	-0.00125855	-0.0392	0.0	0.0001
-0.0392	-0.00015	-0.00191292	-0.0392	-0.0	0.0
-0.0392	-0.000125	-0.00254937	-0.0392	-0.0	-0.0
-0.0392	-0.0001	0.0010219	-0.0392	0.0	0.0
-0.0392	-7.5e-05	0.00202946	-0.0392	-0.0	0.0
-0.0392	-5e-05	-0.00043924	-0.0392	0.0	-0.0001
-0.0392	-2.5e-05	-0.00141094	-0.0392	-0.0	-0.0
-0.0392	0.0	-0.00126393	-0.0392	0.0	-0.0
-0.0392	2.5e-05	-0.00075298	-0.0392	0.0	0.0
-0.0392	5e-05	7.171e-05	-0.0392	0.0	-0.0001
-0.0392	7.5e-05	-0.00321629	-0.0392	-0.0	-0.0
-0.0392	0.0001	-0.00398182	-0.0392	0.0	-0.0
-0.0392	0.000125	-0.00192727	-0.0392	0.0	-0.0
-0.0392	0.00015	3.944e-05	-0.0392	0.0	0.0001
-0.0392	0.000175	-0.00031374	-0.0392	-0.0	0.0
-0.0392	0.0002	0.0008964	-0.0392	0.0	0.0
-0.0392	0.000225	0.01213908	-0.0392	-0.0	-0.0
-0.0392	0.00025	0.02713591	-0.0392	0.0	0.0
-0.0392	0.000275	0.08365588	-0.0392	0.0	0.0
-0.0392	0.0003	0.11089564	-0.0392	0.0	-0.0
-0.0392	0.000325	0.10900779	-0.0392	0.0	-0.0001
-0.0392	0.00035	0.10788557	-0.0392	-0.0	-0.0001
-0.0392	0.000375	0.07733625	-0.0392	0.0	-0.0
-0.0392	0.0004	0.07046631	-0.0392	0.0	0.0
-0.0392	0.000425	0.05186398	-0.0392	-0.0	0.0
-0.0392	0.00045	0.05459088	-0.0392	-0.0	0.0
-0.0392	0.000475	0.04727271	-0.0392	-0.0	-0.0
-0.0392	0.0005	0.04515001	-0.0392	0.0	-0.0
-0.0392	0.000525	0.04825152	-0.0392	0.0	0.0001
-0.0392	0.00055	0.0502721	-0.0392	0.0	-0.0
-0.0392	0.000575	0.05007118	-0.0392	0.0	-0.0
-0.0392	0.0006	0.04903678	-0.0392	0.0	0.0
-0.0392	0.000625	0.0458331	-0.0392	-0.0	0.0
-0.0392	0.00065	0.05037605	-0.0392	-0.0	0.0
-0.0392	0.000675	0.04290724	-0.0392	-0.0	-0.0
-0.0392	0.0007	0.04248052	-0.0392	0.0	0.0
-0.0392	0.000725	0.04828016	-0.0392	-0.0	0.0
-0.0392	0.00075	0.0391531	-0.0392	0.0	0.0001
-0.0392	0.000775	0.03976088	-0.0392	-0.0	0.0
-0.0392	0.0008	0.0440941	-0.0392	-0.0	0.0001
-0.0392	0.000825	0.04615751	-0.0392	0.0	0.0
-0.0392	0.00085	0.0430829	-0.0392	-0.0	-0.0
-0.0392	0.000875	0.04250742	-0.0392	0.0	0.0
-0.0392	0.0009	0.04325682	-0.0392	0.0	-0.0001
-0.0392	0.000925	0.0412399	-0.0392	0.0	-0.0001
-0.0392	0.00095	0.044397	-0.0392	0.0	0.0
-0.0392	0.000975	0.04313309	-0.0392	0.0	0.0
-0.0392	0.001	0.0428158	-0.0392	-0.0	-0.0
-0.0384	-0.001	0.04974494	-0.0384	0.0	0.0
-0.0384	-0.000975	0.04246795	-0.0384	0.0	0.0
-0.0384	-0.00095	0.04004231	-0.0384	0.0	0.0
-0.0384	-0.000925	0.03900074	-0.0384	0.0	-0.0
-0.0384	-0.0009	0.03938256	-0.0384	-0.0	0.0
-0.0384	-0.000875	0.03902403	-0.0384	-0.0	0.0
-0.0384	-0.00085	0.04703064	-0.0384	0.0	0.0001
-0.0384	-0.000825	0.04000468	-0.0384	0.0	-0.0
-0.0384	-0.0008	0.03647649	-0.0384	0.0	0.0001
-0.0384	-0.000775	0.04003875	-0.0384	0.0	0.0
-0.0384	-0.00075	0.03691924	-0.0384	-0.0	0.0
-0.0384	-0.000725	0.04444363	-0.0384	0.0	-0.0
-0.0384	-0.0007	0.04011224	-0.0384	0.0	-0.0
-0.0384	-0.000675	0.04262932	-0.0384	0.0	-0.0
-0.0384	-0.00065	0.03773322	-0.0384	0.0	0.0001
-0.0384	-0.000625	0.04652148	-0.0384	0.0	0.0
-0.0384	-0.0006	0.04363686	-0.0384	0.0	0.0001
-0.0384	-0.000575	0.04191582	-0.0384	-0.0	0.0001
-0.0384	-0.00055	0.04001358	-0.0384	-0.0	-0.0001
-0.0384	-0.000525	0.04452077	-0.0384	0.0	-0.0
-0.0384	-0.0005	0.04140304	-0.0384	0.0	-0.0
-0.0384	-0.000475	0.04504245	-0.0384	-0.0	-0.0
-0.0384	-0.00045	0.04607512	-0.0384	0.0	-0.0
-0.0384	-0.000425	0.04725115	-0.0384	0.0	0.0001
-0.0384	-0.0004	0.04869076	-0.0384	0.0	0.0
-0.0384	-0.000375	0.04857247	-0.0384	-0.0	0.0
-0.0384	-0.00035	0.053379	-0.0384	-0.0	-0.0
-0.0384	-0.000325	0.04563583	-0.0384	0.0	-0.0001
-0.0384	-0.0003	0.0458277	-0.0384	0.0	-0.0
-0.0384	-0.000275	0.05793273	-0.0384	0.0	-0.0001
-0.0384	-0.00025	0.05691623	-0.0384	0.0	-0.0
-0.0384	-0.000225	0.06881865	-0.0384	0.0	0.0001
-0.0384	-0.0002	0.08415431	-0.0384	0.0	0.0
-0.0384	-0.000175	0.0740662	-0.0384	-0.0	0.0
-0.0384	-0.00015	0.0576692	-0.0384	0.0	-0.0
-0.0384	-0.000125	0.03871204	-0.0384	-0.0	-0.0
-0.0384	-0.0001	0.01814499	-0.0384	0.0	-0.0
-0.0384	-7.5e-05	0.00581766	-0.0384	0.0	0.0
-0.0384	-5e-05	0.0003747	-0.0384	-0.0	0.0
-0.0384	-2.5e-05	-0.00047689	-0.0384	-0.0	-0.0
-0.0384	0.0	6.633e-05	-0.0384	-0.0	-0.0
-0.0384	2.5e-05	-0.00301371	-0.0384	-0.0	-0.0
-0.0384	5e-05	-0.00165296	-0.0384	0.0	0.0001
-0.0384	7.5e-05	0.00199718	-0.0384	0.0	-0.0
-0.0384	0.0001	0.00038366	-0.0384	0.0	-0.0001
-0.0384	0.000125	0.01594881	-0.0384	0.0	-0.0
-0.0384	0.00015	0.04265439	-0.0384	0.0	0.0001
-0.0384	0.000175	0.06792945	-0.0384	-0.0	-0.0
-0.0384	0.0002	0.08633611	-0.0384	-0.0	-0.0
-0.0384	0.000225	0.08698151	-0.0384	-0.0	-0.0
-0.0384	0.00025	0.07882432	-0.0384	0.0	-0.0
-0.0384	0.000275	0.05745225	-0.0384	0.0	-0.0
-0.0384	0.0003	0.05005322	-0.0384	-0.0	0.0
-0.0384	0.000325	0.05108238	-0.0384	0.0	0.0001
-0.0384	0.00035	0.04996901	-0.0384	-0.0	-0.0
-0.0384	0.000375	0.04080244	-0.0384	0.0	-0.0001
-0.0384	0.0004	0.04876073	-0.0384	0.0	0.0001
-0.0384	0.000425	0.04547447	-0.0384	-0.0	-0.0
-0.0384	0.00045	0.04619158	-0.0384	-0.0	0.0
-0.0384	0.000475	0.04199469	-0.0384	-0.0	-0.0
-0.0384	0.0005	0.04227435	-0.0384	0.0	-0.0
-0.0384	0.000525	0.04188531	-0.0384	0.0	-0.0
-0.0384	0.00055	0.0425182	-0.0384	-0.0	-0.0001
-0.0384	0.000575	0.0446677	-0.0384	0.0	-0.0
-0.0384	0.0006	0.0476079	-0.0384	0.0	-0.0
-0.0384	0.000625	0.03961385	-0.0384	0.0	0.0
-0.0384	0.00065	0.04162533	-0.0384	0.0	0.0
-0.0384	0.000675	0.04253605	-0.0384	0.0	0.0
-0.0384	0.0007	0.04300763	-0.0384	-0.0	0.0001
-0.0384	0.000725	0.04059633	-0.0384	0.0	0.0001
-0.0384	0.00075	0.03770098	-0.0384	0.0	0.0
-0.0384	0.000775	0.04306138	-0.0384	0.0	-0.0001
-0.0384	0.0008	0.04292331	-0.0384	0.0	-0.0001
-0.0384	0.000825	0.04618258	-0.0384	-0.0	0.0
-0.0384	0.00085	0.04859576	-0.0384	0.0	0.0
-0.0384	0.000875	0.03829258	-0.0384	0.0	0.0
-0.0384	0.0009	0.04459599	-0.0384	-0.0	0.0
-0.0384	0.000925	0.03783183	-0.0384	-0.0	0.0
-0.0384	0.00095	0.03743023	-0.0384	-0.0	-0.0
-0.0384	0.000975	0.04158236	-0.0384	-0.0	-0.0001
-0.0384	0.001	0.03943815	-0.0384	0.0	-0.0001
