Initial Temperature (K)	0.0248969
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.02	-0.0002	0.18969316	-0.02	-0.0	0.0001
-0.02	-0.000199	0.19032408	-0.02	-0.0	0.0001
-0.02	-0.000198	0.19147147	-0.02	-0.0	0.0001
-0.02	-0.000197	0.19663476	-0.02	-0.0	0.0001
-0.02	-0.000196	0.19181571	-0.02	0.0	0.0001
-0.02	-0.000195	0.19270492	-0.02	-0.0	0.0001
-0.02	-0.000194	0.19072568	-0.02	0.0	0.0
-0.02	-0.000193	0.1983558	-0.02	0.0	0.0001
-0.02	-0.000192	0.19193054	-0.02	0.0	0.0001
-0.02	-0.000191	0.19129943	-0.02	0.0	0.0001
-0.02	-0.00019	0.19287706	-0.02	0.0	0.0001
-0.02	-0.000189	0.190525	-0.02	-0.0	0.0
-0.02	-0.000188	0.19723714	-0.02	-0.0	0.0001
-0.02	-0.000187	0.19333603	-0.02	-0.0	0.0001
-0.02	-0.000186	0.19299179	-0.02	-0.0	0.0001
-0.02	-0.000185	0.19350812	-0.02	0.0	0.0001
-0.02	-0.000184	0.19129938	-0.02	0.0	0.0002
-0.02	-0.000183	0.19115596	-0.02	0.0	0.0001
-0.02	-0.000182	0.19281969	-0.02	-0.0	0.0002
-0.02	-0.000181	0.19181571	-0.02	0.0	0.0001
-0.02	-0.00018	0.19350812	-0.02	0.0	0.0001
-0.02	-0.000179	0.19084046	-0.02	0.0	0.0001
-0.02	-0.000178	0.19333603	-0.02	-0.0	0.0
-0.02	-0.000177	0.19281969	-0.02	-0.0	0.0001
-0.02	-0.000176	0.19809766	-0.02	0.0	0.0001
-0.02	-0.000175	0.19565955	-0.02	0.0	0.0001
-0.02	-0.000174	0.19359417	-0.02	-0.0	0.0001
-0.02	-0.000173	0.19184439	-0.02	0.0	0.0001
-0.02	-0.000172	0.19652003	-0.02	0.0	0.0001
-0.02	-0.000171	0.19052495	-0.02	-0.0	0.0001
-0.02	-0.00017	0.19324998	-0.02	0.0	0.0001
-0.02	-0.000169	0.19138547	-0.02	-0.0	0.0001
-0.02	-0.000168	0.19462679	-0.02	0.0	0.0001
-0.02	-0.000167	0.19594633	-0.02	0.0	0.0001
-0.02	-0.000166	0.18880381	-0.02	0.0	0.0001
-0.02	-0.000165	0.19155757	-0.02	0.0	0.0001
-0.02	-0.000164	0.18995116	-0.02	0.0	0.0001
-0.02	-0.000163	0.19172966	-0.02	0.0	0.0001
-0.02	-0.000162	0.19058232	-0.02	-0.0	0.0001
-0.02	-0.000161	0.19416782	-0.02	-0.0	0.0001
-0.02	-0.00016	0.19193049	-0.02	0.0	0.0001
-0.02	-0.000159	0.19626184	-0.02	-0.0	0.0001
-0.02	-0.000158	0.1951718	-0.02	-0.0	0.0001
-0.02	-0.000157	0.19172971	-0.02	0.0	0.0001
-0.02	-0.000156	0.19597506	-0.02	-0.0	0.0001
-0.02	-0.000155	0.19207395	-0.02	-0.0	0.0001
-0.02	-0.000154	0.19362285	-0.02	0.0	0.0001
-0.02	-0.000153	0.19152889	-0.02	0.0	0.0001
-0.02	-0.000152	0.19241819	-0.02	0.0	0.0001
-0.02	-0.000151	0.19236077	-0.02	0.0	0.0001
-0.02	-0.00015	0.18843094	-0.02	0.0	0.0001
-0.02	-0.000149	0.1950858	-0.02	0.0	0.0001
-0.02	-0.000148	0.19416787	-0.02	-0.0	0.0001
-0.02	-0.000147	0.19081173	-0.02	-0.0	0.0001
-0.02	-0.000146	0.19617574	-0.02	0.0	0.0001
-0.02	-0.000145	0.19525785	-0.02	-0.0	0.0002
-0.02	-0.000144	0.19497103	-0.02	-0.0	0.0001
-0.02	-0.000143	0.1931352	-0.02	0.0	0.0001
-0.02	-0.000142	0.19250414	-0.02	-0.0	0.0001
-0.02	-0.000141	0.19129933	-0.02	-0.0	0.0001
-0.02	-0.00014	0.19522917	-0.02	0.0	0.0001
-0.02	-0.000139	0.19511444	-0.02	0.0	0.0001
-0.02	-0.000138	0.19000857	-0.02	0.0	0.0001
-0.02	-0.000137	0.18980784	-0.02	-0.0	0.0001
-0.02	-0.000136	0.1878286	-0.02	-0.0	0.0001
-0.02	-0.000135	0.19540131	-0.02	0.0	0.0001
-0.02	-0.000134	0.18768514	-0.02	0.0	0.0001
-0.02	-0.000133	0.19000857	-0.02	-0.0	0.0001
-0.02	-0.000132	0.19032412	-0.02	-0.0	0.0001
-0.02	-0.000131	0.19150015	-0.02	0.0	0.0001
-0.02	-0.00013	0.18975043	-0.02	0.0	0.0001
-0.02	-0.000129	0.19405314	-0.02	-0.0	0.0001
-0.02	-0.000128	0.1946841	-0.02	-0.0	0.0001
-0.02	-0.000127	0.19281965	-0.02	-0.0	0.0001
-0.02	-0.000126	0.19522922	-0.02	0.0	0.0001
-0.02	-0.000125	0.192246	-0.02	0.0	0.0
