Initial Temperature (K)	0.0499923
Excitation Current (A)	2e-09
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Keithley Error Code	Average Phase	Lock-In Locked
-0.022	-3.5e-07	0.582082	-0.022	0.0	0.0	True	None	29.0598	True
-0.022	-3.45e-07	2.1653355	-0.022	0.0	0.0	True	None	12.192	True
-0.022	-3.4e-07	0.139694	-0.022	0.0	-0.0	True	None	-16.0266	True
-0.022	-3.35e-07	-0.5587985	-0.022	-0.0	0.0	True	None	32.4684	True
-0.022	-3.3e-07	0.884764	-0.022	0.0	0.0	True	None	20.577	True
-0.022	-3.25e-07	-0.8847615	-0.022	0.0	0.0	True	None	-32.0688	True
-0.022	-3.2e-07	2.1187665	-0.022	0.0	0.0	True	None	-12.7392	True
-0.022	-3.15e-07	0.698496	-0.022	0.0	0.0	True	None	29.1138	True
-0.022	-3.1e-07	0.7217765	-0.022	0.0	0.0	True	None	-11.7066	True
-0.022	-3.05e-07	-0.721778	-0.022	0.0	0.0	True	None	57.9582	True
-0.022	-3e-07	-2.561148	-0.022	0.0	0.0	True	None	55.0266	True
-0.022	-2.95e-07	2.235189	-0.022	-0.0	0.0	True	None	-19.044	True
-0.022	-2.9e-07	4.9826075	-0.022	-0.0	0.0	True	None	0.2856	True
-0.022	-2.85e-07	-0.186263	-0.022	0.0	0.0	True	None	55.9626	True
-0.022	-2.8e-07	-1.16416675	-0.022	0.0	0.0	True	None	-31.278	True
-0.022	-2.75e-07	-1.3038615	-0.022	-0.0	0.0	True	None	39.1806	True
-0.022	-2.7e-07	-1.2340085	-0.022	0.0	0.0	True	None	-26.1	True
-0.022	-2.65e-07	1.14088075	-0.022	0.0	0.0	True	None	32.9232	True
-0.022	-2.6e-07	0.48894325	-0.022	0.0	0.0	True	None	34.7352	True
-0.022	-2.55e-07	-0.814913	-0.022	0.0	0.0	True	None	34.011	True
-0.022	-2.5e-07	2.81726425	-0.022	0.0	0.0	True	None	31.8924	True
-0.022	-2.45e-07	-0.8847545	-0.022	-0.0	0.0	True	None	-33.4278	True
-0.022	-2.4e-07	-0.698494	-0.022	0.0	-0.0	True	None	61.6734	True
-0.022	-2.35e-07	-1.373708	-0.022	0.0	-0.0	True	None	-13.3944	True
-0.022	-2.3e-07	1.2572925	-0.022	0.0	0.0	True	None	5.7552	True
-0.022	-2.25e-07	14.9012775	-0.022	0.0	0.0	True	None	59.2434	True
-0.022	-2.2e-07	0.372533	-0.022	0.0	0.0	True	None	71.5254	True
-0.022	-2.15e-07	-4.959321	-0.022	0.0	0.0	True	None	-39.9606	True
-0.022	-2.1e-07	-2.3516105	-0.022	0.0	0.0	True	None	-29.2362	True
-0.022	-2.05e-07	-2.4913025	-0.022	0.0	0.0	True	None	31.5582	True
-0.022	-2e-07	-1.350426	-0.022	0.0	-0.0	True	None	8.262	True
-0.022	-1.95e-07	-0.1862685	-0.022	0.0	0.0	True	None	38.3154	True
-0.022	-1.9e-07	0.7683475	-0.022	0.0	0.0	True	None	16.4604	True
-0.022	-1.85e-07	0.5122305	-0.022	-0.0	0.0	True	None	5.163	True
-0.022	-1.8e-07	-1.024459	-0.022	0.0	0.0	True	None	26.4324	True
-0.022	-1.75e-07	3.8882905	-0.022	0.0	-0.0	True	None	-4.8264	True
-0.022	-1.7e-07	7.008245	-0.022	-0.0	0.0	True	None	-11.0526	True
-0.022	-1.65e-07	-2.2817535	-0.022	0.0	0.0	True	None	92.1972	True
-0.022	-1.6e-07	-3.21307625	-0.022	0.0	-0.0	True	None	7.9584	True
-0.022	-1.55e-07	-1.583256	-0.022	0.0	-0.0	True	None	-2.8752	True
-0.022	-1.5e-07	1.90922725	-0.022	-0.0	0.0	True	None	-39.2616	True
-0.022	-1.45e-07	5.56468775	-0.022	0.0	0.0	True	None	37.7406	True
-0.022	-1.4e-07	-5.215438	-0.022	0.0	0.0	True	None	40.59	True
-0.022	-1.35e-07	2.18862	-0.022	0.0	-0.0	True	None	18.5058	True
-0.022	-1.3e-07	-3.9814245	-0.022	0.0	0.0	True	None	1.1586	True
-0.022	-1.25e-07	1.210755	-0.022	0.0	0.0	True	None	12.6552	True
-0.022	-1.2e-07	12.549673	-0.022	0.0	0.0	True	None	52.7028	True
-0.022	-1.15e-07	-32.59648	-0.022	0.0	0.0	True	None	87.4158	True
-0.022	-1.1e-07	-3.632181	-0.022	-0.0	0.0	True	None	-35.1858	True
-0.022	-1.05e-07	-2.84059	-0.022	-0.0	0.0	True	None	-2.5002	True
-0.022	-1e-07	-11.29237	-0.022	0.0	-0.0	True	None	-8.7456	True
-0.022	-9.5e-08	2.537867	-0.022	-0.0	0.0	True	None	-8.0238	True
-0.022	-9e-08	-4.1676915	-0.022	0.0	-0.0	True	None	48.8136	True
-0.022	-8.5e-08	-53.57460525	-0.022	0.0	-0.0	True	None	-28.0464	True
-0.022	-8e-08	-4.3539565	-0.022	-0.0	0.0	True	None	53.622	True
-0.022	-7.5e-08	-1.74624	-0.022	-0.0	0.0	True	None	-18.3654	True
-0.022	-7e-08	-0.6984965	-0.022	0.0	-0.0	True	None	26.5866	True
-0.022	-6.5e-08	1.6996745	-0.022	0.0	0.0	True	None	-17.2758	True
-0.022	-6e-08	-4.167699	-0.022	0.0	0.0	True	None	23.2026	True
-0.022	-5.5e-08	15.297061	-0.022	-0.0	0.0	True	None	-18.8448	True
-0.022	-5e-08	-3.00353275	-0.022	0.0	-0.0	True	None	22.6914	True
-0.022	-4.5e-08	0.9546125	-0.022	0.0	0.0	True	None	16.8456	True
-0.022	-4e-08	-2.56115	-0.022	0.0	-0.0	True	None	59.4072	True
-0.022	-3.5e-08	-1.1408745	-0.022	0.0	0.0	True	None	2.4462	True
-0.022	-3e-08	-0.046566	-0.022	0.0	0.0	True	None	46.5846	True
-0.022	-2.5e-08	-3.28292925	-0.022	-0.0	0.0	True	None	21.2184	True
-0.022	-2e-08	0.931327	-0.022	0.0	0.0	True	None	15.531	True
-0.022	-1.5e-08	5.37842	-0.022	-0.0	0.0	True	None	37.7124	True
-0.022	-1e-08	-4.8894535	-0.022	0.0	-0.0	True	None	94.0524	True
-0.022	-5e-09	-7.73002225	-0.022	0.0	0.0	True	None	-48.987	True
-0.022	0.0	2.770692	-0.022	-0.0	0.0	True	None	2.6946	True
-0.022	5e-09	0.3026825	-0.022	0.0	0.0	True	None	68.3268	True
-0.022	1e-08	5.19216	-0.022	0.0	-0.0	True	None	-6.7944	True
-0.022	1.5e-08	-16.4146145	-0.022	0.0	0.0	True	None	21.8946	True
-0.022	2e-08	-4.4470945	-0.022	-0.0	0.0	True	None	-72.7776	True
-0.022	2.5e-08	-1.8626565	-0.022	0.0	0.0	True	None	2.847	True
-0.022	3e-08	-0.325966	-0.022	0.0	-0.0	True	None	60.402	True
-0.022	3.5e-08	-1.420273	-0.022	0.0	0.0	True	None	47.166	True
-0.022	4e-08	-1.04774625	-0.022	0.0	0.0	True	None	-33.6714	True
-0.022	4.5e-08	1.350426	-0.022	-0.0	0.0	True	None	38.5476	True
-0.022	5e-08	0.39581125	-0.022	0.0	0.0	True	None	-18.4428	True
-0.022	5.5e-08	-1.65311075	-0.022	0.0	0.0	True	None	-28.1124	True
-0.022	6e-08	-0.1862655	-0.022	-0.0	0.0	True	None	38.3586	True
-0.022	6.5e-08	-1.862653	-0.022	-0.0	0.0	True	None	-27.708	True
-0.022	7e-08	2.3515935	-0.022	0.0	0.0	True	None	22.9938	True
-0.022	7.5e-08	6.26318	-0.022	0.0	-0.0	True	None	4.1028	True
-0.022	8e-08	6.1234835	-0.022	0.0	0.0	True	None	4.8708	True
-0.022	8.5e-08	12.875622	-0.022	0.0	0.0	True	None	10.9122	True
-0.022	9e-08	12.782501	-0.022	-0.0	-0.0	True	None	-32.4678	True
-0.022	9.5e-08	19.115495	-0.022	0.0	0.0	True	None	2.6982	True
-0.022	1e-07	35.2041785	-0.022	-0.0	0.0	True	None	31.4154	True
-0.022	1.05e-07	9.59269525	-0.022	0.0	0.0	True	None	6.4728	True
-0.022	1.1e-07	0.81490975	-0.022	0.0	0.0	True	None	11.3364	True
-0.022	1.15e-07	-0.20954825	-0.022	0.0	0.0	True	None	-24.1452	True
-0.022	1.2e-07	0.488953	-0.022	0.0	0.0	True	None	16.071	True
-0.022	1.25e-07	0.9080455	-0.022	-0.0	0.0	True	None	-64.2678	True
-0.022	1.3e-07	-0.7683435	-0.022	0.0	0.0	True	None	-22.6236	True
-0.022	1.35e-07	-2.444735	-0.022	0.0	-0.0	True	None	-39.1086	True
-0.022	1.4e-07	0.83818825	-0.022	0.0	-0.0	True	None	20.403	True
-0.022	1.45e-07	-55.111351	-0.022	-0.0	-0.0	True	None	-20.4522	True
-0.022	1.5e-07	8.05599	-0.022	0.0	0.0	True	None	44.6304	True
-0.022	1.55e-07	4.56352	-0.022	0.0	0.0	True	None	25.8264	True
-0.022	1.6e-07	11.4553195	-0.022	0.0	0.0	True	None	46.08	True
-0.022	1.65e-07	2.188618	-0.022	-0.0	0.0	True	None	-63.1632	True
-0.022	1.7e-07	1.97907175	-0.022	0.0	0.0	True	None	-74.6988	True
-0.022	1.75e-07	-2.6775685	-0.022	0.0	0.0	True	None	-18.9444	True
-0.022	1.8e-07	-3.282933	-0.022	0.0	0.0	True	None	-5.4156	True
-0.022	1.85e-07	7.823151	-0.022	-0.0	0.0	True	None	-11.811	True
-0.022	1.9e-07	1.3969945	-0.022	0.0	0.0	True	None	-2.6952	True
-0.022	1.95e-07	-2.328321	-0.022	0.0	0.0	True	None	-77.9334	True
-0.022	2e-07	4.656642	-0.022	-0.0	-0.0	True	None	-40.4088	True
-0.022	2.05e-07	22.4216805	-0.022	0.0	-0.0	True	None	25.8	True
-0.022	2.1e-07	-0.1629785	-0.022	0.0	-0.0	True	None	-10.0356	True
-0.022	2.15e-07	9.639261	-0.022	0.0	0.0	True	None	47.8116	True
-0.022	2.2e-07	46.24044	-0.022	0.0	0.0	True	None	23.601	True
-0.022	2.25e-07	-8.754495	-0.022	-0.0	0.0	True	None	67.0704	True
-0.022	2.3e-07	-0.6053685	-0.022	-0.0	-0.0	True	None	-8.9868	True
-0.022	2.35e-07	-3.0268175	-0.022	0.0	0.0	True	None	47.907	True
-0.022	2.4e-07	-0.65192725	-0.022	0.0	0.0	True	None	5.4894	True
-0.022	2.45e-07	-2.700843	-0.022	-0.0	0.0	True	None	-17.0844	True
-0.022	2.5e-07	-6.984958	-0.022	-0.0	0.0	True	None	-23.529	True
-0.022	2.55e-07	-1.3737075	-0.022	0.0	-0.0	True	None	-77.2716	True
-0.022	2.6e-07	-5.168872	-0.022	-0.0	0.0	True	None	-87.3936	True
-0.022	2.65e-07	-3.5390465	-0.022	0.0	0.0	True	None	-41.7042	True
-0.022	2.7e-07	-1.2107245	-0.022	-0.0	0.0	True	None	78.1188	True
-0.022	2.75e-07	0.39582025	-0.022	0.0	0.0	True	None	-1.8414	True
-0.022	2.8e-07	-0.23283675	-0.022	0.0	0.0	True	None	20.1618	True
-0.022	2.85e-07	2.211904	-0.022	-0.0	-0.0	True	None	33.1464	True
-0.022	2.9e-07	-3.143231	-0.022	0.0	0.0	True	None	-11.9628	True
-0.022	2.95e-07	1.094309	-0.022	0.0	-0.0	True	None	39.9774	True
-0.022	3e-07	1.02446	-0.022	0.0	0.0	True	None	5.0958	True
-0.022	3.05e-07	-3.771878	-0.022	0.0	0.0	True	None	58.9602	True
-0.022	3.1e-07	-4.5635105	-0.022	0.0	0.0	True	None	16.746	True
-0.022	3.15e-07	3.6554615	-0.022	0.0	-0.0	True	None	14.3634	True
-0.022	3.2e-07	-4.470373	-0.022	0.0	0.0	True	None	9.5388	True
