Initial Temperature (K)	0.0500747
Resistor	1000000.0	Excitation Current (A)	1.351e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Compliance Pass
-0.005	-0.00013	0.4307392	-0.005	0.0	-0.0	True	True
-0.005	-0.000129	0.51013269	-0.005	0.0	-0.0	True	True
-0.005	-0.000128	0.41792018	-0.005	0.0	0.0	True	True
-0.005	-0.000127	0.52681081	-0.005	-0.0	0.0	True	True
-0.005	-0.000126	0.34583197	-0.005	0.0	0.0	True	True
-0.005	-0.000125	0.20964977	-0.005	0.0	-0.0	True	True
-0.005	-0.000124	0.31275101	-0.005	-0.0	0.0	True	True
-0.005	-0.000123	0.30213756	-0.005	-0.0	0.0	True	True
-0.005	-0.000122	0.29634817	-0.005	0.0	0.0	True	True
-0.005	-0.000121	0.54528084	-0.005	-0.0	0.0	True	True
-0.005	-0.00012	0.45168971	-0.005	0.0	0.0	True	True
-0.005	-0.000119	0.30158626	-0.005	0.0	-0.0	True	True
-0.005	-0.000118	0.38883707	-0.005	0.0	-0.0	True	True
-0.005	-0.000117	0.34541831	-0.005	-0.0	0.0	True	True
-0.005	-0.000116	0.37505309	-0.005	0.0	0.0	True	True
-0.005	-0.000115	0.43253037	-0.005	-0.0	0.0	True	True
-0.005	-0.000114	0.29276435	-0.005	0.0	-0.0	True	True
-0.005	-0.000113	0.33990494	-0.005	0.0	-0.0	True	True
-0.005	-0.000112	0.27691355	-0.005	-0.0	0.0	True	True
-0.005	-0.000111	0.54431625	-0.005	-0.0	0.0	True	True
-0.005	-0.00011	0.40482588	-0.005	0.0	0.0	True	True
-0.005	-0.000109	0.4738812	-0.005	0.0	-0.0	True	True
-0.005	-0.000108	0.30641043	-0.005	0.0	0.0	True	True
-0.005	-0.000107	0.35989086	-0.005	0.0	0.0	True	True
-0.005	-0.000106	0.47939531	-0.005	-0.0	0.0	True	True
-0.005	-0.000105	0.42729265	-0.005	-0.0	0.0	True	True
-0.005	-0.000104	0.45417093	-0.005	-0.0	-0.0	True	True
-0.005	-0.000103	0.3157839	-0.005	0.0	-0.0	True	True
-0.005	-0.000102	0.40813331	-0.005	0.0	0.0	True	True
-0.005	-0.000101	0.47195202	-0.005	0.0	0.0	True	True
-0.005	-0.0001	0.30075968	-0.005	0.0	0.0	True	True
-0.005	-9.9e-05	0.39586633	-0.005	0.0	0.0	True	True
-0.005	-9.8e-05	0.34624489	-0.005	0.0	0.0	True	True
-0.005	-9.7e-05	0.24190293	-0.005	-0.0	0.0	True	True
-0.005	-9.6e-05	0.46326812	-0.005	-0.0	-0.0	True	True
-0.005	-9.5e-05	0.3915932	-0.005	-0.0	-0.0	True	True
-0.005	-9.4e-05	0.50448094	-0.005	0.0	0.0	True	True
-0.005	-9.3e-05	0.35741001	-0.005	0.0	-0.0	True	True
-0.005	-9.2e-05	0.46850584	-0.005	0.0	0.0	True	True
-0.005	-9.1e-05	0.44176594	-0.005	0.0	0.0	True	True
-0.005	-9e-05	0.40317161	-0.005	-0.0	0.0	True	True
-0.005	-8.9e-05	0.46588698	-0.005	-0.0	0.0	True	True
-0.005	-8.8e-05	0.30985613	-0.005	-0.0	-0.0	True	True
-0.005	-8.7e-05	0.39448845	-0.005	0.0	0.0	True	True
-0.005	-8.6e-05	0.48862977	-0.005	-0.0	0.0	True	True
-0.005	-8.5e-05	0.33921637	-0.005	-0.0	0.0	True	True
-0.005	-8.4e-05	0.42412286	-0.005	0.0	0.0	True	True
-0.005	-8.3e-05	0.38621747	-0.005	0.0	0.0	True	True
-0.005	-8.2e-05	0.3349425	-0.005	-0.0	0.0	True	True
-0.005	-8.1e-05	0.32584568	-0.005	0.0	0.0	True	True
-0.005	-8e-05	0.37339882	-0.005	0.0	0.0	True	True
-0.005	-7.9e-05	0.48366844	-0.005	0.0	0.0	True	True
-0.005	-7.8e-05	0.29993236	-0.005	0.0	0.0	True	True
-0.005	-7.7e-05	0.47098706	-0.005	0.0	-0.0	True	True
-0.005	-7.6e-05	0.48821685	-0.005	0.0	-0.0	True	True
-0.005	-7.5e-05	0.51109765	-0.005	-0.0	0.0	True	True
-0.005	-7.4e-05	0.40262031	-0.005	0.0	0.0	True	True
-0.005	-7.3e-05	0.53687333	-0.005	-0.0	0.0	True	True
-0.005	-7.2e-05	0.42784395	-0.005	-0.0	0.0	True	True
-0.005	-7.1e-05	0.37863691	-0.005	0.0	0.0	True	True
-0.005	-7e-05	0.44659037	-0.005	0.0	0.0	True	True
-0.005	-6.9e-05	0.46450836	-0.005	0.0	-0.0	True	True
-0.005	-6.8e-05	0.52308935	-0.005	0.0	0.0	True	True
-0.005	-6.7e-05	0.33425356	-0.005	0.0	0.0	True	True
-0.005	-6.6e-05	0.42977387	-0.005	0.0	0.0	True	True
-0.005	-6.5e-05	0.50503298	-0.005	0.0	-0.0	True	True
-0.005	-6.4e-05	0.35437712	-0.005	-0.0	0.0	True	True
-0.005	-6.3e-05	0.53122158	-0.005	-0.0	0.0	True	True
-0.005	-6.2e-05	0.38235837	-0.005	0.0	-0.0	True	True
-0.005	-6.1e-05	0.4155766	-0.005	-0.0	-0.0	True	True
-0.005	-6e-05	0.44369549	-0.005	0.0	0.0	True	True
-0.005	-5.9e-05	0.3316347	-0.005	-0.0	0.0	True	True
-0.005	-5.8e-05	0.32060759	-0.005	0.0	0.0	True	True
-0.005	-5.7e-05	0.43060045	-0.005	0.0	-0.0	True	True
-0.005	-5.6e-05	0.34624526	-0.005	-0.0	0.0	True	True
-0.005	-5.5e-05	0.41502604	-0.005	0.0	0.0	True	True
-0.005	-5.4e-05	0.43060082	-0.005	-0.0	0.0	True	True
-0.005	-5.3e-05	0.4727786	-0.005	-0.0	-0.0	True	True
-0.005	-5.2e-05	0.44038732	-0.005	0.0	-0.0	True	True
-0.005	-5.1e-05	0.2825653	-0.005	0.0	-0.0	True	True
-0.005	-5e-05	0.31219971	-0.005	0.0	0.0	True	True
-0.005	-4.9e-05	0.32887783	-0.005	-0.0	0.0	True	True
-0.005	-4.8e-05	0.36237245	-0.005	0.0	0.0	True	True
-0.005	-4.7e-05	0.38635585	-0.005	0.0	0.0	True	True
-0.005	-4.6e-05	0.40454986	-0.005	0.0	0.0	True	True
-0.005	-4.5e-05	0.34941505	-0.005	-0.0	-0.0	True	True
-0.005	-4.4e-05	0.40358564	-0.005	-0.0	0.0	True	True
-0.005	-4.3e-05	0.48463303	-0.005	-0.0	0.0	True	True
-0.005	-4.2e-05	0.45527427	-0.005	0.0	0.0	True	True
-0.005	-4.1e-05	0.49345494	-0.005	-0.0	0.0	True	True
-0.005	-4e-05	0.3578233	-0.005	-0.0	0.0	True	True
-0.005	-3.9e-05	0.45361926	-0.005	0.0	0.0	True	True
-0.005	-3.8e-05	0.53384081	-0.005	-0.0	0.0	True	True
-0.005	-3.7e-05	0.39062898	-0.005	-0.0	0.0	True	True
-0.005	-3.6e-05	0.48339279	-0.005	-0.0	-0.0	True	True
-0.005	-3.5e-05	0.40896026	-0.005	-0.0	-0.0	True	True
-0.005	-3.4e-05	0.46106255	-0.005	0.0	0.0	True	True
-0.005	-3.3e-05	0.42922331	-0.005	0.0	-0.0	True	True
-0.005	-3.2e-05	0.42880928	-0.005	0.0	0.0	True	True
-0.005	-3.1e-05	0.48697587	-0.005	-0.0	0.0	True	True
-0.005	-3e-05	0.42812034	-0.005	0.0	0.0	True	True
-0.005	-2.9e-05	0.36981537	-0.005	-0.0	-0.0	True	True
-0.005	-2.8e-05	0.39435044	-0.005	-0.0	0.0	True	True
-0.005	-2.7e-05	0.48394409	-0.005	-0.0	0.0	True	True
-0.005	-2.6e-05	0.38649312	-0.005	-0.0	0.0	True	True
-0.005	-2.5e-05	0.52019484	-0.005	0.0	0.0	True	True
-0.005	-2.4e-05	0.63487486	-0.005	-0.0	0.0	True	True
-0.005	-2.3e-05	0.51661102	-0.005	-0.0	-0.0	True	True
-0.005	-2.2e-05	0.47898202	-0.005	0.0	0.0	True	True
-0.005	-2.1e-05	1.17629682	-0.005	-0.0	-0.0	True	True
-0.005	-2e-05	0.08973162	-0.005	0.0	-0.0	True	True
-0.005	-1.9e-05	0.00013786	-0.005	0.0	0.0	True	True
-0.005	-1.8e-05	-0.05926952	-0.005	-0.0	0.0	True	True
-0.005	-1.7e-05	-0.10778836	-0.005	-0.0	-0.0	True	True
-0.005	-1.6e-05	0.05747801	-0.005	0.0	0.0	True	True
-0.005	-1.5e-05	-0.03404559	-0.005	0.0	-0.0	True	True
-0.005	-1.4e-05	-0.03032405	-0.005	-0.0	0.0	True	True
-0.005	-1.3e-05	-0.00496211	-0.005	0.0	0.0	True	True
-0.005	-1.2e-05	-0.01695389	-0.005	0.0	0.0	True	True
-0.005	-1.1e-05	-0.01226746	-0.005	0.0	0.0	True	True
-0.005	-1e-05	0.12846333	-0.005	0.0	0.0	True	True
-0.005	-9e-06	0.09552084	-0.005	0.0	0.0	True	True
-0.005	-8e-06	-0.05499673	-0.005	-0.0	-0.0	True	True
-0.005	-7e-06	-0.00813239	-0.005	0.0	0.0	True	True
-0.005	-6e-06	-0.01971067	-0.005	-0.0	-0.0	True	True
-0.005	-5e-06	-0.05761561	-0.005	-0.0	-0.0	True	True
-0.005	-4e-06	0.0414887	-0.005	0.0	-0.0	True	True
-0.005	-3e-06	0.06753984	-0.005	-0.0	-0.0	True	True
-0.005	-2e-06	-0.17932516	-0.005	0.0	0.0	True	True
-0.005	-1e-06	0.00689186	-0.005	-0.0	-0.0	True	True
-0.005	0.0	-0.01612685	-0.005	-0.0	0.0	True	True
-0.005	1e-06	0.03680231	-0.005	0.0	-0.0	True	True
-0.005	2e-06	0.02095121	-0.005	0.0	0.0	True	True
-0.005	3e-06	-0.01171612	-0.005	-0.0	0.0	True	True
-0.005	4e-06	0.013508	-0.005	-0.0	-0.0	True	True
-0.005	5e-06	0.02026193	-0.005	0.0	0.0	True	True
-0.005	6e-06	-0.10792597	-0.005	-0.0	0.0	True	True
