Initial Temperature (K)	0.0521189
Resistor	201600.0	Excitation Current (A)	6.12e-08
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Compliance Pass
-0.003	-0.00032242	0.63015123	-0.003	0.0	0.0	True
-0.003	-0.00032118	0.61992389	-0.003	0.0	-0.0	True
-0.003	-0.00031994	0.53080765	-0.003	0.0	-0.0	True
-0.003	-0.0003187	0.51425012	-0.003	0.0	0.0	True
-0.003	-0.00031746	0.50694523	-0.003	0.0	-0.0	True
-0.003	-0.00031622	0.51814562	-0.003	-0.0	-0.0	True
-0.003	-0.00031498	0.61456839	-0.003	-0.0	-0.0	True
-0.003	-0.00031374	0.48868259	-0.003	0.0	-0.0	True
-0.003	-0.0003125	0.56075681	-0.003	-0.0	-0.0	True
-0.003	-0.00031126	0.5288599	-0.003	0.0	-0.0	True
-0.003	-0.00031002	0.52739827	-0.003	-0.0	-0.0	True
-0.003	-0.00030878	0.59898391	-0.003	0.0	0.0	True
-0.003	-0.00030754	0.54882519	-0.003	0.0	0.0001	True
-0.003	-0.0003063	0.47309975	-0.003	0.0	-0.0	True
-0.003	-0.00030506	0.56903558	-0.003	0.0	0.0	True
-0.003	-0.00030382	0.52155501	-0.003	-0.0	-0.0	True
-0.003	-0.00030258	0.57244333	-0.003	0.0	-0.0	True
-0.003	-0.00030134	0.47553444	-0.003	0.0	-0.0	True
-0.003	-0.0003001	0.50061421	-0.003	0.0	-0.0	True
-0.003	-0.00029886	0.59168066	-0.003	0.0	-0.0	True
-0.003	-0.00029762	0.56660089	-0.003	-0.0	0.0001	True
-0.003	-0.00029638	0.53445887	-0.003	-0.0	0.0	True
-0.003	-0.00029514	0.53884295	-0.003	0.0	0.0	True
-0.003	-0.0002939	0.58023516	-0.003	-0.0	0.0	True
-0.003	-0.00029266	0.57853169	-0.003	-0.0	-0.0	True
-0.003	-0.00029142	0.56343497	-0.003	0.0	-0.0	True
-0.003	-0.00029018	0.6135937	-0.003	0.0	-0.0	True
-0.003	-0.00028894	0.54395499	-0.003	0.0	-0.0	True
-0.003	-0.0002877	0.53616397	-0.003	-0.0	0.0	True
-0.003	-0.00028646	0.57000945	-0.003	-0.0	0.0	True
-0.003	-0.00028522	0.57536659	-0.003	0.0	0.0	True
-0.003	-0.00028398	0.56781905	-0.003	-0.0	-0.0	True
-0.003	-0.00028274	0.5386003	-0.003	0.0	0.0	True
-0.003	-0.0002815	0.63940388	-0.003	0.0	-0.0	True
-0.003	-0.00028026	0.59533269	-0.003	-0.0	-0.0	True
-0.003	-0.00027902	0.60215065	-0.003	-0.0	-0.0	True
-0.003	-0.00027778	0.54979988	-0.003	0.0	0.0	True
-0.003	-0.00027654	0.60117595	-0.003	0.0	-0.0	True
-0.003	-0.0002753	0.5054836	-0.003	-0.0	-0.0	True
