Initial Temperature (K)	0.0250181
Excitation Current (A)	5.844e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.02	-0.0005	0.0899366	-0.02	0.0	-0.0
-0.02	-0.000495	0.07923719	-0.02	-0.0	-0.0
-0.02	-0.00049	0.08198455	-0.02	-0.0	0.0
-0.02	-0.000485	0.07878144	-0.02	0.0	-0.0
-0.02	-0.00048	0.07990016	-0.02	0.0	-0.0
-0.02	-0.000475	0.08366101	-0.02	-0.0	0.0
-0.02	-0.00047	0.07775836	-0.02	-0.0	-0.0
-0.02	-0.000465	0.07954956	-0.02	0.0	0.0
-0.02	-0.00046	0.0807831	-0.02	0.0	0.0
-0.02	-0.000455	0.08180613	-0.02	0.0	0.0001
-0.02	-0.00045	0.07937742	-0.02	-0.0	0.0
-0.02	-0.000445	0.08674307	-0.02	0.0	0.0001
-0.02	-0.00044	0.0766141	-0.02	0.0	0.0
-0.02	-0.000435	0.07844358	-0.02	-0.0	-0.0
-0.02	-0.00043	0.08117503	-0.02	0.0	-0.0
-0.02	-0.000425	0.07979185	-0.02	-0.0	-0.0
-0.02	-0.00042	0.08389689	-0.02	-0.0	0.0
-0.02	-0.000415	0.07720375	-0.02	-0.0	-0.0
-0.02	-0.00041	0.07979181	-0.02	-0.0	0.0
-0.02	-0.000405	0.08245943	-0.02	0.0	0.0001
-0.02	-0.0004	0.08490084	-0.02	0.0	-0.0
-0.02	-0.000395	0.0790938	-0.02	0.0	-0.0
-0.02	-0.00039	0.08001168	-0.02	0.0	-0.0
-0.02	-0.000385	0.08159887	-0.02	-0.0	-0.0
-0.02	-0.00038	0.08095194	-0.02	0.0	0.0001
-0.02	-0.000375	0.08391285	-0.02	0.0	-0.0
-0.02	-0.00037	0.08564026	-0.02	-0.0	0.0
-0.02	-0.000365	0.08759405	-0.02	0.0	0.0
-0.02	-0.00036	0.08887212	-0.02	0.0	0.0001
-0.02	-0.000355	0.08149689	-0.02	0.0	-0.0
-0.02	-0.00035	0.08495825	-0.02	0.0	-0.0
-0.02	-0.000345	0.08442913	-0.02	-0.0	0.0001
-0.02	-0.00034	0.08163074	-0.02	-0.0	0.0001
-0.02	-0.000335	0.08698211	-0.02	0.0	-0.0
-0.02	-0.00033	0.08400525	-0.02	0.0	0.0
-0.02	-0.000325	0.08936932	-0.02	-0.0	-0.0001
-0.02	-0.00032	0.08663788	-0.02	-0.0	-0.0
-0.02	-0.000315	0.09165135	-0.02	0.0	0.0
-0.02	-0.00031	0.09024571	-0.02	0.0	-0.0
-0.02	-0.000305	0.08907608	-0.02	-0.0	0.0
-0.02	-0.0003	0.09057091	-0.02	0.0	0.0
-0.02	-0.000295	0.09339471	-0.02	0.0	-0.0
-0.02	-0.00029	0.09960985	-0.02	-0.0	-0.0
-0.02	-0.000285	0.09808628	-0.02	0.0	0.0001
-0.02	-0.00028	0.10600346	-0.02	-0.0	0.0001
-0.02	-0.000275	0.10916521	-0.02	0.0	-0.0
-0.02	-0.00027	0.11835084	-0.02	0.0	0.0
-0.02	-0.000265	0.11713959	-0.02	0.0	0.0
-0.02	-0.00026	0.11364323	-0.02	0.0	-0.0
-0.02	-0.000255	0.12279686	-0.02	0.0	0.0001
-0.02	-0.00025	0.13294178	-0.02	-0.0	0.0001
-0.02	-0.000245	0.14613039	-0.02	-0.0	0.0
-0.02	-0.00024	0.15351195	-0.02	0.0	0.0
-0.02	-0.000235	0.16148312	-0.02	0.0	0.0
-0.02	-0.00023	0.1683993	-0.02	-0.0	0.0
-0.02	-0.000225	0.17519442	-0.02	0.0	-0.0
-0.02	-0.00022	0.17690271	-0.02	0.0	-0.0
-0.02	-0.000215	0.17963416	-0.02	0.0	0.0
-0.02	-0.00021	0.1832357	-0.02	0.0	0.0001
-0.02	-0.000205	0.18252812	-0.02	0.0	-0.0
-0.02	-0.0002	0.17727248	-0.02	0.0	0.0
-0.02	-0.000195	0.18015048	-0.02	0.0	-0.0
-0.02	-0.00019	0.18048193	-0.02	0.0	0.0
-0.02	-0.000185	0.17134429	-0.02	-0.0	0.0
-0.02	-0.00018	0.16146404	-0.02	0.0	-0.0
-0.02	-0.000175	0.15774447	-0.02	0.0	-0.0
-0.02	-0.00017	0.14596471	-0.02	0.0	-0.0
-0.02	-0.000165	0.13708828	-0.02	-0.0	-0.0
-0.02	-0.00016	0.11143449	-0.02	-0.0	0.0
-0.02	-0.000155	0.09860278	-0.02	0.0	0.0
-0.02	-0.00015	0.0804866	-0.02	-0.0	-0.0
-0.02	-0.000145	0.05441526	-0.02	0.0	0.0
-0.02	-0.00014	0.03506565	-0.02	0.0	0.0
-0.02	-0.000135	0.02928725	-0.02	0.0	0.0001
-0.02	-0.00013	0.02035351	-0.02	-0.0	-0.0
-0.02	-0.000125	0.01210182	-0.02	-0.0	0.0
-0.02	-0.00012	0.00275376	-0.02	0.0	0.0001
-0.02	-0.000115	0.00218005	-0.02	0.0	0.0
-0.02	-0.00011	-0.00066612	-0.02	0.0	0.0
-0.02	-0.000105	-0.00192508	-0.02	-0.0	0.0
-0.02	-0.0001	0.00160317	-0.02	0.0	-0.0
-0.02	-9.5e-05	-0.00445572	-0.02	-0.0	-0.0
-0.02	-9e-05	-0.00389158	-0.02	0.0	0.0
-0.02	-8.5e-05	-0.00767481	-0.02	0.0	-0.0
-0.02	-8e-05	-0.00150755	-0.02	0.0	-0.0001
