Initial Temperature (K)	0.0502043
Excitation Current (A)	3.75e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.02	                -0.0001	                    0.05655525	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        3.5088
-0.02	                -9.9e-05	                    0.03453109	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        20.5512
-0.02	                -9.8e-05	                    0.03597163	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        19.4868
-0.02	                -9.7e-05	                    0.03862406	                        -0.02	                            -0.0	                                0.0	                                    True	                                        20.7384
-0.02	                -9.6e-05	                    0.03045819	                        -0.02	                            -0.0	                                0.0	                                    True	                                        8.4564
-0.02	                -9.5e-05	                    0.03784907	                        -0.02	                            0.0	                                0.0	                                    True	                                        24.732
-0.02	                -9.4e-05	                    0.03224629	                        -0.02	                            -0.0	                                0.0	                                    True	                                        35.7348
-0.02	                -9.3e-05	                    0.0395479	                        -0.02	                            -0.0	                                0.0	                                    True	                                        11.2104
-0.02	                -9.2e-05	                    0.0406208	                        -0.02	                            -0.0	                                0.0	                                    True	                                        19.1232
-0.02	                -9.1e-05	                    0.03910085	                        -0.02	                            -0.0	                                0.0	                                    True	                                        12.9624
-0.02	                -9e-05	                    0.03483909	                        -0.02	                            -0.0	                                0.0	                                    True	                                        30.9612
-0.02	                -8.9e-05	                    0.04269706	                        -0.02	                            -0.0	                                0.0	                                    True	                                        19.1028
-0.02	                -8.8e-05	                    0.04362085	                        -0.02	                            -0.0	                                0.0	                                    True	                                        25.9032
-0.02	                -8.7e-05	                    0.03760075	                        -0.02	                            -0.0	                                0.0	                                    True	                                        16.1916
-0.02	                -8.6e-05	                    0.03558417	                        -0.02	                            0.0	                                -0.0	                                    True	                                        6.924
-0.02	                -8.5e-05	                    0.03605109	                        -0.02	                            -0.0	                                0.0	                                    True	                                        11.7312
-0.02	                -8.4e-05	                    0.0370147	                        -0.02	                            -0.0	                                0.0	                                    True	                                        10.0068
-0.02	                -8.3e-05	                    0.04049163	                        -0.02	                            0.0	                                0.0	                                    True	                                        -0.3636
-0.02	                -8.2e-05	                    0.03409403	                        -0.02	                            -0.0	                                0.0	                                    True	                                        2.5296
-0.02	                -8.1e-05	                    0.02818321	                        -0.02	                            -0.0	                                0.0	                                    True	                                        12.9972
-0.02	                -8e-05	                    0.03468011	                        -0.02	                            -0.0	                                0.0	                                    True	                                        17.0508
-0.02	                -7.9e-05	                    0.04294533	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        21.4428
-0.02	                -7.8e-05	                    0.03482916	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        32.9136
-0.02	                -7.7e-05	                    0.03985584	                        -0.02	                            0.0	                                -0.0	                                    True	                                        26.19
-0.02	                -7.6e-05	                    0.04108768	                        -0.02	                            -0.0	                                0.0	                                    True	                                        24.3384
-0.02	                -7.5e-05	                    0.03795845	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        8.3868
-0.02	                -7.4e-05	                    0.02931573	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        29.19
-0.02	                -7.3e-05	                    0.04120688	                        -0.02	                            0.0	                                -0.0	                                    True	                                        18.4056
-0.02	                -7.2e-05	                    0.03321987	                        -0.02	                            -0.0	                                0.0	                                    True	                                        34.1544
-0.02	                -7.1e-05	                    0.03506757	                        -0.02	                            0.0	                                0.0	                                    True	                                        25.7544
-0.02	                -7e-05	                    0.03574312	                        -0.02	                            -0.0	                                0.0	                                    True	                                        19.062
-0.02	                -6.9e-05	                    0.04275664	                        -0.02	                            -0.0	                                0.0	                                    True	                                        8.8932
-0.02	                -6.8e-05	                    0.03864385	                        -0.02	                            -0.0	                                0.0	                                    True	                                        18.1716
-0.02	                -6.7e-05	                    0.04758465	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        28.0428
-0.02	                -6.6e-05	                    0.03302123	                        -0.02	                            -0.0	                                0.0	                                    True	                                        23.2476
