Initial Temperature (K)	0.050729
Excitation Current (A)	1.25e-07
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	        Resistance (Ohms)	            Actual X-Field	                Actual Y-Field	                    Actual Z-Field	                        Lock-In Overload Pass	                            Average Phase
-0.02	                -0.0001	                    0.03314037	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -19.8912
-0.02	                -9.9e-05	                    0.03144163	                        -0.02	                            0.0	                                0.0	                                    True	                                        54.198
-0.02	                -9.8e-05	                    0.02446786	                        -0.02	                            0.0	                                0.0	                                    True	                                        71.2848
-0.02	                -9.7e-05	                    0.04804165	                        -0.02	                            0.0	                                0.0	                                    True	                                        13.314
-0.02	                -9.6e-05	                    0.00897055	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -65.5056
-0.02	                -9.5e-05	                    0.05659487	                        -0.02	                            0.0	                                0.0	                                    True	                                        11.2608
-0.02	                -9.4e-05	                    0.01156336	                        -0.02	                            0.0	                                -0.0	                                    True	                                        73.4328
-0.02	                -9.3e-05	                    0.04911454	                        -0.02	                            0.0	                                0.0	                                    True	                                        -25.6128
-0.02	                -9.2e-05	                    0.01978886	                        -0.02	                            0.0	                                0.0	                                    True	                                        0.0624
-0.02	                -9.1e-05	                    0.03111382	                        -0.02	                            0.0	                                -0.0	                                    True	                                        44.16
-0.02	                -9e-05	                    0.02601756	                        -0.02	                            0.0	                                0.0	                                    True	                                        6.3816
-0.02	                -8.9e-05	                    0.02381222	                        -0.02	                            -0.0	                                0.0	                                    True	                                        63.942
-0.02	                -8.8e-05	                    0.03781936	                        -0.02	                            0.0	                                0.0	                                    True	                                        -17.4504
-0.02	                -8.7e-05	                    0.02300754	                        -0.02	                            0.0	                                0.0	                                    True	                                        8.0016
-0.02	                -8.6e-05	                    0.04810125	                        -0.02	                            0.0	                                -0.0	                                    True	                                        20.31
-0.02	                -8.5e-05	                    0.04604478	                        -0.02	                            0.0	                                -0.0	                                    True	                                        37.4256
-0.02	                -8.4e-05	                    0.03430267	                        -0.02	                            0.0	                                -0.0	                                    True	                                        48.1788
-0.02	                -8.3e-05	                    0.02947466	                        -0.02	                            0.0	                                0.0	                                    True	                                        -8.6556
-0.02	                -8.2e-05	                    -0.00950699	                        -0.02	                            0.0	                                0.0	                                    True	                                        -11.9508
-0.02	                -8.1e-05	                    0.08359602	                        -0.02	                            0.0	                                0.0	                                    True	                                        19.2684
-0.02	                -8e-05	                    0.03200789	                        -0.02	                            0.0	                                0.0	                                    True	                                        10.482
-0.02	                -7.9e-05	                    0.02786536	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -3.6984
-0.02	                -7.8e-05	                    0.01043088	                        -0.02	                            0.0	                                -0.0	                                    True	                                        86.3928
-0.02	                -7.7e-05	                    0.03981614	                        -0.02	                            0.0	                                0.0	                                    True	                                        2.4024
-0.02	                -7.6e-05	                    0.04166382	                        -0.02	                            0.0	                                0.0	                                    True	                                        -15.1404
-0.02	                -7.5e-05	                    0.05045566	                        -0.02	                            0.0	                                0.0	                                    True	                                        -2.5188
-0.02	                -7.4e-05	                    0.02524272	                        -0.02	                            0.0	                                -0.0	                                    True	                                        40.6536
-0.02	                -7.3e-05	                    0.06854573	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        16.494
-0.02	                -7.2e-05	                    0.047982	                        -0.02	                            0.0	                                0.0	                                    True	                                        10.3932
-0.02	                -7.1e-05	                    0.04625349	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        12.774
-0.02	                -7e-05	                    0.03302115	                        -0.02	                            0.0	                                0.0	                                    True	                                        19.0584
-0.02	                -6.9e-05	                    0.04893571	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        16.44
-0.02	                -6.8e-05	                    0.05203512	                        -0.02	                            -0.0	                                -0.0	                                    True	                                        -8.7564
-0.02	                -6.7e-05	                    0.03603115	                        -0.02	                            -0.0	                                0.0	                                    True	                                        2.9748
-0.02	                -6.6e-05	                    0.02700099	                        -0.02	                            0.0	                                0.0	                                    True	                                        11.0436
-0.02	                -6.5e-05	                    0.01087792	                        -0.02	                            -0.0	                                0.0	                                    True	                                        14.9388
-0.02	                -6.4e-05	                    0.0323953	                        -0.02	                            -0.0	                                0.0	                                    True	                                        -1.5192
-0.02	                -6.3e-05	                    0.03069656	                        -0.02	                            0.0	                                0.0	                                    True	                                        42.0648
