Started: January 29, 2023 16:07:19
Resistor	1000000.0	Excitation Current (A)	2e-06
Restsitance (Ohms)	Channel 5 Temp (K)	Channel 8 Temp (K)	Channel 13 Temp (K)
0.0546085	1.21119	0.0108112	3.93038
0.0546085	1.21119	0.0108112	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0108121	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107464	3.93038
0.0546085	1.21119	0.0107525	3.93038
0.0546085	1.21119	0.0107525	3.93038
0.0546085	1.21119	0.0107525	3.98029
0.0546085	1.21119	0.0107525	3.98029
0.0546085	1.21119	0.0107525	3.98029
0.0546085	1.21119	0.0107525	3.98029
0.0546085	1.21119	0.0107525	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107145	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107211	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107055	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0107215	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108232	3.98029
0.0546085	1.21119	0.0108619	3.98029
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0108619	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0112563	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0113301	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0119654	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0121012	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0130396	3.97662
0.0546085	1.21119	0.0132316	3.97662
0.0546085	1.21119	0.0132316	3.97662
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0132316	3.93489
0.0546085	1.21119	0.0144178	3.93489
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0144178	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0146782	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0161566	3.95781
0.0546085	1.21119	0.0164873	3.95781
0.0546085	1.21119	0.0164873	3.95781
