Initial Temperature (K)	0.0499768
Excitation Current (A)	2.5e-07
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Keithley Error Code	Average Phase
-0.022	-0.00014	0.03393014	-0.022	-0.0	-0.0	True	Something is wrong, ASCII error code is 32.	-47.3595
-0.022	-0.000138	0.08241874	-0.022	0.0	0.0	True	None	-4.2165
-0.022	-0.000136	0.08801786	-0.022	-0.0	0.0	True	None	-8.2245
-0.022	-0.000134	0.08693	-0.022	0.0	-0.0	True	None	-9.876
-0.022	-0.000132	0.0891468	-0.022	0.0	0.0	True	None	-5.544
-0.022	-0.00013	0.07129496	-0.022	0.0	0.0	True	None	-5.16
-0.022	-0.000128	0.08275414	-0.022	-0.0	0.0	True	None	-13.1325
-0.022	-0.000126	0.07725942	-0.022	-0.0	0.0	True	None	-14.604
-0.022	-0.000124	0.07404424	-0.022	-0.0	0.0	True	None	-14.2035
-0.022	-0.000122	0.07687172	-0.022	0.0	-0.0	True	None	-13.728
-0.022	-0.00012	0.08191584	-0.022	0.0	0.0	True	None	-13.584
-0.022	-0.000118	0.0893142	-0.022	0.0	-0.0	True	None	-15.435
-0.022	-0.000116	0.0993168	-0.022	0.0	-0.0	True	None	-11.103
-0.022	-0.000114	0.0986574	-0.022	0.0	0.0	True	None	-16.0425
-0.022	-0.000112	0.0990672	-0.022	-0.0	-0.0	True	None	-15.0165
-0.022	-0.00011	0.097752	-0.022	0.0	0.0	True	None	-15.5955
-0.022	-0.000108	0.1077992	-0.022	0.0	0.0	True	None	-13.59
-0.022	-0.000106	0.1019058	-0.022	-0.0	0.0	True	None	-17.3025
-0.022	-0.000104	0.098568	-0.022	0.0	-0.0	True	None	-15.363
-0.022	-0.000102	0.1006952	-0.022	0.0	-0.0	True	None	-11.709
-0.022	-0.0001	0.0991414	-0.022	-0.0	0.0	True	None	-13.638
-0.022	-9.8e-05	0.0970556	-0.022	-0.0	0.0	True	None	-16.5765
-0.022	-9.6e-05	0.1052846	-0.022	-0.0	-0.0	True	None	-12.7455
-0.022	-9.4e-05	0.0995852	-0.022	-0.0	0.0	True	None	-13.986
-0.022	-9.2e-05	0.1017346	-0.022	-0.0	0.0	True	None	-18.105
-0.022	-9e-05	0.0926708	-0.022	0.0	0.0	True	None	-16.92
-0.022	-8.8e-05	0.0928422	-0.022	-0.0	-0.0	True	None	-17.5905
-0.022	-8.6e-05	0.0946266	-0.022	0.0	0.0	True	None	-17.6355
-0.022	-8.4e-05	0.0994696	-0.022	-0.0	0.0	True	None	-17.8245
-0.022	-8.2e-05	0.0963364	-0.022	0.0	0.0	True	None	-15.519
-0.022	-8e-05	0.0994062	-0.022	0.0	-0.0	True	None	-15.8055
-0.022	-7.8e-05	0.0954572	-0.022	0.0	0.0	True	None	-22.3935
-0.022	-7.6e-05	0.0985642	-0.022	-0.0	0.0	True	None	-17.2815
-0.022	-7.4e-05	0.09043926	-0.022	0.0	0.0	True	None	-17.874
