Initial Temperature (K)	0.0499918
Excitation Current (A)	2.5e-07
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field	Lock-In Overload Pass	Keithley Error Code	Average Phase
-0.022	-0.00012	0.00514597	-0.022	0.0	-0.0	True	None	-76.426
-0.022	-0.000118	0.0875944	-0.022	0.0	0.0	True	None	-12.132
-0.022	-0.000116	0.09759813	-0.022	-0.0	0.0	True	None	-8.49
-0.022	-0.000114	0.09497067	-0.022	0.0	0.0	True	None	-7.762
-0.022	-0.000112	0.09129013	-0.022	0.0	-0.0	True	None	-13.116
-0.022	-0.00011	0.10011653	-0.022	0.0	0.0	True	None	-10.594
-0.022	-0.000108	0.10498907	-0.022	0.0	0.0	True	None	-9.866
-0.022	-0.000106	0.1036184	-0.022	-0.0	-0.0	True	None	-9.118
-0.022	-0.000104	0.1013432	-0.022	-0.0	0.0	True	None	-9.78
-0.022	-0.000102	0.10090107	-0.022	0.0	0.0	True	None	-6.582
-0.022	-0.0001	0.10201893	-0.022	-0.0	0.0	True	None	-12.042
-0.022	-9.8e-05	0.10139787	-0.022	0.0	0.0	True	None	-10.282
-0.022	-9.6e-05	0.10581867	-0.022	-0.0	0.0	True	None	-13.652
-0.022	-9.4e-05	0.09659467	-0.022	0.0	0.0	True	None	-10.882
-0.022	-9.2e-05	0.10266453	-0.022	0.0	0.0	True	None	-8.718
-0.022	-9e-05	0.1000768	-0.022	-0.0	0.0	True	None	-17.822
-0.022	-8.8e-05	0.09526347	-0.022	0.0	-0.0	True	None	-13.976
-0.022	-8.6e-05	0.09657493	-0.022	0.0	0.0	True	None	-6.974
-0.022	-8.4e-05	0.0940368	-0.022	0.0	0.0	True	None	-10.038
-0.022	-8.2e-05	0.09600373	-0.022	0.0	0.0	True	None	-13.606
-0.022	-8e-05	0.0999624	-0.022	0.0	0.0	True	None	-11.846
-0.022	-7.8e-05	0.09778187	-0.022	0.0	0.0	True	None	-13.114
-0.022	-7.6e-05	0.09304827	-0.022	0.0	0.0	True	None	-14.1
-0.022	-7.4e-05	0.09884987	-0.022	0.0	-0.0	True	None	-10.146
-0.022	-7.2e-05	0.102704	-0.022	0.0	0.0	True	None	-14.354
-0.022	-7e-05	0.10547093	-0.022	-0.0	0.0	True	None	-13.752
-0.022	-6.8e-05	0.10111973	-0.022	-0.0	-0.0	True	None	-10.822
-0.022	-6.6e-05	0.09542267	-0.022	0.0	0.0	True	None	-12.484
-0.022	-6.4e-05	0.10408507	-0.022	0.0	0.0	True	None	-13.346
-0.022	-6.2e-05	0.10453707	-0.022	0.0	0.0	True	None	-8.558
-0.022	-6e-05	0.0991776	-0.022	-0.0	-0.0	True	None	-10.102
-0.022	-5.8e-05	0.09678827	-0.022	0.0	0.0	True	None	-10.284
-0.022	-5.6e-05	0.10425387	-0.022	0.0	0.0	True	None	-16.06
-0.022	-5.4e-05	0.1211624	-0.022	0.0	0.0	True	None	-13.538
-0.022	-5.2e-05	0.12363573	-0.022	0.0	0.0	True	None	-10.974
-0.022	-5e-05	0.13183653	-0.022	-0.0	-0.0	True	None	-14.556
-0.022	-4.8e-05	0.1467128	-0.022	0.0	0.0	True	None	-11.654
-0.022	-4.6e-05	0.14251573	-0.022	0.0	0.0	True	None	-12.726
-0.022	-4.4e-05	0.09286933	-0.022	0.0	-0.0	True	None	-10.41
-0.022	-4.2e-05	0.08754	-0.022	0.0	0.0	True	None	-18.312
-0.022	-4e-05	0.08489253	-0.022	0.0	-0.0	True	None	-17.144
-0.022	-3.8e-05	0.0859304	-0.022	0.0	0.0	True	None	-14.052
-0.022	-3.6e-05	0.09179173	-0.022	0.0	0.0	True	None	-17.37
-0.022	-3.4e-05	0.09045547	-0.022	0.0	0.0	True	None	-17.76
-0.022	-3.2e-05	0.08420693	-0.022	0.0	0.0	True	None	-12.706
-0.022	-3e-05	0.08907467	-0.022	0.0	-0.0	True	None	-15.408
-0.022	-2.8e-05	0.1006976	-0.022	0.0	0.0	True	None	-11.38
-0.022	-2.6e-05	0.100792	-0.022	-0.0	-0.0	True	None	-15.342
-0.022	-2.4e-05	0.09754347	-0.022	0.0	0.0	True	None	-15.472
-0.022	-2.2e-05	0.09923227	-0.022	-0.0	0.0	True	None	-14.702
-0.022	-2e-05	0.11108373	-0.022	0.0	-0.0	True	None	-15.068
-0.022	-1.8e-05	0.1114016	-0.022	0.0	0.0	True	None	-15.148
-0.022	-1.6e-05	0.0935104	-0.022	-0.0	0.0	True	None	-15.968
-0.022	-1.4e-05	0.08052637	-0.022	-0.0	0.0	True	None	-20.042
-0.022	-1.2e-05	0.08725173	-0.022	-0.0	0.0	True	None	-18.438
-0.022	-1e-05	0.0996544	-0.022	0.0	0.0	True	None	-20.33
-0.022	-8e-06	0.07024432	-0.022	0.0	-0.0	True	None	5.642
-0.022	-6e-06	0.00195206	-0.022	-0.0	0.0	True	None	77.538
-0.022	-4e-06	0.00766421	-0.022	-0.0	0.0	True	None	16.522
-0.022	-2e-06	0.00770394	-0.022	0.0	-0.0	True	None	13.618
-0.022	-0.0	0.00085434	-0.022	0.0	0.0	True	None	90.362
-0.022	2e-06	0.00654165	-0.022	0.0	0.0	True	None	58.538
-0.022	4e-06	0.00810629	-0.022	-0.0	0.0	True	None	16.344
-0.022	6e-06	0.00100335	-0.022	0.0	0.0	True	None	84.03
-0.022	8e-06	-0.00461441	-0.022	-0.0	-0.0	True	None	110.91
-0.022	1e-05	0.03978147	-0.022	-0.0	0.0	True	None	41.27
-0.022	1.2e-05	0.0868592	-0.022	-0.0	0.0	True	None	-16.218
-0.022	1.4e-05	0.07114856	-0.022	-0.0	-0.0	True	None	-20.564
-0.022	1.6e-05	0.08402347	-0.022	-0.0	0.0	True	None	-20.154
-0.022	1.8e-05	0.09257147	-0.022	0.0	0.0	True	None	-18.836
-0.022	2e-05	0.0916872	-0.022	-0.0	0.0	True	None	-24.18
-0.022	2.2e-05	0.0972552	-0.022	0.0	0.0	True	None	-16.446
-0.022	2.4e-05	0.0927552	-0.022	0.0	0.0	True	None	-22.59
-0.022	2.6e-05	0.09769733	-0.022	-0.0	0.0	True	None	-20.408
-0.022	2.8e-05	0.09477173	-0.022	0.0	0.0	True	None	-17.358
-0.022	3e-05	0.08694373	-0.022	-0.0	-0.0	True	None	-17.494
-0.022	3.2e-05	0.08168875	-0.022	-0.0	-0.0	True	None	-23.596
-0.022	3.4e-05	0.0824732	-0.022	0.0	0.0	True	None	-24.36
-0.022	3.6e-05	0.0911808	-0.022	-0.0	-0.0	True	None	-14.886
-0.022	3.8e-05	0.0837896	-0.022	-0.0	0.0	True	None	-18.762
-0.022	4e-05	0.08691901	-0.022	-0.0	0.0	True	None	-21.43
-0.022	4.2e-05	0.10771093	-0.022	0.0	0.0	True	None	-23.638
-0.022	4.4e-05	0.13345067	-0.022	-0.0	0.0	True	None	-16.33
-0.022	4.6e-05	0.1236952	-0.022	-0.0	-0.0	True	None	-19.918
-0.022	4.8e-05	0.1210624	-0.022	0.0	0.0	True	None	-19.516
-0.022	5e-05	0.09980827	-0.022	-0.0	0.0	True	None	-22.118
-0.022	5.2e-05	0.10851067	-0.022	0.0	0.0	True	None	-22.366
-0.022	5.4e-05	0.1125936	-0.022	0.0	0.0	True	None	-19.402
-0.022	5.6e-05	0.1062904	-0.022	0.0	-0.0	True	None	-18.608
-0.022	5.8e-05	0.10079707	-0.022	-0.0	-0.0	True	None	-17.628
-0.022	6e-05	0.09514427	-0.022	0.0	-0.0	True	None	-24.89
-0.022	6.2e-05	0.1038416	-0.022	0.0	-0.0	True	None	-25.408
-0.022	6.4e-05	0.0942256	-0.022	0.0	0.0	True	None	-19.914
-0.022	6.6e-05	0.0962272	-0.022	0.0	0.0	True	None	-25.19
-0.022	6.8e-05	0.0931624	-0.022	0.0	0.0	True	None	-24.574
-0.022	7e-05	0.1032904	-0.022	-0.0	-0.0	True	None	-17.006
-0.022	7.2e-05	0.09870587	-0.022	-0.0	0.0	True	None	-19.322
