Initial Temperature (K)	0.0250136
Excitation Current (A)	0.0
Axis 1,2	x,y
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.9	-0.0005	-0.00039585	-0.9	0.0	0.0
-0.9	-0.00048	-0.00024955	-0.9	0.0	-0.0
-0.9	-0.00046	0.00043028	-0.9	0.0	0.0
-0.9	-0.00044	-0.00194771	-0.9	0.0	0.0001
-0.9	-0.00042	-0.00132524	-0.9	-0.0	-0.0
-0.9	-0.0004	0.00150596	-0.9	-0.0	0.0
-0.9	-0.00038	-0.00054788	-0.9	0.0	0.0
-0.9	-0.00036	-0.00289718	-0.9	-0.0	-0.0
-0.9	-0.00034	0.00135679	-0.9	0.0	-0.0
-0.9	-0.00032	-0.00408473	-0.9	0.0	0.0
-0.9	-0.0003	0.00216284	-0.9	-0.0	0.0001
-0.9	-0.00028	0.00422815	-0.9	-0.0	0.0
-0.9	-0.00026	-0.00156046	-0.9	-0.0	-0.0
-0.9	-0.00024	-3.729e-05	-0.9	0.0	-0.0
-0.9	-0.00022	0.00298323	-0.9	-0.0	-0.0001
-0.9	-0.0002	0.00048478	-0.9	-0.0	-0.0
-0.9	-0.00018	0.00514034	-0.9	-0.0	0.0001
-0.9	-0.00016	-0.00391549	-0.9	-0.0	-0.0
-0.9	-0.00014	-0.00060525	-0.9	0.0	-0.0
-0.9	-0.00012	0.00511451	-0.9	-0.0	-0.0
-0.9	-0.0001	0.00489652	-0.9	0.0	-0.0
-0.9	-8e-05	0.0018387	-0.9	0.0	0.0001
-0.9	-6e-05	0.00364873	-0.9	-0.0	0.0
-0.9	-4e-05	-0.00240092	-0.9	-0.0	0.0
-0.9	-2e-05	0.00406751	-0.9	0.0	-0.0
-0.9	0.0	-0.00420807	-0.9	-0.0	-0.0
-0.9	2e-05	-0.00192475	-0.9	0.0	0.0
-0.9	4e-05	0.00558208	-0.9	-0.0	0.0
-0.9	6e-05	0.00315247	-0.9	0.0	0.0
-0.9	8e-05	0.0030492	-0.9	0.0	-0.0
-0.9	0.0001	0.00388394	-0.9	-0.0	0.0001
-0.9	0.00012	-0.00208252	-0.9	-0.0	-0.0
-0.9	0.00014	-0.00307789	-0.9	0.0	-0.0
-0.9	0.00016	-0.00580295	-0.9	0.0	0.0
-0.9	0.00018	0.00146866	-0.9	0.0	0.0001
-0.9	0.0002	0.00244108	-0.9	0.0	-0.0
-0.9	0.00022	0.00104987	-0.9	0.0	-0.0
-0.9	0.00024	-0.00204523	-0.9	0.0	-0.0
-0.9	0.00026	0.00524073	-0.9	-0.0	0.0001
-0.9	0.00028	-0.00313239	-0.9	0.0	-0.0
-0.9	0.0003	-0.00435724	-0.9	0.0	0.0
-0.9	0.00032	-0.00244109	-0.9	0.0	0.0
-0.9	0.00034	0.00030406	-0.9	0.0	0.0
-0.9	0.00036	-0.00044175	-0.9	0.0	-0.0
-0.9	0.00038	0.00199073	-0.9	-0.0	-0.0
-0.9	0.0004	-0.00315534	-0.9	0.0	0.0
-0.9	0.00042	-0.00561937	-0.9	0.0	0.0
-0.9	0.00044	-0.00145719	-0.9	-0.0	0.0
-0.9	0.00046	0.00010326	-0.9	-0.0	-0.0
-0.9	0.00048	0.00280252	-0.9	-0.0	-0.0
-0.9	0.0005	0.00262754	-0.9	0.0	-0.0001
-0.88	-0.0005	0.02534598	-0.88	0.0	-0.0
-0.88	-0.00048	0.00100398	-0.88	-0.0	-0.0
-0.88	-0.00046	0.00670939	-0.88	0.0	-0.0
-0.88	-0.00044	0.00142277	-0.88	0.0	-0.0001
-0.88	-0.00042	0.00168667	-0.88	0.0	0.0001
-0.88	-0.0004	0.00061386	-0.88	-0.0	-0.0
-0.88	-0.00038	-0.00624471	-0.88	0.0	0.0
-0.88	-0.00036	-0.00493954	-0.88	-0.0	0.0
-0.88	-0.00034	0.00187599	-0.88	-0.0	0.0
-0.88	-0.00032	0.00195057	-0.88	-0.0	-0.0
-0.88	-0.0003	0.00757281	-0.88	0.0	-0.0001
-0.88	-0.00028	0.00419373	-0.88	0.0	0.0001
-0.88	-0.00026	0.0008376	-0.88	0.0	-0.0
-0.88	-0.00024	-0.00481906	-0.88	0.0	-0.0
-0.88	-0.00022	-0.00392409	-0.88	0.0	0.0
-0.88	-0.0002	0.00131377	-0.88	0.0	0.0001
-0.88	-0.00018	0.0054616	-0.88	0.0	0.0001
-0.88	-0.00016	0.00326721	-0.88	-0.0	-0.0
-0.88	-0.00014	-0.00583163	-0.88	-0.0	0.0
-0.88	-0.00012	0.00589761	-0.88	0.0	0.0001
-0.88	-0.0001	0.00228905	-0.88	0.0	0.0
-0.88	-8e-05	-0.00030119	-0.88	0.0	-0.0
-0.88	-6e-05	0.00248698	-0.88	0.0	0.0
-0.88	-4e-05	-0.00052206	-0.88	0.0	0.0
-0.88	-2e-05	-0.00482767	-0.88	-0.0	0.0
-0.88	0.0	-0.00043888	-0.88	0.0	-0.0
-0.88	2e-05	-8.606e-05	-0.88	0.0	-0.0
-0.88	4e-05	0.00160062	-0.88	0.0	0.0
-0.88	6e-05	0.00341064	-0.88	-0.0	0.0001
-0.88	8e-05	0.00292872	-0.88	-0.0	-0.0
-0.88	0.0001	0.00119903	-0.88	0.0	0.0001
-0.88	0.00012	-0.00218865	-0.88	-0.0	0.0001
-0.88	0.00014	-0.00637952	-0.88	0.0	0.0
-0.88	0.00016	0.00094372	-0.88	0.0	0.0001
-0.88	0.00018	0.00371469	-0.88	0.0	-0.0
-0.88	0.0002	0.00246976	-0.88	-0.0	-0.0
-0.88	0.00022	0.00559069	-0.88	-0.0	-0.0
-0.88	0.00024	0.00431708	-0.88	0.0	0.0
-0.88	0.00026	-0.00366019	-0.88	0.0	0.0001
-0.88	0.00028	0.00371469	-0.88	-0.0	-0.0
-0.88	0.0003	0.00085481	-0.88	-0.0	0.0
-0.88	0.00032	0.00154612	-0.88	0.0	0.0001
