Initial Temperature (K)	0.0249921
Excitation Current (A)	1.299e-06
Axis 1,2	x,z
Angle	0
Field (T)	Current (A)	Resistance (Ohms)	Actual X-Field	Actual Y-Field	Actual Z-Field
-0.03	-0.0005	0.32051743	-0.03	0.0	-0.0
-0.03	-0.000495	0.32049926	-0.03	-0.0	-0.0
-0.03	-0.00049	0.32048108	-0.03	0.0	-0.0
-0.03	-0.000485	0.32049926	-0.03	-0.0	-0.0
-0.03	-0.00048	0.3205356	-0.03	0.0	0.0
-0.03	-0.000475	0.32048108	-0.03	0.0	0.0
-0.03	-0.00047	0.3205356	-0.03	-0.0	-0.0
-0.03	-0.000465	0.32051743	-0.03	0.0	0.0
-0.03	-0.00046	0.32046291	-0.03	-0.0	-0.0
-0.03	-0.000455	0.32049926	-0.03	0.0	0.0
-0.03	-0.00045	0.32048108	-0.03	0.0	0.0001
-0.03	-0.000445	0.32048108	-0.03	-0.0	-0.0001
-0.03	-0.00044	0.32048108	-0.03	0.0	0.0
-0.03	-0.000435	0.32051743	-0.03	0.0	0.0001
-0.03	-0.00043	0.32048108	-0.03	0.0	-0.0
-0.03	-0.000425	0.32051743	-0.03	-0.0	-0.0
-0.03	-0.00042	0.3205356	-0.03	-0.0	0.0
-0.03	-0.000415	0.3205356	-0.03	-0.0	0.0001
-0.03	-0.00041	0.32048108	-0.03	-0.0	0.0001
-0.03	-0.000405	0.3205356	-0.03	0.0	-0.0
-0.03	-0.0004	0.32048108	-0.03	0.0	-0.0001
-0.03	-0.000395	0.32051743	-0.03	-0.0	-0.0
-0.03	-0.00039	0.32048108	-0.03	-0.0	-0.0001
-0.03	-0.000385	0.3205356	-0.03	-0.0	0.0001
-0.03	-0.00038	0.32046291	-0.03	-0.0	-0.0
-0.03	-0.000375	0.32046291	-0.03	0.0	-0.0
-0.03	-0.00037	0.32044474	-0.03	0.0	-0.0
-0.03	-0.000365	0.32051743	-0.03	0.0	0.0
-0.03	-0.00036	0.3205356	-0.03	0.0	-0.0
-0.03	-0.000355	0.32046291	-0.03	0.0	0.0
-0.03	-0.00035	0.32051743	-0.03	-0.0	0.0
-0.03	-0.000345	0.32051743	-0.03	0.0	0.0
-0.03	-0.00034	0.32044474	-0.03	0.0	0.0
-0.03	-0.000335	0.32044474	-0.03	0.0	0.0001
-0.03	-0.00033	0.32044474	-0.03	-0.0	-0.0
-0.03	-0.000325	0.32046291	-0.03	-0.0	0.0001
-0.03	-0.00032	0.32048108	-0.03	-0.0	-0.0
-0.03	-0.000315	0.32046291	-0.03	0.0	-0.0
-0.03	-0.00031	0.32048108	-0.03	0.0	-0.0
-0.03	-0.000305	0.32046291	-0.03	0.0	-0.0
-0.03	-0.0003	0.32046291	-0.03	-0.0	0.0
-0.03	-0.000295	0.32049926	-0.03	0.0	0.0001
-0.03	-0.00029	0.32046291	-0.03	-0.0	0.0
-0.03	-0.000285	0.32046291	-0.03	0.0	0.0
-0.03	-0.00028	0.32049926	-0.03	0.0	-0.0
-0.03	-0.000275	0.32048108	-0.03	-0.0	-0.0001
